NGO_ID,NGO_Name,Country,Sector,Focus_Area
41,Global Impact Foundation 41,Germany,Human Rights,Rural Development
42,Global Impact Foundation 42,South Africa,Women Empowerment,Rural Development
43,Global Impact Foundation 43,Germany,Child Welfare,Rural Development
44,Global Impact Foundation 44,India,Human Rights,Skill Development
45,Global Impact Foundation 45,UK,Women Empowerment,Policy Advocacy
46,Global Impact Foundation 46,India,Child Welfare,Disaster Relief
47,Global Impact Foundation 47,USA,Environment,Skill Development
48,Global Impact Foundation 48,South Africa,Health,Policy Advocacy
49,Global Impact Foundation 49,Brazil,Women Empowerment,Urban Support
50,Global Impact Foundation 50,UK,Women Empowerment,Urban Support
51,Global Impact Foundation 51,India,Poverty Relief,Rural Development
52,Global Impact Foundation 52,India,Poverty Relief,Community Health
53,Global Impact Foundation 53,Canada,Poverty Relief,Skill Development
54,Global Impact Foundation 54,Canada,Child Welfare,Community Health
55,Global Impact Foundation 55,UK,Education,Urban Support
56,Global Impact Foundation 56,Kenya,Environment,Urban Support
57,Global Impact Foundation 57,South Africa,Human Rights,Disaster Relief
58,Global Impact Foundation 58,Kenya,Women Empowerment,Skill Development
59,Global Impact Foundation 59,India,Education,Skill Development
60,Global Impact Foundation 60,USA,Education,Disaster Relief
61,Global Impact Foundation 61,Canada,Poverty Relief,Community Health
62,Global Impact Foundation 62,Brazil,Poverty Relief,Rural Development
63,Global Impact Foundation 63,Germany,Human Rights,Community Health
64,Global Impact Foundation 64,Canada,Women Empowerment,Disaster Relief
65,Global Impact Foundation 65,Brazil,Women Empowerment,Policy Advocacy
66,Global Impact Foundation 66,South Africa,Child Welfare,Policy Advocacy
67,Global Impact Foundation 67,South Africa,Education,Urban Support
68,Global Impact Foundation 68,South Africa,Women Empowerment,Disaster Relief
69,Global Impact Foundation 69,Germany,Human Rights,Urban Support
70,Global Impact Foundation 70,South Africa,Human Rights,Policy Advocacy
71,Global Impact Foundation 71,Australia,Education,Rural Development
72,Global Impact Foundation 72,UAE,Poverty Relief,Disaster Relief
73,Global Impact Foundation 73,South Africa,Environment,Rural Development
74,Global Impact Foundation 74,Kenya,Environment,Community Health
75,Global Impact Foundation 75,South Africa,Poverty Relief,Skill Development
76,Global Impact Foundation 76,Germany,Health,Skill Development
77,Global Impact Foundation 77,Brazil,Health,Policy Advocacy
78,Global Impact Foundation 78,USA,Child Welfare,Rural Development
79,Global Impact Foundation 79,UK,Environment,Policy Advocacy
80,Global Impact Foundation 80,UK,Human Rights,Community Health
81,Global Impact Foundation 81,Brazil,Environment,Community Health
82,Global Impact Foundation 82,USA,Women Empowerment,Rural Development
83,Global Impact Foundation 83,South Africa,Environment,Disaster Relief
84,Global Impact Foundation 84,South Africa,Environment,Rural Development
85,Global Impact Foundation 85,Canada,Child Welfare,Disaster Relief
86,Global Impact Foundation 86,Canada,Health,Community Health
87,Global Impact Foundation 87,Germany,Poverty Relief,Community Health
88,Global Impact Foundation 88,Kenya,Health,Skill Development
89,Global Impact Foundation 89,South Africa,Environment,Community Health
90,Global Impact Foundation 90,UAE,Health,Disaster Relief
91,Global Impact Foundation 91,Kenya,Women Empowerment,Community Health
92,Global Impact Foundation 92,Brazil,Health,Policy Advocacy
93,Global Impact Foundation 93,South Africa,Environment,Skill Development
94,Global Impact Foundation 94,UK,Poverty Relief,Skill Development
95,Global Impact Foundation 95,Kenya,Health,Rural Development
96,Global Impact Foundation 96,Brazil,Human Rights,Urban Support
97,Global Impact Foundation 97,Brazil,Child Welfare,Skill Development
98,Global Impact Foundation 98,Germany,Health,Disaster Relief
99,Global Impact Foundation 99,Canada,Child Welfare,Skill Development
100,Global Impact Foundation 100,Brazil,Women Empowerment,Urban Support
101,Global Impact Foundation 101,India,Poverty Relief,Urban Support
102,Global Impact Foundation 102,Australia,Education,Rural Development
103,Global Impact Foundation 103,Canada,Environment,Urban Support
104,Global Impact Foundation 104,UK,Poverty Relief,Rural Development
105,Global Impact Foundation 105,South Africa,Human Rights,Rural Development
106,Global Impact Foundation 106,UAE,Education,Urban Support
107,Global Impact Foundation 107,Canada,Poverty Relief,Urban Support
108,Global Impact Foundation 108,UAE,Women Empowerment,Disaster Relief
109,Global Impact Foundation 109,Brazil,Health,Community Health
110,Global Impact Foundation 110,Canada,Child Welfare,Policy Advocacy
111,Global Impact Foundation 111,India,Child Welfare,Disaster Relief
112,Global Impact Foundation 112,Canada,Human Rights,Policy Advocacy
113,Global Impact Foundation 113,South Africa,Environment,Rural Development
114,Global Impact Foundation 114,India,Health,Rural Development
115,Global Impact Foundation 115,USA,Human Rights,Skill Development
116,Global Impact Foundation 116,USA,Child Welfare,Urban Support
117,Global Impact Foundation 117,USA,Environment,Rural Development
118,Global Impact Foundation 118,Brazil,Health,Skill Development
119,Global Impact Foundation 119,South Africa,Education,Urban Support
120,Global Impact Foundation 120,UK,Environment,Community Health
121,Global Impact Foundation 121,Germany,Women Empowerment,Disaster Relief
122,Global Impact Foundation 122,UK,Human Rights,Policy Advocacy
123,Global Impact Foundation 123,Canada,Environment,Policy Advocacy
124,Global Impact Foundation 124,Brazil,Women Empowerment,Skill Development
125,Global Impact Foundation 125,Kenya,Poverty Relief,Policy Advocacy
126,Global Impact Foundation 126,UAE,Child Welfare,Skill Development
127,Global Impact Foundation 127,Canada,Human Rights,Community Health
128,Global Impact Foundation 128,UK,Poverty Relief,Community Health
129,Global Impact Foundation 129,USA,Health,Skill Development
130,Global Impact Foundation 130,Kenya,Poverty Relief,Community Health
131,Global Impact Foundation 131,USA,Environment,Disaster Relief
132,Global Impact Foundation 132,Brazil,Poverty Relief,Rural Development
133,Global Impact Foundation 133,Canada,Environment,Skill Development
134,Global Impact Foundation 134,Canada,Environment,Urban Support
135,Global Impact Foundation 135,UK,Child Welfare,Policy Advocacy
136,Global Impact Foundation 136,India,Child Welfare,Urban Support
137,Global Impact Foundation 137,UK,Health,Policy Advocacy
138,Global Impact Foundation 138,Brazil,Women Empowerment,Rural Development
139,Global Impact Foundation 139,South Africa,Women Empowerment,Policy Advocacy
140,Global Impact Foundation 140,Australia,Poverty Relief,Policy Advocacy
141,Global Impact Foundation 141,USA,Human Rights,Disaster Relief
142,Global Impact Foundation 142,Brazil,Health,Community Health
143,Global Impact Foundation 143,Canada,Human Rights,Policy Advocacy
144,Global Impact Foundation 144,UK,Women Empowerment,Community Health
145,Global Impact Foundation 145,Brazil,Education,Rural Development
146,Global Impact Foundation 146,Australia,Women Empowerment,Disaster Relief
147,Global Impact Foundation 147,Kenya,Women Empowerment,Rural Development
148,Global Impact Foundation 148,South Africa,Child Welfare,Urban Support
149,Global Impact Foundation 149,USA,Women Empowerment,Policy Advocacy
150,Global Impact Foundation 150,USA,Environment,Rural Development
151,Global Impact Foundation 151,Canada,Health,Community Health
152,Global Impact Foundation 152,South Africa,Poverty Relief,Policy Advocacy
153,Global Impact Foundation 153,UAE,Health,Community Health
154,Global Impact Foundation 154,Brazil,Environment,Policy Advocacy
155,Global Impact Foundation 155,Kenya,Human Rights,Urban Support
156,Global Impact Foundation 156,India,Education,Community Health
157,Global Impact Foundation 157,Canada,Human Rights,Urban Support
158,Global Impact Foundation 158,UAE,Health,Urban Support
159,Global Impact Foundation 159,Australia,Health,Community Health
160,Global Impact Foundation 160,Brazil,Human Rights,Community Health
161,Global Impact Foundation 161,Germany,Environment,Community Health
162,Global Impact Foundation 162,Germany,Education,Disaster Relief
163,Global Impact Foundation 163,Germany,Health,Skill Development
164,Global Impact Foundation 164,Kenya,Education,Disaster Relief
165,Global Impact Foundation 165,USA,Human Rights,Community Health
166,Global Impact Foundation 166,UK,Health,Policy Advocacy
167,Global Impact Foundation 167,USA,Education,Disaster Relief
168,Global Impact Foundation 168,Germany,Human Rights,Community Health
169,Global Impact Foundation 169,UAE,Education,Urban Support
170,Global Impact Foundation 170,USA,Child Welfare,Disaster Relief
171,Global Impact Foundation 171,Kenya,Human Rights,Urban Support
172,Global Impact Foundation 172,UK,Poverty Relief,Urban Support
173,Global Impact Foundation 173,USA,Health,Community Health
174,Global Impact Foundation 174,Kenya,Environment,Urban Support
175,Global Impact Foundation 175,Germany,Poverty Relief,Urban Support
176,Global Impact Foundation 176,Australia,Environment,Community Health
177,Global Impact Foundation 177,Brazil,Child Welfare,Policy Advocacy
178,Global Impact Foundation 178,Australia,Education,Policy Advocacy
179,Global Impact Foundation 179,Germany,Environment,Urban Support
180,Global Impact Foundation 180,Brazil,Women Empowerment,Policy Advocacy
181,Global Impact Foundation 181,USA,Education,Rural Development
182,Global Impact Foundation 182,Canada,Environment,Policy Advocacy
183,Global Impact Foundation 183,Germany,Education,Disaster Relief
184,Global Impact Foundation 184,India,Poverty Relief,Policy Advocacy
185,Global Impact Foundation 185,UAE,Health,Urban Support
186,Global Impact Foundation 186,UK,Health,Skill Development
187,Global Impact Foundation 187,India,Human Rights,Disaster Relief
188,Global Impact Foundation 188,India,Women Empowerment,Community Health
189,Global Impact Foundation 189,Brazil,Human Rights,Rural Development
190,Global Impact Foundation 190,Australia,Environment,Skill Development
191,Global Impact Foundation 191,Brazil,Child Welfare,Urban Support
192,Global Impact Foundation 192,Canada,Environment,Disaster Relief
193,Global Impact Foundation 193,Brazil,Education,Rural Development
194,Global Impact Foundation 194,South Africa,Women Empowerment,Urban Support
195,Global Impact Foundation 195,Kenya,Environment,Policy Advocacy
196,Global Impact Foundation 196,Brazil,Education,Community Health
197,Global Impact Foundation 197,South Africa,Health,Rural Development
198,Global Impact Foundation 198,South Africa,Human Rights,Policy Advocacy
199,Global Impact Foundation 199,South Africa,Poverty Relief,Policy Advocacy
200,Global Impact Foundation 200,Kenya,Education,Community Health
201,Global Impact Foundation 201,UAE,Women Empowerment,Urban Support
202,Global Impact Foundation 202,South Africa,Health,Disaster Relief
203,Global Impact Foundation 203,Kenya,Women Empowerment,Disaster Relief
204,Global Impact Foundation 204,Germany,Environment,Community Health
205,Global Impact Foundation 205,Australia,Women Empowerment,Urban Support
206,Global Impact Foundation 206,UAE,Poverty Relief,Urban Support
207,Global Impact Foundation 207,South Africa,Human Rights,Policy Advocacy
208,Global Impact Foundation 208,Canada,Education,Rural Development
209,Global Impact Foundation 209,USA,Health,Rural Development
210,Global Impact Foundation 210,Australia,Women Empowerment,Rural Development
211,Global Impact Foundation 211,Brazil,Health,Skill Development
212,Global Impact Foundation 212,India,Poverty Relief,Disaster Relief
213,Global Impact Foundation 213,Australia,Women Empowerment,Disaster Relief
214,Global Impact Foundation 214,Brazil,Women Empowerment,Disaster Relief
215,Global Impact Foundation 215,India,Women Empowerment,Urban Support
216,Global Impact Foundation 216,India,Women Empowerment,Community Health
217,Global Impact Foundation 217,India,Human Rights,Community Health
218,Global Impact Foundation 218,India,Health,Disaster Relief
219,Global Impact Foundation 219,India,Child Welfare,Policy Advocacy
220,Global Impact Foundation 220,USA,Health,Disaster Relief
221,Global Impact Foundation 221,Brazil,Women Empowerment,Disaster Relief
222,Global Impact Foundation 222,India,Health,Rural Development
223,Global Impact Foundation 223,Brazil,Human Rights,Disaster Relief
224,Global Impact Foundation 224,Canada,Environment,Community Health
225,Global Impact Foundation 225,USA,Poverty Relief,Policy Advocacy
226,Global Impact Foundation 226,Brazil,Environment,Disaster Relief
227,Global Impact Foundation 227,India,Child Welfare,Policy Advocacy
228,Global Impact Foundation 228,UAE,Human Rights,Skill Development
229,Global Impact Foundation 229,Germany,Women Empowerment,Skill Development
230,Global Impact Foundation 230,Kenya,Human Rights,Community Health
231,Global Impact Foundation 231,South Africa,Health,Disaster Relief
232,Global Impact Foundation 232,USA,Environment,Disaster Relief
233,Global Impact Foundation 233,UAE,Human Rights,Policy Advocacy
234,Global Impact Foundation 234,USA,Women Empowerment,Disaster Relief
235,Global Impact Foundation 235,UAE,Poverty Relief,Community Health
236,Global Impact Foundation 236,Germany,Environment,Disaster Relief
237,Global Impact Foundation 237,Australia,Education,Policy Advocacy
238,Global Impact Foundation 238,Canada,Human Rights,Urban Support
239,Global Impact Foundation 239,UAE,Poverty Relief,Disaster Relief
240,Global Impact Foundation 240,India,Women Empowerment,Urban Support
241,Global Impact Foundation 241,USA,Poverty Relief,Skill Development
242,Global Impact Foundation 242,Germany,Human Rights,Skill Development
243,Global Impact Foundation 243,UAE,Child Welfare,Skill Development
244,Global Impact Foundation 244,UAE,Human Rights,Community Health
245,Global Impact Foundation 245,India,Child Welfare,Rural Development
246,Global Impact Foundation 246,South Africa,Child Welfare,Skill Development
247,Global Impact Foundation 247,UAE,Education,Skill Development
248,Global Impact Foundation 248,USA,Women Empowerment,Urban Support
249,Global Impact Foundation 249,South Africa,Poverty Relief,Rural Development
250,Global Impact Foundation 250,Germany,Education,Rural Development
251,Global Impact Foundation 251,Brazil,Education,Policy Advocacy
252,Global Impact Foundation 252,Kenya,Poverty Relief,Community Health
253,Global Impact Foundation 253,India,Education,Community Health
254,Global Impact Foundation 254,UK,Environment,Urban Support
255,Global Impact Foundation 255,South Africa,Environment,Policy Advocacy
256,Global Impact Foundation 256,Australia,Child Welfare,Skill Development
257,Global Impact Foundation 257,UAE,Environment,Skill Development
258,Global Impact Foundation 258,UK,Environment,Rural Development
259,Global Impact Foundation 259,USA,Environment,Disaster Relief
260,Global Impact Foundation 260,Kenya,Education,Community Health
261,Global Impact Foundation 261,Canada,Environment,Disaster Relief
262,Global Impact Foundation 262,Australia,Poverty Relief,Urban Support
263,Global Impact Foundation 263,Canada,Child Welfare,Community Health
264,Global Impact Foundation 264,UK,Human Rights,Skill Development
265,Global Impact Foundation 265,Canada,Child Welfare,Policy Advocacy
266,Global Impact Foundation 266,Germany,Women Empowerment,Rural Development
267,Global Impact Foundation 267,Brazil,Environment,Urban Support
268,Global Impact Foundation 268,South Africa,Poverty Relief,Policy Advocacy
269,Global Impact Foundation 269,Kenya,Health,Disaster Relief
270,Global Impact Foundation 270,Australia,Poverty Relief,Community Health
271,Global Impact Foundation 271,India,Education,Community Health
272,Global Impact Foundation 272,USA,Environment,Rural Development
273,Global Impact Foundation 273,India,Health,Urban Support
274,Global Impact Foundation 274,Kenya,Health,Urban Support
275,Global Impact Foundation 275,South Africa,Child Welfare,Skill Development
276,Global Impact Foundation 276,Australia,Poverty Relief,Disaster Relief
277,Global Impact Foundation 277,USA,Child Welfare,Disaster Relief
278,Global Impact Foundation 278,Brazil,Health,Rural Development
279,Global Impact Foundation 279,Kenya,Child Welfare,Disaster Relief
280,Global Impact Foundation 280,India,Human Rights,Urban Support
281,Global Impact Foundation 281,USA,Women Empowerment,Rural Development
282,Global Impact Foundation 282,UK,Education,Rural Development
283,Global Impact Foundation 283,India,Health,Urban Support
284,Global Impact Foundation 284,UK,Child Welfare,Policy Advocacy
285,Global Impact Foundation 285,Brazil,Human Rights,Skill Development
286,Global Impact Foundation 286,Kenya,Education,Policy Advocacy
287,Global Impact Foundation 287,USA,Child Welfare,Skill Development
288,Global Impact Foundation 288,UAE,Environment,Urban Support
289,Global Impact Foundation 289,India,Poverty Relief,Policy Advocacy
290,Global Impact Foundation 290,Australia,Child Welfare,Policy Advocacy
291,Global Impact Foundation 291,Kenya,Human Rights,Urban Support
292,Global Impact Foundation 292,India,Education,Policy Advocacy
293,Global Impact Foundation 293,UAE,Child Welfare,Policy Advocacy
294,Global Impact Foundation 294,Australia,Health,Policy Advocacy
295,Global Impact Foundation 295,Australia,Environment,Community Health
296,Global Impact Foundation 296,UK,Health,Skill Development
297,Global Impact Foundation 297,UAE,Education,Disaster Relief
298,Global Impact Foundation 298,USA,Poverty Relief,Rural Development
299,Global Impact Foundation 299,South Africa,Child Welfare,Skill Development
300,Global Impact Foundation 300,Kenya,Environment,Disaster Relief
301,Global Impact Foundation 301,Brazil,Poverty Relief,Disaster Relief
302,Global Impact Foundation 302,Germany,Child Welfare,Urban Support
303,Global Impact Foundation 303,Germany,Education,Rural Development
304,Global Impact Foundation 304,Kenya,Poverty Relief,Policy Advocacy
305,Global Impact Foundation 305,UK,Environment,Community Health
306,Global Impact Foundation 306,South Africa,Environment,Skill Development
307,Global Impact Foundation 307,Kenya,Environment,Rural Development
308,Global Impact Foundation 308,Brazil,Child Welfare,Skill Development
309,Global Impact Foundation 309,Australia,Health,Urban Support
310,Global Impact Foundation 310,Canada,Health,Urban Support
311,Global Impact Foundation 311,USA,Education,Policy Advocacy
312,Global Impact Foundation 312,India,Child Welfare,Urban Support
313,Global Impact Foundation 313,Brazil,Poverty Relief,Policy Advocacy
314,Global Impact Foundation 314,UK,Environment,Urban Support
315,Global Impact Foundation 315,Canada,Poverty Relief,Policy Advocacy
316,Global Impact Foundation 316,South Africa,Women Empowerment,Policy Advocacy
317,Global Impact Foundation 317,Kenya,Women Empowerment,Community Health
318,Global Impact Foundation 318,Australia,Human Rights,Skill Development
319,Global Impact Foundation 319,Brazil,Human Rights,Disaster Relief
320,Global Impact Foundation 320,UAE,Child Welfare,Rural Development
321,Global Impact Foundation 321,Canada,Women Empowerment,Skill Development
322,Global Impact Foundation 322,Brazil,Education,Skill Development
323,Global Impact Foundation 323,South Africa,Education,Policy Advocacy
324,Global Impact Foundation 324,Germany,Human Rights,Policy Advocacy
325,Global Impact Foundation 325,South Africa,Health,Community Health
326,Global Impact Foundation 326,Australia,Women Empowerment,Community Health
327,Global Impact Foundation 327,USA,Child Welfare,Disaster Relief
328,Global Impact Foundation 328,UAE,Health,Skill Development
329,Global Impact Foundation 329,USA,Environment,Community Health
330,Global Impact Foundation 330,South Africa,Human Rights,Disaster Relief
331,Global Impact Foundation 331,USA,Education,Community Health
332,Global Impact Foundation 332,Australia,Health,Rural Development
333,Global Impact Foundation 333,USA,Poverty Relief,Community Health
334,Global Impact Foundation 334,Brazil,Poverty Relief,Disaster Relief
335,Global Impact Foundation 335,South Africa,Poverty Relief,Urban Support
336,Global Impact Foundation 336,Canada,Health,Urban Support
337,Global Impact Foundation 337,UAE,Women Empowerment,Skill Development
338,Global Impact Foundation 338,Brazil,Women Empowerment,Disaster Relief
339,Global Impact Foundation 339,Brazil,Child Welfare,Urban Support
340,Global Impact Foundation 340,USA,Environment,Skill Development
341,Global Impact Foundation 341,Australia,Health,Rural Development
342,Global Impact Foundation 342,Brazil,Poverty Relief,Skill Development
343,Global Impact Foundation 343,India,Human Rights,Skill Development
344,Global Impact Foundation 344,India,Human Rights,Urban Support
345,Global Impact Foundation 345,UK,Poverty Relief,Urban Support
346,Global Impact Foundation 346,Kenya,Women Empowerment,Community Health
347,Global Impact Foundation 347,UAE,Environment,Skill Development
348,Global Impact Foundation 348,Germany,Education,Community Health
349,Global Impact Foundation 349,South Africa,Human Rights,Policy Advocacy
350,Global Impact Foundation 350,Brazil,Poverty Relief,Urban Support
351,Global Impact Foundation 351,Germany,Health,Community Health
352,Global Impact Foundation 352,UAE,Health,Policy Advocacy
353,Global Impact Foundation 353,USA,Human Rights,Skill Development
354,Global Impact Foundation 354,Australia,Environment,Skill Development
355,Global Impact Foundation 355,India,Women Empowerment,Community Health
356,Global Impact Foundation 356,UAE,Environment,Disaster Relief
357,Global Impact Foundation 357,UK,Poverty Relief,Skill Development
358,Global Impact Foundation 358,UAE,Health,Community Health
359,Global Impact Foundation 359,Kenya,Poverty Relief,Policy Advocacy
360,Global Impact Foundation 360,Australia,Education,Policy Advocacy
361,Global Impact Foundation 361,Brazil,Environment,Urban Support
362,Global Impact Foundation 362,UK,Child Welfare,Disaster Relief
363,Global Impact Foundation 363,UK,Poverty Relief,Rural Development
364,Global Impact Foundation 364,Australia,Health,Urban Support
365,Global Impact Foundation 365,USA,Health,Community Health
366,Global Impact Foundation 366,USA,Child Welfare,Community Health
367,Global Impact Foundation 367,Germany,Health,Community Health
368,Global Impact Foundation 368,USA,Poverty Relief,Community Health
369,Global Impact Foundation 369,India,Education,Skill Development
370,Global Impact Foundation 370,India,Environment,Urban Support
371,Global Impact Foundation 371,India,Human Rights,Skill Development
372,Global Impact Foundation 372,USA,Poverty Relief,Policy Advocacy
373,Global Impact Foundation 373,USA,Education,Community Health
374,Global Impact Foundation 374,Canada,Education,Rural Development
375,Global Impact Foundation 375,Australia,Environment,Disaster Relief
376,Global Impact Foundation 376,Germany,Child Welfare,Policy Advocacy
377,Global Impact Foundation 377,India,Child Welfare,Rural Development
378,Global Impact Foundation 378,South Africa,Poverty Relief,Urban Support
379,Global Impact Foundation 379,USA,Education,Disaster Relief
380,Global Impact Foundation 380,Canada,Poverty Relief,Urban Support
381,Global Impact Foundation 381,USA,Education,Urban Support
382,Global Impact Foundation 382,Australia,Poverty Relief,Policy Advocacy
383,Global Impact Foundation 383,UAE,Poverty Relief,Rural Development
384,Global Impact Foundation 384,USA,Education,Disaster Relief
385,Global Impact Foundation 385,UK,Poverty Relief,Policy Advocacy
386,Global Impact Foundation 386,USA,Education,Urban Support
387,Global Impact Foundation 387,Australia,Education,Disaster Relief
388,Global Impact Foundation 388,Germany,Education,Community Health
389,Global Impact Foundation 389,India,Poverty Relief,Rural Development
390,Global Impact Foundation 390,India,Poverty Relief,Disaster Relief
391,Global Impact Foundation 391,Germany,Child Welfare,Disaster Relief
392,Global Impact Foundation 392,USA,Environment,Community Health
393,Global Impact Foundation 393,India,Education,Community Health
394,Global Impact Foundation 394,South Africa,Poverty Relief,Policy Advocacy
395,Global Impact Foundation 395,India,Health,Skill Development
396,Global Impact Foundation 396,Kenya,Health,Disaster Relief
397,Global Impact Foundation 397,South Africa,Environment,Skill Development
398,Global Impact Foundation 398,India,Education,Skill Development
399,Global Impact Foundation 399,Germany,Human Rights,Skill Development
400,Global Impact Foundation 400,Australia,Human Rights,Policy Advocacy
401,Global Impact Foundation 401,UAE,Environment,Skill Development
402,Global Impact Foundation 402,South Africa,Health,Policy Advocacy
403,Global Impact Foundation 403,USA,Human Rights,Urban Support
404,Global Impact Foundation 404,UK,Human Rights,Urban Support
405,Global Impact Foundation 405,UAE,Poverty Relief,Disaster Relief
406,Global Impact Foundation 406,UAE,Environment,Policy Advocacy
407,Global Impact Foundation 407,Canada,Education,Policy Advocacy
408,Global Impact Foundation 408,Australia,Women Empowerment,Rural Development
409,Global Impact Foundation 409,Canada,Women Empowerment,Urban Support
410,Global Impact Foundation 410,USA,Environment,Disaster Relief
411,Global Impact Foundation 411,UAE,Health,Community Health
412,Global Impact Foundation 412,India,Human Rights,Policy Advocacy
413,Global Impact Foundation 413,Canada,Health,Skill Development
414,Global Impact Foundation 414,India,Environment,Rural Development
415,Global Impact Foundation 415,Brazil,Environment,Urban Support
416,Global Impact Foundation 416,Canada,Women Empowerment,Community Health
417,Global Impact Foundation 417,UK,Women Empowerment,Urban Support
418,Global Impact Foundation 418,Australia,Health,Rural Development
419,Global Impact Foundation 419,USA,Education,Disaster Relief
420,Global Impact Foundation 420,USA,Child Welfare,Skill Development
421,Global Impact Foundation 421,Kenya,Health,Rural Development
422,Global Impact Foundation 422,USA,Environment,Skill Development
423,Global Impact Foundation 423,Australia,Human Rights,Community Health
424,Global Impact Foundation 424,Kenya,Health,Urban Support
425,Global Impact Foundation 425,Kenya,Education,Community Health
426,Global Impact Foundation 426,Germany,Education,Rural Development
427,Global Impact Foundation 427,USA,Health,Rural Development
428,Global Impact Foundation 428,UAE,Poverty Relief,Policy Advocacy
429,Global Impact Foundation 429,Kenya,Poverty Relief,Skill Development
430,Global Impact Foundation 430,Canada,Education,Skill Development
431,Global Impact Foundation 431,Brazil,Women Empowerment,Disaster Relief
432,Global Impact Foundation 432,Canada,Human Rights,Rural Development
433,Global Impact Foundation 433,South Africa,Health,Rural Development
434,Global Impact Foundation 434,India,Poverty Relief,Disaster Relief
435,Global Impact Foundation 435,Australia,Human Rights,Rural Development
436,Global Impact Foundation 436,Canada,Health,Policy Advocacy
437,Global Impact Foundation 437,Brazil,Poverty Relief,Policy Advocacy
438,Global Impact Foundation 438,Australia,Health,Urban Support
439,Global Impact Foundation 439,UK,Poverty Relief,Disaster Relief
440,Global Impact Foundation 440,Canada,Poverty Relief,Rural Development
441,Global Impact Foundation 441,Kenya,Health,Community Health
442,Global Impact Foundation 442,Brazil,Health,Urban Support
443,Global Impact Foundation 443,Kenya,Education,Skill Development
444,Global Impact Foundation 444,Kenya,Poverty Relief,Disaster Relief
445,Global Impact Foundation 445,UK,Poverty Relief,Urban Support
446,Global Impact Foundation 446,UK,Health,Disaster Relief
447,Global Impact Foundation 447,South Africa,Environment,Skill Development
448,Global Impact Foundation 448,Germany,Environment,Disaster Relief
449,Global Impact Foundation 449,Germany,Health,Urban Support
450,Global Impact Foundation 450,Kenya,Environment,Rural Development
451,Global Impact Foundation 451,UAE,Human Rights,Disaster Relief
452,Global Impact Foundation 452,India,Education,Disaster Relief
453,Global Impact Foundation 453,South Africa,Education,Skill Development
454,Global Impact Foundation 454,USA,Women Empowerment,Skill Development
455,Global Impact Foundation 455,South Africa,Environment,Urban Support
456,Global Impact Foundation 456,Kenya,Education,Rural Development
457,Global Impact Foundation 457,India,Women Empowerment,Skill Development
458,Global Impact Foundation 458,India,Environment,Rural Development
459,Global Impact Foundation 459,Brazil,Poverty Relief,Urban Support
460,Global Impact Foundation 460,Canada,Human Rights,Urban Support
461,Global Impact Foundation 461,UAE,Women Empowerment,Community Health
462,Global Impact Foundation 462,Kenya,Poverty Relief,Skill Development
463,Global Impact Foundation 463,South Africa,Women Empowerment,Community Health
464,Global Impact Foundation 464,Brazil,Child Welfare,Rural Development
