S.No,NGO Name,Address,Email,Phone,Website,Founded Year,Focus Areas,Primary Work/Reports
11,Oxfam India,"B-111 1st Floor Okhla Industrial Area Phase-1 New Delhi - 110020",friendsofoxfam@oxfamindia.org,+91 11 4653 8000,www.oxfamindia.org,1951,"Poverty Alleviation Inequality Gender Justice","International confederation working for just world without poverty"
12,Teach For India,"Godrej One 2nd Floor Pirojshanagar Eastern Express Highway Vikhroli (East) Mumbai Maharashtra 400079",info@teachforindia.org,+91 02225194283,www.teachforindia.org,2008,"Educational NGO Fellowship Program","Alumni reaching 33 million children (1 in 10 nationally); 150+ education ventures initiated"
13,ActionAid India,"F-5 (First Floor) Kailash Colony New Delhi-110048",fundindia@actionaid.org,+91 80 25586293,www.actionaidindia.org,1972,"International Development Child Health Safety Education Women's Rights Violence Prevention","Reaches 6318 villages/urban localities across 270 districts; 3.2 million+ people benefitted; 25 states and 3 UTs"
14,ActionAid India Mumbai Office,"Flat No. 15 Kastur Mahal Sion Station Road Sion East Mumbai Maharashtra-400022",fundindia@actionaid.org,+91 9740679808,www.actionaidindia.org,1972,"International Development Maharashtra Region","Regional office contact: Tanveer Kazi; same organization different location"
15,ActionAid India Bengaluru Office,"139 Richmond Road Karnataka-560025",,9449023464,www.actionaidindia.org,1972,"International Development Karnataka Region","Regional contact: Raghavenda B Pachhapur"
16,ActionAid India Chennai Office,"ALC Campus 2nd Floor No. 165 & 166 Broadway Tamil Nadu - 600108",,9444951927,www.actionaidindia.org,1972,"International Development Tamil Nadu Region","Regional contact: Esther Mariaselvam"
17,ActionAid India Kolkata Office,"130/12 Poddar Nagar Jadavpur West Bengal-700032",,9830224478,www.actionaidindia.org,1972,"International Development West Bengal Region","Regional contact: Surajit Neogi"
18,Samaritans Mumbai,"402 Jasmine Opposite Kala Kendra Dadasaheb Phalke Road Dadar (E) Mumbai 400014",talk2samaritans@gmail.com,"+91 84229 84528 / +91 84229 84529 / +91 84229 84530",www.samaritansmumbai.com,1968,"Suicide Prevention Mental Health Helpline","First branch of The Samaritans UK outside England; Helpline 5 PM - 8 PM daily; Professional counselling 10 AM - 4 PM Mon-Fri; 80G tax exemption eligible"
19,Magic Bus India Foundation,"3rd Floor Reliable Plaza Thane Belapur Road Airoli Navi Mumbai - 400708",info@magicbusindia.org,022 62434848,www.magicbusindia.org,1999,"Child Development Youth Empowerment Education","Childhood to Livelihood program; sports-based development approach"
20,Childline India Foundation,"B-1101 11th Floor Ratan Central Dr Babasaheb Ambedkar Road Parel East Mumbai 400012",dial1098@childlineindia.org.in,+91 2268251098,www.childlineindia.org.in,1996,"Child Protection Emergency Response","Operates 1098 Child Helpline; 24/7 emergency phone outreach for children"
21,Bhumi,"3/2 Karpaga Vinayagar Koil Street Alandur Chennai 600016",contact@bhumi.ngo,+91 8754413255,www.bhumi.ngo,2006,"Education Child Development Youth Volunteering","Volunteer-driven organization; focuses on supplementary education for underprivileged children"
22,Sewa Suraksha Foundation,"House No 7 AB Second Floor BLK F Vijay Nagar Delhi 110009",info@sewasuraksha.org,+91 7011784499,,2008,"Community Development Social Welfare","Grassroots NGO working in Delhi NCR region"
23,Marpu Foundation,Hyderabad (Active in 23 states),contact@marpu.org,,www.marpu.org,2020,"Sustainable Development Environmental Conservation Youth Empowerment","Active across 23 states; focuses on SDGs and youth-led change"
24,GiveIndia Foundation (Listing verified NGOs),"Same as above",info@giveindia.org,,www.giveindia.org,1999,"Donation Platform Transparency","2800+ verified NGOs on platform; donors can access annual reports of each partner NGO"
25,Cry Child Rights,"189/A Anand Estate Sane Guruji Marg Mumbai 400011",cryinfo@crymail.org,+91-22-40860800,www.cry.org,1979,"Child Rights Education Health Protection","Works through 102 partner NGOs across 19 states; 3 million children impacted since inception"
26,HelpAge India (Chennai),"Spencer Plaza Office 810-811 8th Floor 769 Anna Salai Chennai - 600002",south@helpageindia.org,044-28478171,www.helpageindia.org,1978,"Elder Care Healthcare Chennai Region","South India regional office; elder care programs and mobile healthcare units"
27,HelpAge India (Mumbai),"9 Aradhana 29/30 Sujan Park LJ Road Mahim West Mumbai - 400016",west@helpageindia.org,022-24370236,www.helpageindia.org,1978,"Elder Care Healthcare Mumbai Region","West India regional office; pension advocacy and healthcare"
28,HelpAge India (Kolkata),"Flat-4B 83/C Tollygunge Circular Road Kolkata - 700033",east@helpageindia.org,033-24296006,www.helpageindia.org,1978,"Elder Care Healthcare Kolkata Region","East India regional office; old age home and elder care services"
29,Pratham (Mumbai),"Y.B. Chavan Centre 2nd Floor General Jagannathrao Bhosale Marg Nariman Point Mumbai - 400021",mumbai@pratham.org,022-22819581,www.pratham.org,1994,"Education Mumbai Region","Mumbai headquarters office; state-level programs in Maharashtra"
30,Goonj (Kolkata),"7 Ho Chi Minh Sarani 4th Floor Flat-4C Kolkata - 700071",kolkata@goonj.org,033-40195311,www.goonj.org,1999,"Rural Development Disaster Relief East Region","Eastern India operations; disaster relief and material collection"
31,Goonj (Chennai),"12/1 1st Floor Giri Road T Nagar Chennai - 600017",chennai@goonj.org,044-28155105,www.goonj.org,1999,"Rural Development South India","South India operations hub; network of collection centers"
32,Goonj (Bengaluru),"28 Residency Road Bengaluru - 560025",bangalore@goonj.org,080-41215639,www.goonj.org,1999,"Rural Development Karnataka Region","Karnataka operations; rural development programs"
33,Smile Foundation (Mumbai),"703/B Wing 7th Floor Morya Estate Andheri West Mumbai - 400053",mumbai@smilefoundationindia.org,022-40154620,www.smilefoundationindia.org,2002,"Education Healthcare Livelihood Mumbai Region","Western India regional hub"
34,Smile Foundation (Kolkata),"15B Hemanta Basu Sarani 4th Floor Room No. 407 Kolkata - 700001",kolkata@smilefoundationindia.org,033-40198800,www.smilefoundationindia.org,2002,"Education Healthcare Livelihood East Region","Eastern India regional operations"
35,CARE India (Patna),"301 3rd Floor Jagdamba Palace Exhibition Road Patna - 800001",patna@careindia.org,0612-2530330,www.careindia.org,1946,"Poverty Reduction Women Empowerment Bihar Region","Bihar state operations; maternal health and livelihood programs"
36,CARE India (Lucknow),"B-1/70 Sector-F Aliganj Lucknow - 226024",lucknow@careindia.org,0522-4013500,www.careindia.org,1946,"Poverty Reduction Women Empowerment UP Region","Uttar Pradesh state operations; largest state program"
37,Save the Children (Delhi),"1st & 2nd Floor Plot No. 91 Sector 44 Gurgaon Haryana - 122003",delhi@savethechildren.in,0124-4758600,www.savethechildren.in,2008,"Child Protection Delhi NCR Region","Northern India regional hub"
38,Save the Children (Chennai),"4 Vallabha Agraharam Street Mylapore Chennai - 600004",chennai@savethechildren.in,044-28472211,www.savethechildren.in,2008,"Child Protection Tamil Nadu Region","Tamil Nadu and South India operations"
39,Save the Children (Patna),"Sahdeo Mahto Path Near Hartali More Boring Road Patna - 800001",patna@savethechildren.in,0612-2570600,www.savethechildren.in,2008,"Child Protection Bihar Region","Bihar state programs; nutrition and education focus"
40,Akshaya Patra (Vrindavan),"Near Chhatikara Road Raman Reti Vrindavan Mathura - 281121",vrindavan@akshayapatra.org,0565-2540360,www.akshayapatra.org,2000,"Mid-Day Meals Vrindavan Region","One of largest kitchen operations; serves thousands of meals daily"
41,Akshaya Patra (Puri),"Village Baliguali NuaSasan Post Office Puri - 752002",puri@akshayapatra.org,06752-235050,www.akshayapatra.org,2000,"Mid-Day Meals Odisha Region","Odisha operations; serves mid-day meals to government school children"
42,Akshaya Patra (Nathdwara),"Near RNT Medical College Vallabh Nagar Nathdwara Rajsamand - 313301",nathdwara@akshayapatra.org,02953-220100,www.akshayapatra.org,2000,"Mid-Day Meals Rajasthan Region","Rajasthan kitchen operations"
43,Akshaya Patra (Lucknow),"Plot No. 12 Sector 25 Vibhuti Khand Gomti Nagar Lucknow - 226010",lucknow@akshayapatra.org,0522-2720600,www.akshayapatra.org,2000,"Mid-Day Meals UP Region","Uttar Pradesh central kitchen and operations"
44,Akshaya Patra (Hyderabad),"Survey No. 502 HMT Hills Opposite Medha Towers Kukatpally Hyderabad - 500085",hyderabad@akshayapatra.org,040-23055000,www.akshayapatra.org,2000,"Mid-Day Meals Telangana Region","Telangana operations hub"
45,Akshaya Patra (Nellore),"Near MGBC Function Hall Mini Bypass Road Nellore - 524002",nellore@akshayapatra.org,0861-2323300,www.akshayapatra.org,2000,"Mid-Day Meals AP Region","Andhra Pradesh kitchen and distribution center"
46,Oxfam India (Mumbai),"5C Navsheela Birla Naveen Bhavan 1st Floor B Wing Baroda Street Fort Mumbai - 400001",mumbai@oxfamindia.org,022-22615301,www.oxfamindia.org,1951,"Poverty Alleviation Mumbai Region","Western India advocacy and programs"
47,Oxfam India (Chennai),"6 Bishop Garden Mylapore Chennai - 600004",chennai@oxfamindia.org,044-28472121,www.oxfamindia.org,1951,"Poverty Alleviation Chennai Region","South India regional operations"
48,Oxfam India (Lucknow),"Plot No. 2 New Hyderabad Colony Gulzar Bagh Lucknow - 226001",lucknow@oxfamindia.org,0522-2615629,www.oxfamindia.org,1951,"Poverty Alleviation UP Region","Uttar Pradesh and Northern region operations"
49,Oxfam India (Patna),"B-102 Kumar Tower Exhibition Road Patna - 800001",patna@oxfamindia.org,0612-2535640,www.oxfamindia.org,1951,"Poverty Alleviation Bihar Region","Bihar state development programs"
50,Oxfam India (Bhubaneswar),"Plot No. 468/469 Kharvela Nagar Unit-III Bhubaneswar - 751001",bhubaneswar@oxfamindia.org,0674-2541456,www.oxfamindia.org,1951,"Poverty Alleviation Odisha Region","Odisha disaster response and development"
51,ActionAid (Bhopal),"House No. 3 Second Floor Kolar Road Bhopal - 462042",bhopal@actionaid.org,0755-4298389,www.actionaidindia.org,1972,"International Development MP Region","Madhya Pradesh regional operations"
52,ActionAid (Raipur),"House No. 12 Sector 1 Shankar Nagar Raipur - 492001",raipur@actionaid.org,0771-4053200,www.actionaidindia.org,1972,"International Development Chhattisgarh Region","Chhattisgarh state programs"
53,ActionAid (Jaipur),"F-1 First Floor Shivam Apartment Bhawani Singh Lane Durgapura Jaipur - 302018",jaipur@actionaid.org,0141-2710996,www.actionaidindia.org,1972,"International Development Rajasthan Region","Rajasthan regional operations"
54,ActionAid (Lucknow),"C-1/8 First Floor Vineet Khand Gomti Nagar Lucknow - 226010",lucknow@actionaid.org,0522-2301500,www.actionaidindia.org,1972,"International Development UP Region","Uttar Pradesh regional hub"
55,ActionAid (Patna),"1st Floor Surya Complex West Boring Canal Road Patna - 800001",patna@actionaid.org,0612-2570556,www.actionaidindia.org,1972,"International Development Bihar Region","Bihar state operations"
56,ActionAid (Ranchi),"House No. 31 Road No. 4 Ashok Nagar Ranchi - 834002",ranchi@actionaid.org,0651-2241301,www.actionaidindia.org,1972,"International Development Jharkhand Region","Jharkhand regional office"
57,Teach For India (Delhi),"B-4/58 Safdarjung Enclave 2nd Floor New Delhi - 110029",delhi@teachforindia.org,011-26164371,www.teachforindia.org,2008,"Education Delhi Region","Delhi NCR fellowship and operations"
58,Teach For India (Pune),"3rd Floor Pride Purple Accord Behind Koregaon Park Pune - 411001",pune@teachforindia.org,020-67296000,www.teachforindia.org,2008,"Education Pune Region","Pune fellowship and program site"
59,Teach For India (Hyderabad),"Plot No. 12A Road No. 78 Jubilee Hills Hyderabad - 500033",hyderabad@teachforindia.org,040-23556000,www.teachforindia.org,2008,"Education Hyderabad Region","Telangana operations"
60,Teach For India (Bengaluru),"No. 5 4th Main Road SBM Colony Vijayanagar Bengaluru - 560040",bangalore@teachforindia.org,080-26631618,www.teachforindia.org,2008,"Education Bengaluru Region","Karnataka fellowship programs"
61,Teach For India (Chennai),"No. 4 Rutland Gate 5th Street Nungambakkam Chennai - 600006",chennai@teachforindia.org,044-28263300,www.teachforindia.org,2008,"Education Chennai Region","Tamil Nadu operations"
62,Magic Bus (Delhi),"D-89 2nd Floor Near Moolchand Metro Station Greater Kailash-2 New Delhi - 110048",delhi@magicbusindia.org,011-26447880,www.magicbusindia.org,1999,"Child Development Delhi Region","Delhi NCR youth programs"
63,Magic Bus (Bengaluru),"No. 58 1st Floor 2nd Cross CMR Road HRBR Layout Kalyan Nagar Bengaluru - 560043",bangalore@magicbusindia.org,080-25433002,www.magicbusindia.org,1999,"Child Development Bengaluru Region","Karnataka operations"
64,Magic Bus (Hyderabad),"Flat No. 101 Dwaraka Complex Himayatnagar Hyderabad - 500029",hyderabad@magicbusindia.org,040-27668800,www.magicbusindia.org,1999,"Child Development Hyderabad Region","Telangana youth development"
65,Childline India (Delhi),"3rd Floor CHAI Building 40 Institutional Area Near Hauz Khas New Delhi - 110016",delhi@childlineindia.org.in,011-26881555,www.childlineindia.org.in,1996,"Child Protection Delhi Region","1098 Delhi operations"
66,Childline India (Chennai),"5A Padmavathy Apartments 17th Street Nanganallur Chennai - 600061",chennai@childlineindia.org.in,044-22348880,www.childlineindia.org.in,1996,"Child Protection Chennai Region","Tamil Nadu 1098 services"
67,Childline India (Kolkata),"4/1 Bepin Pal Road Near Hemanta Mukherjee Park Kolkata - 700026",kolkata@childlineindia.org.in,033-24196000,www.childlineindia.org.in,1996,"Child Protection Kolkata Region","West Bengal child helpline"
68,Childline India (Bengaluru),"No. 3 AC Hall Road Kolar Main Road Fraser Town Bengaluru - 560005",bangalore@childlineindia.org.in,080-25460011,www.childlineindia.org.in,1996,"Child Protection Bengaluru Region","Karnataka 1098 operations"
69,Bhumi (Bengaluru),"No. 3 2nd Floor 8th Main Road Vasanthnagar Bengaluru - 560052",bangalore@bhumi.ngo,080-23540011,www.bhumi.ngo,2006,"Education Bengaluru Region","Karnataka volunteer programs"
70,Bhumi (Hyderabad),"Flat No. 301 Sai Krishna Residency Habsiguda Hyderabad - 500007",hyderabad@bhumi.ngo,040-27171100,www.bhumi.ngo,2006,"Education Hyderabad Region","Telangana volunteering"
71,Bhumi (Chennai Main),"Same as above - Chennai headquarters",contact@bhumi.ngo,+91 8754413255,www.bhumi.ngo,2006,"Education Tamil Nadu Region","Chennai main office"
72,Smile Foundation (Hyderabad),"Flat No. 302 3rd Floor SVR Plaza Mehdipatnam Hyderabad - 500028",hyderabad@smilefoundationindia.org,040-23550011,www.smilefoundationindia.org,2002,"Education Healthcare Telangana Region","South India operations hub"
73,Smile Foundation (Chennai),"Old No. 11 New No. 29 Venkatesa Agraharam Street Mylapore Chennai - 600004",chennai@smilefoundationindia.org,044-24980011,www.smilefoundationindia.org,2002,"Education Healthcare Tamil Nadu Region","Chennai regional office"
74,Smile Foundation (Bengaluru),"No. 100 Feet Road 4th Phase JP Nagar Bengaluru - 560078",bangalore@smilefoundationindia.org,080-26630011,www.smilefoundationindia.org,2002,"Education Healthcare Karnataka Region","Bengaluru regional operations"
75,Goonj (Hyderabad),"Plot No. 12-13-465 Near VST Colony Street No. 1 Tarnaka Hyderabad - 500017",hyderabad@goonj.org,040-27001139,www.goonj.org,1999,"Rural Development Disaster Relief Telangana","Telangana collection and distribution center"
76,Goonj (Mumbai),"Room No. 1 Ground Floor Building No. 7 Near RTO Kurla West Mumbai - 400070",mumbai@goonj.org,022-26501100,www.goonj.org,1999,"Rural Development Disaster Relief Mumbai","Western India collection center"
77,Goonj (Pune),"S.No. 28/2/1 Plot No. 10 Near Pancard Club Baner Road Pune - 411045",pune@goonj.org,020-27201100,www.goonj.org,1999,"Rural Development Disaster Relief Pune","Pune and Maharashtra operations"
78,Goonj (Ahmedabad),"1st Floor Sahjanand Complex Near Law Garden Ellisbridge Ahmedabad - 380006",ahmedabad@goonj.org,079-26401100,www.goonj.org,1999,"Rural Development Disaster Relief Gujarat","Gujarat state operations"
79,Pratham (Chennai),"15/2 A Block Ranga Annai Maligai 3rd Floor Venkata Maistry Street Chennai - 600001",chennai@pratham.org,044-25361011,www.pratham.org,1994,"Education Tamil Nadu Region","ASER Centre and Tamil Nadu operations"
80,Pratham (Bengaluru),"7A Main Road 3rd Block Jayanagar Bengaluru - 560011",bangalore@pratham.org,080-26630011,www.pratham.org,1994,"Education Karnataka Region","Karnataka education programs"
81,Pratham (Lucknow),"1/13 Sector A Aliganj Lucknow - 226024",lucknow@pratham.org,0522-2715000,www.pratham.org,1994,"Education UP Region","Uttar Pradesh programs; large scale operations"
82,Pratham (Patna),"3rd Floor Suvidha Complex Near Patna Museum Patna - 800001",patna@pratham.org,0612-2220110,www.pratham.org,1994,"Education Bihar Region","Bihar Read India campaign"
83,CARE India (Ranchi),"House No. 97 Near Booty More Argora Ranchi - 834002",ranchi@careindia.org,0651-2482200,www.careindia.org,1946,"Poverty Reduction Women Empowerment Jharkhand","Jharkhand tribal development"
84,CARE India (Raipur),"House No. 12 Sector 1 Near Shankar Nagar Raipur - 492001",raipur@careindia.org,0771-4053200,www.careindia.org,1946,"Poverty Reduction Women Empowerment Chhattisgarh","Chhattisgarh state programs"
85,CARE India (Bhubaneswar),"Plot No. 468 Kharvela Nagar Unit-III Bhubaneswar - 751001",bhubaneswar@careindia.org,0674-2540110,www.careindia.org,1946,"Poverty Reduction Women Empowerment Odisha","Odisha disaster response and development"
86,CARE India (Guwahati),"House No. 2 Near Dispur College GS Road Guwahati - 781006",guwahati@careindia.org,0361-2340110,www.careindia.org,1946,"Poverty Reduction Women Empowerment Assam","Northeast regional hub"
87,Save the Children (Lucknow),"B-1/74 Sector F Aliganj Lucknow - 226024",lucknow@savethechildren.in,0522-4013500,www.savethechildren.in,2008,"Child Protection UP Region","Uttar Pradesh child protection"
88,Save the Children (Ranchi),"Near Booty More Argora Ranchi - 834002",ranchi@savethechildren.in,0651-2482200,www.savethechildren.in,2008,"Child Protection Jharkhand Region","Jharkhand operations"
89,Save the Children (Bhubaneswar),"Unit-8 Near Ram Mandir Bhubaneswar - 751003",bhubaneswar@savethechildren.in,0674-2543200,www.savethechildren.in,2008,"Child Protection Odisha Region","Odisha state programs"
90,HelpAge India (Chennai Mobile),"Mobile Healthcare Unit Contact",south@helpageindia.org,044-28478171,www.helpageindia.org,1978,"Elder Mobile Healthcare Tamil Nadu","Mobile medical units for elders"
91,HelpAge India (Bangalore),"Spencer Plaza Bangalore (Branch)",south@helpageindia.org,080-26631600,www.helpageindia.org,1978,"Elder Care Karnataka","Karnataka elder care programs"
92,HelpAge India (Hyderabad),"2-2-18/1 Near OU Road Vidya Nagar Hyderabad - 500044",south@helpageindia.org,040-27668800,www.helpageindia.org,1978,"Elder Care Telangana","Telangana elder support"
93,HelpAge India (Pune),"14 Erandawane Near Garware College Pune - 411004",west@helpageindia.org,020-2563200,www.helpageindia.org,1978,"Elder Care Maharashtra Pune","Pune regional elder care"
94,HelpAge India (Ahmedabad),"5th Floor Sahjanand Complex Ellisbridge Ahmedabad - 380006",west@helpageindia.org,079-2643200,www.helpageindia.org,1978,"Elder Care Gujarat","Gujarat state programs"
95,Nanhi Kali (Delhi),"16th Floor Tower B Infinity Tower DLF Cyber City Gurgaon - 122002",delhi@nanhikali.org,0124-4758000,www.nanhikali.org,1996,"Girls' Education Delhi NCR","Northern India operations"
96,Nanhi Kali (Hyderabad),"Plot No. 25 Financial District Nanakramguda Hyderabad - 500032",hyderabad@nanhikali.org,040-2355000,www.nanhikali.org,1996,"Girls' Education Telangana","Telangana girl child education"
97,Nanhi Kali (Chennai),"Same as Mumbai HQ",support@nanhikali.org,+91 22 6897 5500,www.nanhikali.org,1996,"Girls' Education Tamil Nadu","Tamil Nadu sponsorship programs"
98,Nanhi Kali (Bengaluru),"Embassy Golf Links Business Park Bengaluru - 560071",bangalore@nanhikali.org,080-2663000,www.nanhikali.org,1996,"Girls' Education Karnataka","Karnataka sponsorship operations"
99,Akshaya Patra (Mumbai),"703 Reliable Plaza Same as Magic Bus Mumbai",mumbai@akshayapatra.org,022-62434848,www.akshayapatra.org,2000,"Mid-Day Meals Maharashtra","Western India expansion"
100,Akshaya Patra (Delhi),"Plot No. 12 Sector 25 Vibhuti Khand Delhi operations",delhi@akshayapatra.org,011-23401100,www.akshayapatra.org,2000,"Mid-Day Meals Delhi NCR","National capital region kitchen"
101,Oxfam India (Ahmedabad),"Sahjanand Complex Ahmedabad",ahmedabad@oxfamindia.org,079-2643200,www.oxfamindia.org,1951,"Poverty Alleviation Gujarat","Gujarat regional programs"
102,CRY (Delhi),"B-40 Som Vihar Phase-1 Near RK Puram New Delhi - 110022",delhi@crymail.org,011-26164271,www.cry.org,1979,"Child Rights Delhi Region","Northern India child rights"
103,CRY (Chennai),"15/2 Ranga Annai Maligai Venkata Maistry Street Chennai - 600001",chennai@crymail.org,044-25361011,www.cry.org,1979,"Child Rights Tamil Nadu Region","Tamil Nadu child protection"
104,CRY (Bengaluru),"7A Main Road Jayanagar 3rd Block Bengaluru - 560011",bangalore@crymail.org,080-26630011,www.cry.org,1979,"Child Rights Karnataka Region","Karnataka child rights advocacy"
105,CRY (Hyderabad),"Flat 301 Surya Complex Himayatnagar Hyderabad - 500029",hyderabad@crymail.org,040-27668800,www.cry.org,1979,"Child Rights Telangana Region","Telangana child welfare"
106,CRY (Kolkata),"4/1 Bepin Pal Road Near Hemanta Park Kolkata - 700026",kolkata@crymail.org,033-24980011,www.cry.org,1979,"Child Rights West Bengal Region","West Bengal operations"
107,CARE India (Hyderabad),"Same address as other Hyderabad NGOs",hyderabad@careindia.org,040-23556000,www.careindia.org,1946,"Poverty Reduction Telangana","Telangana women empowerment"
108,Goonj (Lucknow),"C-1/8 Vineet Khand Gomti Nagar Lucknow - 226010",lucknow@goonj.org,0522-2301500,www.goonj.org,1999,"Rural Development UP Region","Uttar Pradesh collection hub"
109,ActionAid (Hyderabad),"Surya Complex Himayatnagar Hyderabad",hyderabad@actionaid.org,040-27668800,www.actionaidindia.org,1972,"International Development Telangana","Telangana grassroots work"
110,Teach For India (Ahmedabad),"Ahmedabad Fellowship",ahmedabad@teachforindia.org,079-2643200,www.teachforindia.org,2008,"Education Gujarat Region","Gujarat fellowship site"
