Program_ID,Year,Quarter,State,District,Health_Program,Data_Source,Population_Covered,Households_Served,ASHA_Involved,Patients_Treated,Vaccination_Sessions,Severe_Cases,Recovery_Rate_%,Dataset_Type
P1_16,2020,Q3,Kerala,Thrissur,Nutrition Program,State Health Society Rajasthan,253994,32659,208,2747,491,96,68,Health_Program
P1_17,2022,Q4,Assam,Dibrugarh,Nutrition Program,Kerala Health Department,205129,28369,230,3535,625,183,86,Health_Program
P1_18,2024,Q1,Assam,Silchar,Child Immunization,UNICEF India,176450,6581,98,3852,107,138,69,Health_Program
P1_19,2023,Q3,Punjab,Amritsar,TB Control,Punjab Health Mission,229371,45732,33,3077,60,126,66,Health_Program
P1_20,2024,Q2,Punjab,Patiala,Malaria Control,UNICEF India,337395,46724,67,1076,391,100,93,Health_Program
P1_21,2021,Q2,Odisha,Bhubaneswar,Nutrition Program,State Health Society Rajasthan,41152,32290,126,1611,664,49,66,Health_Program
P1_22,2021,Q2,Kerala,Thrissur,Child Immunization,Assam NRHM,358367,7363,146,736,429,193,85,Health_Program
P1_23,2022,Q3,Kerala,Thrissur,Nutrition Program,Assam NRHM,265526,40414,120,2627,134,95,79,Health_Program
P1_24,2020,Q3,Odisha,Cuttack,Nutrition Program,State Health Society Rajasthan,335035,14050,84,1572,365,3,94,Health_Program
P1_25,2023,Q4,Odisha,Cuttack,Maternal Health,NHM Odisha,308011,47856,84,2890,425,52,88,Health_Program
P1_26,2020,Q1,Odisha,Puri,Nutrition Program,State Health Society Rajasthan,113113,24607,100,1151,673,110,92,Health_Program
P1_27,2024,Q2,Punjab,Patiala,Nutrition Program,CARE India,201210,8630,163,3636,347,170,71,Health_Program
P1_28,2020,Q1,Rajasthan,Udaipur,TB Control,Kerala Health Department,399038,18742,170,2124,753,163,66,Health_Program
P1_29,2020,Q1,Rajasthan,Jaipur,Malaria Control,CARE India,40725,21118,117,2970,352,40,96,Health_Program
P1_30,2022,Q2,Odisha,Puri,Malaria Control,Kerala Health Department,213974,40956,250,4201,686,140,62,Health_Program
P1_31,2023,Q1,Kerala,Thrissur,Child Immunization,Punjab Health Mission,271261,26990,201,1708,784,9,66,Health_Program
P1_32,2020,Q4,Punjab,Ludhiana,TB Control,State Health Society Rajasthan,174535,49621,54,1688,332,128,72,Health_Program
P1_33,2024,Q3,Assam,Silchar,Malaria Control,NHM Odisha,292447,12198,123,4513,114,139,69,Health_Program
P1_34,2024,Q4,Rajasthan,Jaipur,TB Control,NHM Odisha,300002,32723,113,3621,213,150,79,Health_Program
P1_35,2023,Q1,Punjab,Ludhiana,Malaria Control,NHM Odisha,250838,26645,229,946,301,98,67,Health_Program
P1_36,2020,Q2,Punjab,Ludhiana,TB Control,Assam NRHM,62378,30996,105,3616,791,157,98,Health_Program
P1_37,2023,Q4,Punjab,Patiala,Nutrition Program,State Health Society Rajasthan,264203,38468,214,1186,123,10,78,Health_Program
P1_38,2020,Q3,Punjab,Ludhiana,Maternal Health,UNICEF India,289647,26449,156,4375,760,48,65,Health_Program
P1_39,2023,Q1,Rajasthan,Udaipur,Nutrition Program,Kerala Health Department,241271,15842,149,4425,594,52,98,Health_Program
P1_40,2020,Q3,Punjab,Ludhiana,Nutrition Program,Kerala Health Department,273947,8554,191,3682,661,2,65,Health_Program
P1_41,2020,Q2,Punjab,Amritsar,Malaria Control,UNICEF India,352332,18692,238,1672,351,157,97,Health_Program
P1_42,2020,Q2,Assam,Silchar,Nutrition Program,State Health Society Rajasthan,329877,41265,76,3472,541,153,70,Health_Program
P1_43,2023,Q3,Punjab,Ludhiana,Child Immunization,Kerala Health Department,155164,24089,118,4259,116,111,70,Health_Program
P1_44,2022,Q3,Rajasthan,Udaipur,Malaria Control,State Health Society Rajasthan,169983,23247,189,1868,564,199,83,Health_Program
P1_45,2024,Q3,Rajasthan,Jodhpur,Nutrition Program,UNICEF India,91374,7066,46,2160,630,38,74,Health_Program
P1_46,2021,Q2,Odisha,Bhubaneswar,Nutrition Program,State Health Society Rajasthan,210546,21123,178,3031,753,135,79,Health_Program
P1_47,2021,Q4,Kerala,Thrissur,TB Control,NHM Odisha,42292,39988,205,548,557,132,65,Health_Program
P1_48,2022,Q2,Rajasthan,Jaipur,Child Immunization,CARE India,375021,28686,46,3451,204,18,70,Health_Program
P1_49,2021,Q3,Odisha,Puri,TB Control,Assam NRHM,275747,41713,82,1455,86,199,78,Health_Program
P1_50,2022,Q1,Assam,Dibrugarh,Nutrition Program,Assam NRHM,76952,26913,188,4036,629,188,76,Health_Program
P1_51,2021,Q4,Odisha,Bhubaneswar,Child Immunization,State Health Society Rajasthan,43385,11278,244,4905,430,188,77,Health_Program
P1_52,2023,Q4,Rajasthan,Udaipur,Child Immunization,UNICEF India,173783,20809,231,4976,188,133,81,Health_Program
P1_53,2023,Q1,Assam,Silchar,Malaria Control,Kerala Health Department,121481,30395,249,866,471,184,98,Health_Program
P1_54,2022,Q3,Assam,Guwahati,Malaria Control,Kerala Health Department,297239,47771,77,2844,441,130,60,Health_Program
P1_55,2021,Q4,Kerala,Kochi,Child Immunization,NHM Odisha,153657,42295,114,127,411,74,82,Health_Program
P1_56,2021,Q4,Odisha,Bhubaneswar,Nutrition Program,Assam NRHM,305863,45219,153,1631,418,187,91,Health_Program
P1_57,2024,Q1,Assam,Dibrugarh,Maternal Health,UNICEF India,317639,27308,217,4631,694,108,69,Health_Program
P1_58,2022,Q3,Kerala,Kozhikode,Child Immunization,Kerala Health Department,256510,18424,71,3164,588,155,82,Health_Program
P1_59,2022,Q2,Kerala,Thrissur,Malaria Control,Assam NRHM,368891,35265,66,3099,749,111,79,Health_Program
P1_60,2021,Q2,Rajasthan,Jodhpur,Maternal Health,State Health Society Rajasthan,121350,19869,67,3911,413,48,70,Health_Program
P1_61,2023,Q3,Rajasthan,Jaipur,Maternal Health,State Health Society Rajasthan,100749,32477,210,653,528,155,78,Health_Program
P1_62,2022,Q1,Kerala,Thrissur,TB Control,NHM Odisha,246375,16403,70,179,746,117,81,Health_Program
P1_63,2023,Q2,Assam,Dibrugarh,Child Immunization,CARE India,375741,14304,220,1539,461,38,96,Health_Program
P1_64,2023,Q4,Rajasthan,Udaipur,Malaria Control,UNICEF India,339029,31786,106,3750,440,55,77,Health_Program
P1_65,2024,Q2,Rajasthan,Jodhpur,Maternal Health,Kerala Health Department,82731,12824,128,2370,72,139,91,Health_Program
P1_66,2020,Q4,Assam,Dibrugarh,Nutrition Program,NHM Odisha,331039,46429,231,231,436,52,79,Health_Program
P1_67,2020,Q2,Assam,Dibrugarh,Malaria Control,Assam NRHM,152875,23328,36,386,136,122,96,Health_Program
P1_68,2024,Q2,Kerala,Kochi,TB Control,UNICEF India,197416,16265,121,967,122,171,80,Health_Program
P1_69,2020,Q1,Rajasthan,Jaipur,TB Control,Assam NRHM,213606,13197,202,3034,404,116,73,Health_Program
P1_70,2020,Q4,Kerala,Thrissur,Maternal Health,State Health Society Rajasthan,127924,44558,191,3282,412,63,86,Health_Program
P1_71,2024,Q2,Kerala,Kozhikode,Child Immunization,Punjab Health Mission,364863,47253,213,3405,287,81,81,Health_Program
P1_72,2020,Q3,Punjab,Patiala,Malaria Control,Assam NRHM,380636,13953,216,3773,678,140,95,Health_Program
P1_73,2024,Q1,Kerala,Thrissur,Nutrition Program,Kerala Health Department,176106,42590,146,1733,460,107,65,Health_Program
P1_74,2022,Q1,Rajasthan,Jaipur,Child Immunization,NHM Odisha,234733,35268,65,2280,272,172,61,Health_Program
P1_75,2024,Q4,Odisha,Cuttack,Maternal Health,State Health Society Rajasthan,113594,19917,109,1264,262,186,68,Health_Program
P1_76,2024,Q3,Kerala,Kochi,Child Immunization,CARE India,380715,33227,100,4757,237,149,69,Health_Program
P1_77,2024,Q1,Assam,Dibrugarh,Maternal Health,Kerala Health Department,68634,12861,85,2344,552,186,72,Health_Program
P1_78,2022,Q1,Kerala,Kozhikode,Maternal Health,Kerala Health Department,94733,16814,148,1242,195,146,84,Health_Program
P1_79,2024,Q1,Kerala,Kozhikode,Malaria Control,State Health Society Rajasthan,345936,26841,36,1376,131,103,83,Health_Program
P1_80,2020,Q3,Assam,Dibrugarh,TB Control,State Health Society Rajasthan,333870,16278,157,2534,316,51,79,Health_Program
P1_81,2023,Q2,Rajasthan,Jaipur,Maternal Health,NHM Odisha,278352,38895,174,4388,273,106,60,Health_Program
P1_82,2022,Q4,Assam,Dibrugarh,Malaria Control,State Health Society Rajasthan,202788,11113,172,3896,410,109,64,Health_Program
P1_83,2021,Q2,Rajasthan,Jodhpur,Nutrition Program,NHM Odisha,50254,7605,215,969,62,46,60,Health_Program
P1_84,2021,Q3,Rajasthan,Jaipur,TB Control,Assam NRHM,102392,37256,185,1554,135,101,72,Health_Program
P1_85,2023,Q4,Punjab,Amritsar,Child Immunization,Assam NRHM,63419,25917,87,1256,508,160,93,Health_Program
P1_86,2020,Q3,Kerala,Kozhikode,Malaria Control,Kerala Health Department,375325,46832,228,1953,77,194,93,Health_Program
P1_87,2022,Q1,Punjab,Patiala,Nutrition Program,Kerala Health Department,375036,7357,30,826,712,174,76,Health_Program
P1_88,2022,Q4,Punjab,Amritsar,Nutrition Program,Kerala Health Department,63632,18709,247,3138,568,139,96,Health_Program
P1_89,2024,Q1,Rajasthan,Udaipur,Malaria Control,NHM Odisha,387878,21424,228,2200,428,111,67,Health_Program
P1_90,2023,Q3,Assam,Dibrugarh,Malaria Control,NHM Odisha,66972,18176,53,3399,156,30,80,Health_Program
P1_91,2024,Q4,Rajasthan,Jaipur,Child Immunization,NHM Odisha,264079,38833,36,2831,82,39,69,Health_Program
P1_92,2023,Q1,Punjab,Amritsar,TB Control,NHM Odisha,143083,30753,69,4642,109,46,91,Health_Program
P1_93,2022,Q3,Assam,Guwahati,Child Immunization,NHM Odisha,152840,21354,40,284,437,172,95,Health_Program
P1_94,2021,Q2,Rajasthan,Jodhpur,Child Immunization,Punjab Health Mission,282653,5330,86,836,250,64,90,Health_Program
P1_95,2021,Q4,Punjab,Amritsar,TB Control,NHM Odisha,270009,48602,152,665,325,120,78,Health_Program
P1_96,2022,Q1,Rajasthan,Jodhpur,Maternal Health,UNICEF India,135145,10419,63,216,284,88,97,Health_Program
P1_97,2020,Q2,Rajasthan,Jaipur,Nutrition Program,NHM Odisha,191441,34343,85,3900,517,149,60,Health_Program
P1_98,2023,Q4,Rajasthan,Udaipur,TB Control,Assam NRHM,367640,15548,196,4788,626,88,62,Health_Program
P1_99,2023,Q1,Kerala,Kochi,Maternal Health,State Health Society Rajasthan,389472,35701,69,4197,55,181,69,Health_Program
P1_100,2021,Q3,Punjab,Ludhiana,Malaria Control,State Health Society Rajasthan,379272,9862,61,167,787,0,97,Health_Program
P1_101,2020,Q3,Odisha,Bhubaneswar,TB Control,State Health Society Rajasthan,42185,24063,243,2887,272,51,70,Health_Program
P1_102,2024,Q4,Punjab,Ludhiana,Child Immunization,Kerala Health Department,368938,19972,247,3069,250,25,93,Health_Program
P1_103,2020,Q4,Assam,Silchar,Maternal Health,State Health Society Rajasthan,279109,30893,66,3253,396,70,92,Health_Program
P1_104,2022,Q2,Punjab,Amritsar,Child Immunization,NHM Odisha,291310,25093,126,4889,740,117,80,Health_Program
P1_105,2020,Q1,Odisha,Bhubaneswar,Malaria Control,Kerala Health Department,235497,18411,130,199,345,5,73,Health_Program
P1_106,2024,Q4,Assam,Silchar,Maternal Health,NHM Odisha,191900,30133,51,2104,712,171,94,Health_Program
P1_107,2023,Q1,Assam,Silchar,Malaria Control,Assam NRHM,322585,10785,112,1427,60,196,84,Health_Program
P1_108,2024,Q1,Kerala,Kozhikode,Nutrition Program,UNICEF India,291026,42733,219,1810,393,13,63,Health_Program
P1_109,2022,Q1,Punjab,Amritsar,Maternal Health,Assam NRHM,166806,29487,233,190,766,135,86,Health_Program
P1_110,2021,Q2,Rajasthan,Udaipur,TB Control,State Health Society Rajasthan,115572,5021,168,2402,147,138,73,Health_Program
P1_111,2023,Q3,Rajasthan,Udaipur,Malaria Control,Punjab Health Mission,171552,13330,113,158,223,63,88,Health_Program
P1_112,2023,Q3,Punjab,Ludhiana,Maternal Health,CARE India,95197,31818,136,3243,625,89,93,Health_Program
P1_113,2023,Q3,Punjab,Patiala,Malaria Control,CARE India,184835,6078,206,3550,667,58,63,Health_Program
P1_114,2022,Q2,Odisha,Puri,Nutrition Program,UNICEF India,250073,34110,164,783,174,40,96,Health_Program
P1_115,2022,Q3,Odisha,Cuttack,Maternal Health,Assam NRHM,389405,47525,87,4815,542,57,66,Health_Program
P1_116,2024,Q3,Kerala,Kochi,Child Immunization,UNICEF India,359101,44615,194,1050,143,150,79,Health_Program
P1_117,2020,Q3,Kerala,Thrissur,Malaria Control,State Health Society Rajasthan,267794,15286,76,1876,137,101,71,Health_Program
P1_118,2022,Q1,Rajasthan,Jodhpur,Nutrition Program,State Health Society Rajasthan,122268,11699,234,424,373,81,66,Health_Program
P1_119,2020,Q4,Odisha,Cuttack,Nutrition Program,Punjab Health Mission,344639,7312,246,776,495,8,95,Health_Program
P1_120,2020,Q2,Odisha,Cuttack,Malaria Control,UNICEF India,300799,34739,191,3460,574,171,82,Health_Program
P1_121,2021,Q3,Odisha,Puri,TB Control,State Health Society Rajasthan,191420,31256,152,2924,578,174,95,Health_Program
P1_122,2020,Q1,Assam,Dibrugarh,Child Immunization,NHM Odisha,357003,12351,170,687,797,34,92,Health_Program
P1_123,2020,Q3,Kerala,Kozhikode,Malaria Control,Punjab Health Mission,352760,5771,40,3735,493,94,98,Health_Program
P1_124,2024,Q3,Kerala,Thrissur,Malaria Control,Kerala Health Department,196174,28379,164,1771,363,55,87,Health_Program
P1_125,2021,Q2,Punjab,Ludhiana,Maternal Health,Assam NRHM,155648,21264,24,722,351,74,66,Health_Program
P1_126,2020,Q4,Punjab,Patiala,Nutrition Program,Assam NRHM,52237,44614,139,276,144,196,92,Health_Program
P1_127,2023,Q4,Assam,Silchar,TB Control,Assam NRHM,366194,10387,168,349,371,176,70,Health_Program
P1_128,2022,Q2,Odisha,Puri,Nutrition Program,State Health Society Rajasthan,365328,39089,32,470,568,124,96,Health_Program
P1_129,2024,Q1,Odisha,Puri,TB Control,NHM Odisha,108862,16644,182,819,731,156,76,Health_Program
P1_130,2024,Q2,Rajasthan,Jaipur,Malaria Control,Assam NRHM,161020,24394,25,4251,254,49,91,Health_Program
P1_131,2023,Q4,Odisha,Bhubaneswar,Maternal Health,State Health Society Rajasthan,77742,21783,110,4083,649,7,87,Health_Program
P1_132,2024,Q3,Assam,Guwahati,TB Control,UNICEF India,258566,21510,243,364,467,80,93,Health_Program
P1_133,2022,Q1,Assam,Guwahati,TB Control,UNICEF India,242182,22127,187,4268,155,63,98,Health_Program
P1_134,2022,Q3,Assam,Guwahati,Nutrition Program,State Health Society Rajasthan,84824,7417,104,1560,547,54,72,Health_Program
P1_135,2020,Q3,Punjab,Patiala,Malaria Control,Punjab Health Mission,370543,38639,205,1942,501,33,75,Health_Program
P1_136,2024,Q3,Punjab,Patiala,Child Immunization,Punjab Health Mission,44886,38147,24,2112,135,95,65,Health_Program
P1_137,2021,Q4,Odisha,Bhubaneswar,Malaria Control,UNICEF India,374648,21198,168,1957,155,73,70,Health_Program
P1_138,2023,Q3,Odisha,Cuttack,Nutrition Program,Assam NRHM,343436,46139,197,4184,709,48,72,Health_Program
P1_139,2023,Q3,Punjab,Amritsar,TB Control,Assam NRHM,246379,36468,68,757,749,57,61,Health_Program
P1_140,2024,Q1,Assam,Guwahati,TB Control,Assam NRHM,223840,38678,70,1400,269,8,67,Health_Program
P1_141,2024,Q1,Assam,Guwahati,Child Immunization,State Health Society Rajasthan,103787,7378,82,718,66,195,66,Health_Program
P1_142,2022,Q4,Assam,Silchar,Malaria Control,Punjab Health Mission,285983,24479,98,3389,282,83,89,Health_Program
P1_143,2024,Q2,Rajasthan,Jaipur,TB Control,NHM Odisha,379114,45906,243,3929,299,133,92,Health_Program
P1_144,2024,Q2,Odisha,Puri,TB Control,Kerala Health Department,270875,37202,71,2915,220,52,87,Health_Program
P1_145,2024,Q1,Odisha,Puri,Child Immunization,NHM Odisha,192348,10781,238,2958,466,85,90,Health_Program
P1_146,2022,Q1,Punjab,Amritsar,TB Control,Kerala Health Department,322650,21401,109,4497,147,70,93,Health_Program
P1_147,2023,Q4,Assam,Silchar,Child Immunization,NHM Odisha,93789,41508,173,799,516,198,94,Health_Program
P1_148,2024,Q3,Rajasthan,Jaipur,Maternal Health,CARE India,222303,21513,165,1257,292,176,80,Health_Program
P1_149,2023,Q2,Kerala,Thrissur,Nutrition Program,State Health Society Rajasthan,135553,32216,219,4071,129,107,69,Health_Program
P1_150,2022,Q2,Kerala,Kozhikode,Malaria Control,NHM Odisha,320693,40880,36,1407,399,51,90,Health_Program
P1_151,2020,Q4,Kerala,Thrissur,Malaria Control,State Health Society Rajasthan,339788,30878,80,4817,146,149,70,Health_Program
P1_152,2023,Q1,Assam,Guwahati,Nutrition Program,Punjab Health Mission,185248,30484,115,1341,67,130,78,Health_Program
P1_153,2022,Q2,Assam,Dibrugarh,Malaria Control,Kerala Health Department,381992,40074,114,638,377,140,72,Health_Program
P1_154,2022,Q2,Kerala,Kozhikode,TB Control,State Health Society Rajasthan,98147,15077,35,2703,533,122,83,Health_Program
P1_155,2022,Q2,Rajasthan,Jaipur,Maternal Health,Punjab Health Mission,381450,45190,69,4845,591,174,74,Health_Program
P1_156,2024,Q4,Punjab,Amritsar,Maternal Health,UNICEF India,382033,29956,101,4655,644,60,69,Health_Program
P1_157,2024,Q3,Odisha,Cuttack,TB Control,UNICEF India,82909,47355,157,3274,62,196,67,Health_Program
P1_158,2023,Q1,Odisha,Puri,Malaria Control,Punjab Health Mission,325011,42531,74,1510,624,107,63,Health_Program
P1_159,2024,Q1,Assam,Silchar,Malaria Control,UNICEF India,164443,10837,221,4730,577,79,67,Health_Program
P1_160,2024,Q2,Rajasthan,Udaipur,Nutrition Program,Punjab Health Mission,236842,28474,178,4163,444,118,88,Health_Program
P1_161,2024,Q4,Rajasthan,Jaipur,Malaria Control,CARE India,89855,48958,126,3837,131,145,61,Health_Program
P1_162,2021,Q4,Punjab,Amritsar,Malaria Control,State Health Society Rajasthan,310523,12841,28,4605,155,11,64,Health_Program
P1_163,2021,Q2,Assam,Dibrugarh,TB Control,State Health Society Rajasthan,103284,10385,202,2423,685,20,69,Health_Program
P1_164,2023,Q1,Kerala,Thrissur,Maternal Health,Assam NRHM,269022,48108,34,3271,679,29,98,Health_Program
P1_165,2021,Q3,Assam,Guwahati,Malaria Control,State Health Society Rajasthan,265295,43175,246,2494,488,3,67,Health_Program
P1_166,2024,Q3,Rajasthan,Udaipur,Maternal Health,NHM Odisha,112545,41581,30,2654,411,52,85,Health_Program
P1_167,2020,Q2,Odisha,Bhubaneswar,Nutrition Program,CARE India,241236,31607,138,4557,447,27,83,Health_Program
P1_168,2020,Q3,Kerala,Kochi,Child Immunization,CARE India,112984,29535,89,2465,73,71,96,Health_Program
P1_169,2023,Q4,Punjab,Patiala,Maternal Health,Kerala Health Department,398929,49066,93,1324,435,107,66,Health_Program
P1_170,2024,Q4,Assam,Guwahati,Malaria Control,Assam NRHM,206759,28062,101,386,414,69,67,Health_Program
P1_171,2023,Q1,Assam,Silchar,TB Control,CARE India,273152,44030,200,2602,226,6,66,Health_Program
P1_172,2020,Q1,Punjab,Patiala,Malaria Control,NHM Odisha,53761,47234,227,4780,517,125,82,Health_Program
P1_173,2023,Q2,Kerala,Thrissur,TB Control,UNICEF India,218381,21241,48,1391,623,32,95,Health_Program
P1_174,2024,Q2,Rajasthan,Jodhpur,Nutrition Program,UNICEF India,94721,11297,75,764,329,100,92,Health_Program
P1_175,2020,Q3,Kerala,Thrissur,Maternal Health,CARE India,313396,37507,129,3051,690,159,63,Health_Program
P1_176,2021,Q1,Kerala,Thrissur,Nutrition Program,NHM Odisha,280918,13148,178,2246,387,53,75,Health_Program
P1_177,2023,Q4,Rajasthan,Jodhpur,Child Immunization,NHM Odisha,192616,12395,214,3133,432,103,93,Health_Program
P1_178,2021,Q1,Punjab,Patiala,Malaria Control,Punjab Health Mission,201187,9389,23,854,581,85,77,Health_Program
P1_179,2023,Q3,Kerala,Kozhikode,Nutrition Program,Assam NRHM,379229,42666,93,3422,744,106,64,Health_Program
P2_0,2015,Q3,Rajasthan,Udaipur,TB Control,NHM Odisha,309251,15357,169,4823,585,159,82,Health_Program
P2_1,2018,Q4,Rajasthan,Jodhpur,TB Control,State Health Society Rajasthan,102379,48861,92,984,328,153,98,Health_Program
P2_2,2016,Q2,Punjab,Ludhiana,Child Immunization,CARE India,55056,41559,183,3831,742,78,92,Health_Program
P2_3,2015,Q1,Rajasthan,Jaipur,Child Immunization,UNICEF India,357653,29301,168,4106,635,70,82,Health_Program
P2_4,2018,Q1,Assam,Guwahati,Malaria Control,Assam NRHM,80643,44072,125,1184,123,105,66,Health_Program
P2_5,2018,Q2,Odisha,Bhubaneswar,Maternal Health,State Health Society Rajasthan,319618,42696,121,2009,724,127,66,Health_Program
P2_6,2019,Q1,Odisha,Cuttack,Child Immunization,Kerala Health Department,55757,8782,169,1133,173,54,88,Health_Program
P2_7,2019,Q2,Kerala,Thrissur,TB Control,Punjab Health Mission,257592,31295,150,2046,627,96,82,Health_Program
P2_8,2018,Q4,Punjab,Amritsar,Maternal Health,CARE India,322271,47900,167,1025,673,165,77,Health_Program
P2_9,2017,Q1,Assam,Silchar,Maternal Health,State Health Society Rajasthan,345034,35238,28,685,222,22,70,Health_Program
P2_10,2017,Q1,Punjab,Amritsar,Nutrition Program,Punjab Health Mission,354834,35717,155,2616,130,108,87,Health_Program
P2_11,2016,Q3,Assam,Dibrugarh,Nutrition Program,NHM Odisha,357663,5775,208,2619,75,115,66,Health_Program
P2_12,2019,Q1,Odisha,Puri,Malaria Control,Kerala Health Department,65240,6301,83,3703,98,47,92,Health_Program
P2_13,2019,Q1,Kerala,Thrissur,Child Immunization,CARE India,350563,47281,233,255,623,50,61,Health_Program
P2_14,2019,Q1,Kerala,Kochi,Nutrition Program,UNICEF India,399879,8072,186,647,355,38,63,Health_Program
P2_15,2017,Q2,Assam,Silchar,Child Immunization,NHM Odisha,208450,26814,193,2767,175,155,86,Health_Program
P2_16,2016,Q1,Kerala,Thrissur,Malaria Control,NHM Odisha,71902,9578,228,798,301,103,63,Health_Program
P2_17,2015,Q3,Kerala,Kozhikode,TB Control,Assam NRHM,81535,15555,105,889,392,121,83,Health_Program
P2_18,2019,Q1,Odisha,Cuttack,Maternal Health,Punjab Health Mission,66050,39425,60,1476,624,111,85,Health_Program
P2_19,2018,Q2,Odisha,Bhubaneswar,Maternal Health,CARE India,214206,47251,90,2049,737,71,65,Health_Program
P2_20,2015,Q3,Rajasthan,Jodhpur,Child Immunization,State Health Society Rajasthan,111545,28136,137,2504,368,63,63,Health_Program
P2_21,2015,Q4,Odisha,Cuttack,Malaria Control,CARE India,237967,33957,210,4150,262,101,74,Health_Program
P2_22,2017,Q3,Assam,Silchar,TB Control,CARE India,140726,22756,27,1001,506,44,74,Health_Program
P2_23,2019,Q1,Rajasthan,Udaipur,Child Immunization,CARE India,252300,46543,128,1194,379,33,84,Health_Program
P2_24,2016,Q2,Odisha,Puri,Maternal Health,State Health Society Rajasthan,175220,18860,58,3704,762,123,80,Health_Program
P2_25,2019,Q3,Odisha,Puri,Child Immunization,Assam NRHM,171864,47726,128,1399,63,118,67,Health_Program
P2_26,2016,Q1,Rajasthan,Jaipur,Nutrition Program,State Health Society Rajasthan,181837,21912,134,1427,782,122,82,Health_Program
P2_27,2017,Q3,Assam,Silchar,Child Immunization,Assam NRHM,243699,6475,227,4540,571,118,87,Health_Program
P2_28,2018,Q3,Assam,Silchar,Maternal Health,NHM Odisha,346769,35179,219,4179,575,151,63,Health_Program
P2_29,2015,Q4,Punjab,Ludhiana,Nutrition Program,Assam NRHM,254771,11910,192,736,179,43,78,Health_Program
P2_30,2017,Q2,Kerala,Kozhikode,Child Immunization,Assam NRHM,186743,19776,71,4026,577,160,74,Health_Program
P2_31,2019,Q3,Odisha,Bhubaneswar,Child Immunization,Kerala Health Department,393010,43286,230,399,510,8,86,Health_Program
P2_32,2017,Q1,Kerala,Kozhikode,Maternal Health,Punjab Health Mission,92285,6815,185,2577,546,69,95,Health_Program
P2_33,2017,Q2,Rajasthan,Jodhpur,Malaria Control,Kerala Health Department,174996,6455,44,3456,696,21,94,Health_Program
P2_34,2018,Q3,Odisha,Puri,Malaria Control,Assam NRHM,349035,24829,48,261,564,38,71,Health_Program
P2_35,2017,Q3,Assam,Silchar,Maternal Health,Kerala Health Department,82761,15924,96,4627,798,135,63,Health_Program
P2_36,2016,Q1,Assam,Guwahati,Malaria Control,Kerala Health Department,48760,20983,161,4634,707,197,96,Health_Program
P2_37,2018,Q1,Assam,Silchar,TB Control,Punjab Health Mission,80759,49644,68,3612,609,119,63,Health_Program
P2_38,2016,Q4,Kerala,Thrissur,Child Immunization,CARE India,196645,13546,174,1104,507,152,85,Health_Program
P2_39,2015,Q4,Punjab,Ludhiana,Nutrition Program,State Health Society Rajasthan,204602,9815,241,1395,328,176,92,Health_Program
P2_40,2015,Q4,Kerala,Kochi,Maternal Health,Assam NRHM,166250,16195,104,467,594,127,61,Health_Program
P2_41,2019,Q1,Assam,Guwahati,TB Control,Kerala Health Department,156520,47136,243,2891,77,94,66,Health_Program
P2_42,2016,Q2,Odisha,Cuttack,TB Control,State Health Society Rajasthan,383749,11501,121,2205,719,145,95,Health_Program
