village_name,problem_type,severity,affected_families,ngo_1_name,ngo_1_work
Vadodara,"Malaria, Dengue, Tuberculosis",Medium,15956,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Surat,"Malaria, Dengue, Tuberculosis",Medium,12641,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Hubli,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,58181,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Nagpur,"Malaria, Dengue, Tuberculosis",High,41044,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Surat,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",High,37041,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Hubli,"Malaria, Dengue, Tuberculosis",Low,36752,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Bengaluru,"Malaria, Tuberculosis",Medium,36914,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Mumbai,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,32775,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Coimbatore,"Malaria, Dengue, Tuberculosis",High,13981,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Lucknow,"Malaria, Dengue, Tuberculosis",Medium,18197,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Surat,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,15956,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Ahmedabad,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Low,22838,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Bengaluru,"Malaria, Dengue, Tuberculosis",Medium,38659,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Coimbatore,"Malaria, Dengue, Tuberculosis",Medium,34541,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Hubli,"Malaria, Dengue, Tuberculosis",High,16231,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Madurai,"Malaria, Dengue, Tuberculosis",Low,34137,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Chennai,"Malaria, Dengue, Tuberculosis",Low,59359,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Bengaluru,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Medium,49171,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Pune,"Malaria, Dengue, Tuberculosis",Low,47658,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Ahmedabad,"Malaria, Dengue, Tuberculosis",Medium,12771,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Vadodara,"Malaria, Dengue, Tuberculosis",Medium,14007,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Pune,"Malaria, Dengue, Tuberculosis",Low,44376,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Coimbatore,"Malaria, Dengue, Tuberculosis",Low,26715,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Coimbatore,"Malaria, Dengue, Tuberculosis",Medium,18578,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Madurai,"Malaria, Dengue, Tuberculosis",Low,54903,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Varanasi,"Malaria, Dengue, Tuberculosis",High,30159,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Varanasi,"Malaria, Dengue, Tuberculosis",High,44697,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Madurai,"Malaria, Dengue, Tuberculosis",High,27309,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Pune,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Low,63726,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Agra,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Medium,20101,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Bengaluru,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,15031,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Mumbai,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",High,35144,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Madurai,"Malaria, Dengue, Tuberculosis",Low,26738,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Vadodara,"Malaria, Dengue, Tuberculosis",High,63778,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Mysuru,"Malaria, Dengue, Tuberculosis",High,54275,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Hubli,"Malaria, Dengue, Tuberculosis",Medium,72292,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Vadodara,"Malaria, Dengue, Tuberculosis",Low,37785,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Hubli,"Malaria, Dengue, Tuberculosis",Low,34980,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Varanasi,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,19964,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Coimbatore,"Malaria, Dengue, Tuberculosis",Medium,39510,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Varanasi,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,54102,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Coimbatore,"Malaria, Dengue, Tuberculosis",Medium,38023,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Bengaluru,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Low,27190,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Surat,"Malaria, Dengue, Tuberculosis",High,46338,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Ahmedabad,"Malaria, Dengue, Tuberculosis",Low,70943,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Pune,"Malaria, Dengue, Tuberculosis",Low,17968,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Varanasi,"Malaria, Dengue, Tuberculosis",Medium,38239,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Agra,"Malaria, Dengue, Tuberculosis",Medium,48796,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Coimbatore,"Malaria, Dengue, Tuberculosis",Low,60514,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Agra,"Malaria, Dengue, Tuberculosis",Low,50422,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Hubli,"Malaria, Dengue, Tuberculosis",Medium,59369,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Mysuru,"Malaria, Dengue, Tuberculosis",Low,30947,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Varanasi,"Malaria, Dengue, Tuberculosis",Medium,56880,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Pune,"Malaria, Dengue, Tuberculosis",Medium,71309,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Mysuru,"Malaria, Dengue, Tuberculosis",Low,32486,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Agra,"Malaria, Dengue, Tuberculosis",Low,16842,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Agra,"Malaria, Dengue, Tuberculosis",Medium,54215,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Ahmedabad,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage, Low Antenatal Care",High,46482,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Coimbatore,"Malaria, Dengue, Tuberculosis",High,42612,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Pune,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,62719,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Ahmedabad,"Malaria, Dengue, Tuberculosis",Low,66505,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Mysuru,"Malaria, Dengue, Tuberculosis",Low,33261,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Mumbai,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Low,43535,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Varanasi,"Malaria, Dengue, Tuberculosis",Medium,29562,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Coimbatore,"Malaria, Dengue, Tuberculosis",High,58862,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Hubli,"Malaria, Dengue, Tuberculosis",Medium,54321,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Varanasi,"Malaria, Dengue, Tuberculosis",Medium,70308,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Coimbatore,"Malaria, Dengue, Tuberculosis",Low,42011,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Madurai,"Malaria, Dengue, Tuberculosis",Medium,69953,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Hubli,"Malaria, Dengue, Tuberculosis",High,68108,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Hubli,"Malaria, Dengue, Tuberculosis",Medium,18060,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Coimbatore,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage, Low Antenatal Care",Low,44981,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Coimbatore,"Malaria, Dengue, Tuberculosis",High,48965,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Ahmedabad,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,22599,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Bengaluru,"Malaria, Dengue, Tuberculosis",High,25017,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Nagpur,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,62597,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Nagpur,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage, Low Antenatal Care",Low,31851,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Pune,"Malaria, Dengue, Tuberculosis",Low,74247,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Pune,"Malaria, Dengue, Tuberculosis",Medium,65521,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Mumbai,"Malaria, Dengue, Tuberculosis",Medium,17461,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Madurai,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,25215,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Varanasi,"Malaria, Dengue, Tuberculosis",Medium,56228,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Bengaluru,"Malaria, Dengue, Tuberculosis",High,36502,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Surat,"Malaria, Dengue, Tuberculosis",High,44276,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Chennai,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Low,42433,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Ahmedabad,"Malaria, Dengue, Tuberculosis",Medium,56846,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Vadodara,"Malaria, Dengue, Tuberculosis",Medium,58473,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Varanasi,"Malaria, Dengue, Tuberculosis",Low,27793,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Coimbatore,"Malaria, Dengue, Tuberculosis",Medium,30453,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Ahmedabad,"Malaria, Dengue, Tuberculosis",Medium,26974,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Coimbatore,"Malaria, Dengue, Tuberculosis",Low,61849,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Chennai,"Malaria, Dengue, Tuberculosis",High,47638,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Pune,"Malaria, Dengue, Tuberculosis",High,67259,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Surat,"Malaria, Dengue",Medium,65156,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Agra,"Malaria, Dengue, Tuberculosis",High,41389,Smile Foundation,"NGO delivering education, healthcare (mobile medical units), livelihood training, and women empowerment programs across 25+ Indian states."
Agra,"Malaria, Dengue, Tuberculosis",Medium,13365,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Vadodara,"Malaria, Dengue, Tuberculosis",Low,25588,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Pune,"Malaria, Dengue, Tuberculosis",High,16701,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Nagpur,"Malaria, Dengue, Tuberculosis",High,21774,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Hubli,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,40193,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Surat,"Malaria, Dengue, Tuberculosis",Low,49993,CARE India,"NGO focused on women & girls' empowerment, maternal-newborn health, nutrition, WASH, and livelihoods in underserved communities."
Chennai,"Malaria, Dengue, Tuberculosis",Low,43205,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Chennai,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Low,21128,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Surat,"Malaria, Dengue, Tuberculosis",Low,64816,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
Chennai,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",Medium,65217,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Vadodara,"Malaria, Dengue, Tuberculosis, Low Immunization Coverage",Low,64699,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Vadodara,"Malaria, Dengue, Tuberculosis",Low,63950,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Mumbai,"Malaria, Dengue, Tuberculosis, Low Antenatal Care",High,57018,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Lucknow,"Malaria, Dengue, Tuberculosis",Low,25729,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Varanasi,"Malaria, Dengue, Tuberculosis",High,22113,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Agra,"Malaria, Dengue, Tuberculosis",High,43607,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Varanasi,"Malaria, Dengue, Tuberculosis",High,32956,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Bengaluru,"Malaria, Dengue, Tuberculosis",Low,44117,Health Management Information System (HMIS),"MoHFW digital platform aggregating public health facility data — OPD/IPD counts, deliveries, immunization, disease surveillance."
Mysuru,"Malaria, Dengue, Tuberculosis",High,20176,UNICEF India,"UN agency working on child survival, immunization, maternal health, nutrition, WASH, and emergency response across India."
Ahmedabad,"Malaria, Dengue, Tuberculosis",Medium,25252,World Health Organization India,"UN specialized agency supporting India's health systems, disease eradication, epidemiological research, and policy advisory."
Mumbai,"Malaria, Dengue, Tuberculosis",High,69647,National Family Health Survey (NFHS),"Large-scale household survey program collecting health, nutrition, and family welfare data across Indian states to guide policy."
Mysuru,"Malaria, Dengue, Tuberculosis",Medium,65144,National Health Mission (NHM),"Government of India program providing universal healthcare access — maternal & child health, immunization, disease control, and rural health infrastructure."
