NGO_ID,NGO_Name,Country,Sector,Focus_Area,Website,Email,Priority_Level,Startup_Relevance_Tag
43,Global Impact Foundation 43,Australia,Child Welfare,Urban Support,www.globalimpactfoundation43.org,contact@globalimpactfoundation43.org,Medium,Pilot Testing
44,Global Impact Foundation 44,Australia,Child Welfare,Rural Development,www.globalimpactfoundation44.org,contact@globalimpactfoundation44.ngo,High,Pilot Testing
45,Global Impact Foundation 45,USA,Child Welfare,Disaster Relief,www.globalimpactfoundation45.foundation,contact@globalimpactfoundation45.ngo,High,Outreach
46,Global Impact Foundation 46,India,Environment,Policy Advocacy,www.globalimpactfoundation46.ngo,contact@globalimpactfoundation46.ngo,Medium,Partnership
47,Global Impact Foundation 47,UAE,Human Rights,Urban Support,www.globalimpactfoundation47.foundation,contact@globalimpactfoundation47.foundation,Medium,Outreach
48,Global Impact Foundation 48,Canada,Women Empowerment,Community Health,www.globalimpactfoundation48.global,contact@globalimpactfoundation48.org,High,Funding
49,Global Impact Foundation 49,Canada,Poverty Relief,Urban Support,www.globalimpactfoundation49.org,contact@globalimpactfoundation49.ngo,Medium,Partnership
50,Global Impact Foundation 50,USA,Education,Community Health,www.globalimpactfoundation50.org,contact@globalimpactfoundation50.ngo,Low,Funding
51,Global Impact Foundation 51,Australia,Environment,Disaster Relief,www.globalimpactfoundation51.global,contact@globalimpactfoundation51.org,High,Pilot Testing
52,Global Impact Foundation 52,India,Child Welfare,Policy Advocacy,www.globalimpactfoundation52.ngo,contact@globalimpactfoundation52.foundation,Medium,Outreach
53,Global Impact Foundation 53,UK,Human Rights,Disaster Relief,www.globalimpactfoundation53.org,contact@globalimpactfoundation53.org,Low,Partnership
54,Global Impact Foundation 54,Germany,Poverty Relief,Rural Development,www.globalimpactfoundation54.foundation,contact@globalimpactfoundation54.org,High,Funding
55,Global Impact Foundation 55,UAE,Poverty Relief,Rural Development,www.globalimpactfoundation55.foundation,contact@globalimpactfoundation55.ngo,Low,Partnership
56,Global Impact Foundation 56,UAE,Education,Community Health,www.globalimpactfoundation56.foundation,contact@globalimpactfoundation56.global,Medium,Outreach
57,Global Impact Foundation 57,India,Child Welfare,Policy Advocacy,www.globalimpactfoundation57.ngo,contact@globalimpactfoundation57.foundation,Medium,Outreach
58,Global Impact Foundation 58,Germany,Environment,Disaster Relief,www.globalimpactfoundation58.org,contact@globalimpactfoundation58.ngo,Medium,Partnership
59,Global Impact Foundation 59,Canada,Child Welfare,Policy Advocacy,www.globalimpactfoundation59.foundation,contact@globalimpactfoundation59.org,Medium,Pilot Testing
60,Global Impact Foundation 60,Brazil,Health,Urban Support,www.globalimpactfoundation60.ngo,contact@globalimpactfoundation60.foundation,Low,Funding
61,Global Impact Foundation 61,Brazil,Child Welfare,Community Health,www.globalimpactfoundation61.global,contact@globalimpactfoundation61.global,Medium,Outreach
62,Global Impact Foundation 62,Brazil,Health,Policy Advocacy,www.globalimpactfoundation62.global,contact@globalimpactfoundation62.global,Medium,Partnership
63,Global Impact Foundation 63,India,Women Empowerment,Community Health,www.globalimpactfoundation63.ngo,contact@globalimpactfoundation63.org,Medium,Pilot Testing
64,Global Impact Foundation 64,UAE,Women Empowerment,Urban Support,www.globalimpactfoundation64.global,contact@globalimpactfoundation64.global,Medium,Pilot Testing
65,Global Impact Foundation 65,UAE,Environment,Skill Development,www.globalimpactfoundation65.org,contact@globalimpactfoundation65.foundation,Medium,Pilot Testing
66,Global Impact Foundation 66,Kenya,Environment,Disaster Relief,www.globalimpactfoundation66.org,contact@globalimpactfoundation66.foundation,High,Outreach
67,Global Impact Foundation 67,UK,Human Rights,Disaster Relief,www.globalimpactfoundation67.foundation,contact@globalimpactfoundation67.global,Low,Pilot Testing
68,Global Impact Foundation 68,Brazil,Poverty Relief,Community Health,www.globalimpactfoundation68.ngo,contact@globalimpactfoundation68.global,Low,Funding
69,Global Impact Foundation 69,Australia,Education,Rural Development,www.globalimpactfoundation69.global,contact@globalimpactfoundation69.ngo,Low,Outreach
70,Global Impact Foundation 70,Kenya,Health,Urban Support,www.globalimpactfoundation70.foundation,contact@globalimpactfoundation70.foundation,Medium,Outreach
71,Global Impact Foundation 71,India,Child Welfare,Urban Support,www.globalimpactfoundation71.foundation,contact@globalimpactfoundation71.foundation,Low,Outreach
72,Global Impact Foundation 72,Germany,Human Rights,Skill Development,www.globalimpactfoundation72.org,contact@globalimpactfoundation72.foundation,High,Pilot Testing
73,Global Impact Foundation 73,India,Human Rights,Urban Support,www.globalimpactfoundation73.ngo,contact@globalimpactfoundation73.ngo,Medium,Funding
74,Global Impact Foundation 74,Kenya,Health,Skill Development,www.globalimpactfoundation74.ngo,contact@globalimpactfoundation74.global,High,Partnership
75,Global Impact Foundation 75,UK,Women Empowerment,Urban Support,www.globalimpactfoundation75.org,contact@globalimpactfoundation75.foundation,Medium,Outreach
76,Global Impact Foundation 76,USA,Human Rights,Policy Advocacy,www.globalimpactfoundation76.foundation,contact@globalimpactfoundation76.ngo,High,Funding
77,Global Impact Foundation 77,UK,Human Rights,Policy Advocacy,www.globalimpactfoundation77.ngo,contact@globalimpactfoundation77.foundation,Medium,Outreach
78,Global Impact Foundation 78,Australia,Education,Policy Advocacy,www.globalimpactfoundation78.foundation,contact@globalimpactfoundation78.global,Low,Pilot Testing
79,Global Impact Foundation 79,USA,Human Rights,Urban Support,www.globalimpactfoundation79.org,contact@globalimpactfoundation79.foundation,Medium,Outreach
80,Global Impact Foundation 80,India,Human Rights,Rural Development,www.globalimpactfoundation80.global,contact@globalimpactfoundation80.global,Medium,Outreach
81,Global Impact Foundation 81,UK,Women Empowerment,Policy Advocacy,www.globalimpactfoundation81.org,contact@globalimpactfoundation81.ngo,High,Pilot Testing
82,Global Impact Foundation 82,Germany,Poverty Relief,Skill Development,www.globalimpactfoundation82.foundation,contact@globalimpactfoundation82.org,High,Outreach
83,Global Impact Foundation 83,India,Education,Community Health,www.globalimpactfoundation83.foundation,contact@globalimpactfoundation83.foundation,Low,Partnership
84,Global Impact Foundation 84,Canada,Poverty Relief,Community Health,www.globalimpactfoundation84.foundation,contact@globalimpactfoundation84.foundation,Low,Outreach
85,Global Impact Foundation 85,Australia,Women Empowerment,Rural Development,www.globalimpactfoundation85.foundation,contact@globalimpactfoundation85.ngo,Low,Funding
86,Global Impact Foundation 86,USA,Human Rights,Skill Development,www.globalimpactfoundation86.foundation,contact@globalimpactfoundation86.ngo,Low,Outreach
87,Global Impact Foundation 87,UAE,Human Rights,Urban Support,www.globalimpactfoundation87.org,contact@globalimpactfoundation87.org,Medium,Pilot Testing
88,Global Impact Foundation 88,Brazil,Poverty Relief,Disaster Relief,www.globalimpactfoundation88.global,contact@globalimpactfoundation88.ngo,High,Outreach
89,Global Impact Foundation 89,Australia,Environment,Rural Development,www.globalimpactfoundation89.org,contact@globalimpactfoundation89.foundation,High,Partnership
90,Global Impact Foundation 90,Germany,Education,Rural Development,www.globalimpactfoundation90.foundation,contact@globalimpactfoundation90.org,Medium,Partnership
91,Global Impact Foundation 91,USA,Education,Community Health,www.globalimpactfoundation91.org,contact@globalimpactfoundation91.org,Medium,Partnership
92,Global Impact Foundation 92,Germany,Women Empowerment,Disaster Relief,www.globalimpactfoundation92.ngo,contact@globalimpactfoundation92.ngo,Low,Pilot Testing
93,Global Impact Foundation 93,UAE,Women Empowerment,Community Health,www.globalimpactfoundation93.ngo,contact@globalimpactfoundation93.org,Medium,Pilot Testing
94,Global Impact Foundation 94,Brazil,Women Empowerment,Skill Development,www.globalimpactfoundation94.global,contact@globalimpactfoundation94.ngo,Medium,Funding
95,Global Impact Foundation 95,India,Human Rights,Skill Development,www.globalimpactfoundation95.org,contact@globalimpactfoundation95.org,Medium,Partnership
96,Global Impact Foundation 96,Australia,Human Rights,Skill Development,www.globalimpactfoundation96.global,contact@globalimpactfoundation96.org,Medium,Pilot Testing
97,Global Impact Foundation 97,Germany,Education,Skill Development,www.globalimpactfoundation97.foundation,contact@globalimpactfoundation97.global,High,Pilot Testing
98,Global Impact Foundation 98,Kenya,Education,Policy Advocacy,www.globalimpactfoundation98.foundation,contact@globalimpactfoundation98.ngo,High,Funding
99,Global Impact Foundation 99,Brazil,Education,Skill Development,www.globalimpactfoundation99.org,contact@globalimpactfoundation99.org,Low,Funding
100,Global Impact Foundation 100,UK,Health,Skill Development,www.globalimpactfoundation100.foundation,contact@globalimpactfoundation100.foundation,Medium,Partnership
101,Global Impact Foundation 101,Australia,Environment,Urban Support,www.globalimpactfoundation101.ngo,contact@globalimpactfoundation101.global,Low,Funding
102,Global Impact Foundation 102,UAE,Women Empowerment,Skill Development,www.globalimpactfoundation102.org,contact@globalimpactfoundation102.ngo,Medium,Partnership
103,Global Impact Foundation 103,India,Environment,Urban Support,www.globalimpactfoundation103.org,contact@globalimpactfoundation103.foundation,Medium,Partnership
104,Global Impact Foundation 104,Kenya,Education,Community Health,www.globalimpactfoundation104.org,contact@globalimpactfoundation104.ngo,High,Pilot Testing
105,Global Impact Foundation 105,Brazil,Child Welfare,Policy Advocacy,www.globalimpactfoundation105.foundation,contact@globalimpactfoundation105.global,High,Outreach
106,Global Impact Foundation 106,Canada,Education,Skill Development,www.globalimpactfoundation106.foundation,contact@globalimpactfoundation106.global,Medium,Partnership
107,Global Impact Foundation 107,South Africa,Health,Policy Advocacy,www.globalimpactfoundation107.foundation,contact@globalimpactfoundation107.ngo,Low,Outreach
108,Global Impact Foundation 108,India,Education,Community Health,www.globalimpactfoundation108.foundation,contact@globalimpactfoundation108.foundation,Low,Funding
109,Global Impact Foundation 109,South Africa,Education,Urban Support,www.globalimpactfoundation109.foundation,contact@globalimpactfoundation109.ngo,Medium,Funding
110,Global Impact Foundation 110,Kenya,Child Welfare,Rural Development,www.globalimpactfoundation110.ngo,contact@globalimpactfoundation110.global,Medium,Funding
111,Global Impact Foundation 111,UAE,Environment,Community Health,www.globalimpactfoundation111.global,contact@globalimpactfoundation111.global,Medium,Partnership
112,Global Impact Foundation 112,Germany,Human Rights,Disaster Relief,www.globalimpactfoundation112.org,contact@globalimpactfoundation112.global,Low,Outreach
113,Global Impact Foundation 113,Canada,Poverty Relief,Community Health,www.globalimpactfoundation113.org,contact@globalimpactfoundation113.global,High,Funding
114,Global Impact Foundation 114,UK,Poverty Relief,Skill Development,www.globalimpactfoundation114.ngo,contact@globalimpactfoundation114.foundation,High,Funding
115,Global Impact Foundation 115,Brazil,Child Welfare,Disaster Relief,www.globalimpactfoundation115.global,contact@globalimpactfoundation115.org,Medium,Partnership
116,Global Impact Foundation 116,Germany,Child Welfare,Rural Development,www.globalimpactfoundation116.ngo,contact@globalimpactfoundation116.foundation,Medium,Funding
117,Global Impact Foundation 117,Canada,Health,Rural Development,www.globalimpactfoundation117.foundation,contact@globalimpactfoundation117.ngo,High,Funding
118,Global Impact Foundation 118,Australia,Child Welfare,Rural Development,www.globalimpactfoundation118.org,contact@globalimpactfoundation118.org,High,Pilot Testing
119,Global Impact Foundation 119,Brazil,Environment,Disaster Relief,www.globalimpactfoundation119.ngo,contact@globalimpactfoundation119.foundation,Low,Funding
120,Global Impact Foundation 120,India,Health,Skill Development,www.globalimpactfoundation120.foundation,contact@globalimpactfoundation120.foundation,Low,Pilot Testing
121,Global Impact Foundation 121,UAE,Education,Disaster Relief,www.globalimpactfoundation121.ngo,contact@globalimpactfoundation121.ngo,Medium,Pilot Testing
122,Global Impact Foundation 122,USA,Human Rights,Rural Development,www.globalimpactfoundation122.global,contact@globalimpactfoundation122.foundation,High,Outreach
123,Global Impact Foundation 123,Australia,Environment,Community Health,www.globalimpactfoundation123.global,contact@globalimpactfoundation123.foundation,High,Pilot Testing
124,Global Impact Foundation 124,UAE,Women Empowerment,Policy Advocacy,www.globalimpactfoundation124.org,contact@globalimpactfoundation124.global,Low,Pilot Testing
125,Global Impact Foundation 125,Germany,Poverty Relief,Rural Development,www.globalimpactfoundation125.foundation,contact@globalimpactfoundation125.foundation,Low,Outreach
126,Global Impact Foundation 126,Brazil,Health,Urban Support,www.globalimpactfoundation126.global,contact@globalimpactfoundation126.org,Medium,Outreach
127,Global Impact Foundation 127,Australia,Poverty Relief,Community Health,www.globalimpactfoundation127.global,contact@globalimpactfoundation127.global,Low,Pilot Testing
128,Global Impact Foundation 128,Canada,Environment,Rural Development,www.globalimpactfoundation128.org,contact@globalimpactfoundation128.org,Medium,Outreach
129,Global Impact Foundation 129,India,Human Rights,Rural Development,www.globalimpactfoundation129.org,contact@globalimpactfoundation129.global,Low,Outreach
130,Global Impact Foundation 130,Germany,Environment,Skill Development,www.globalimpactfoundation130.global,contact@globalimpactfoundation130.ngo,Low,Pilot Testing
131,Global Impact Foundation 131,Australia,Child Welfare,Rural Development,www.globalimpactfoundation131.ngo,contact@globalimpactfoundation131.global,High,Funding
132,Global Impact Foundation 132,Kenya,Environment,Disaster Relief,www.globalimpactfoundation132.ngo,contact@globalimpactfoundation132.global,High,Funding
133,Global Impact Foundation 133,South Africa,Education,Skill Development,www.globalimpactfoundation133.foundation,contact@globalimpactfoundation133.ngo,High,Pilot Testing
134,Global Impact Foundation 134,Germany,Health,Skill Development,www.globalimpactfoundation134.global,contact@globalimpactfoundation134.ngo,Medium,Outreach
135,Global Impact Foundation 135,India,Poverty Relief,Disaster Relief,www.globalimpactfoundation135.ngo,contact@globalimpactfoundation135.org,High,Funding
136,Global Impact Foundation 136,USA,Poverty Relief,Community Health,www.globalimpactfoundation136.ngo,contact@globalimpactfoundation136.org,Low,Outreach
137,Global Impact Foundation 137,India,Poverty Relief,Skill Development,www.globalimpactfoundation137.org,contact@globalimpactfoundation137.global,Low,Pilot Testing
138,Global Impact Foundation 138,Kenya,Women Empowerment,Rural Development,www.globalimpactfoundation138.global,contact@globalimpactfoundation138.global,Medium,Funding
139,Global Impact Foundation 139,Germany,Health,Policy Advocacy,www.globalimpactfoundation139.global,contact@globalimpactfoundation139.org,Low,Pilot Testing
140,Global Impact Foundation 140,Canada,Health,Community Health,www.globalimpactfoundation140.global,contact@globalimpactfoundation140.foundation,High,Pilot Testing
141,Global Impact Foundation 141,Germany,Environment,Skill Development,www.globalimpactfoundation141.global,contact@globalimpactfoundation141.foundation,Medium,Funding
142,Global Impact Foundation 142,India,Environment,Community Health,www.globalimpactfoundation142.org,contact@globalimpactfoundation142.ngo,High,Partnership
143,Global Impact Foundation 143,India,Environment,Disaster Relief,www.globalimpactfoundation143.org,contact@globalimpactfoundation143.ngo,Medium,Partnership
144,Global Impact Foundation 144,Canada,Health,Rural Development,www.globalimpactfoundation144.ngo,contact@globalimpactfoundation144.foundation,Medium,Outreach
145,Global Impact Foundation 145,Germany,Child Welfare,Skill Development,www.globalimpactfoundation145.global,contact@globalimpactfoundation145.global,Medium,Outreach
146,Global Impact Foundation 146,India,Women Empowerment,Policy Advocacy,www.globalimpactfoundation146.ngo,contact@globalimpactfoundation146.ngo,Medium,Pilot Testing
147,Global Impact Foundation 147,Brazil,Human Rights,Urban Support,www.globalimpactfoundation147.foundation,contact@globalimpactfoundation147.org,Medium,Partnership
148,Global Impact Foundation 148,India,Women Empowerment,Community Health,www.globalimpactfoundation148.ngo,contact@globalimpactfoundation148.ngo,Medium,Pilot Testing
149,Global Impact Foundation 149,Canada,Health,Community Health,www.globalimpactfoundation149.global,contact@globalimpactfoundation149.global,High,Outreach
150,Global Impact Foundation 150,USA,Poverty Relief,Disaster Relief,www.globalimpactfoundation150.ngo,contact@globalimpactfoundation150.foundation,Low,Funding
151,Global Impact Foundation 151,UAE,Women Empowerment,Disaster Relief,www.globalimpactfoundation151.org,contact@globalimpactfoundation151.org,High,Pilot Testing
152,Global Impact Foundation 152,USA,Child Welfare,Community Health,www.globalimpactfoundation152.ngo,contact@globalimpactfoundation152.ngo,High,Partnership
153,Global Impact Foundation 153,Canada,Health,Disaster Relief,www.globalimpactfoundation153.foundation,contact@globalimpactfoundation153.global,Low,Funding
154,Global Impact Foundation 154,Australia,Child Welfare,Policy Advocacy,www.globalimpactfoundation154.foundation,contact@globalimpactfoundation154.org,High,Funding
155,Global Impact Foundation 155,South Africa,Women Empowerment,Skill Development,www.globalimpactfoundation155.global,contact@globalimpactfoundation155.foundation,High,Pilot Testing
156,Global Impact Foundation 156,India,Women Empowerment,Urban Support,www.globalimpactfoundation156.global,contact@globalimpactfoundation156.foundation,Medium,Outreach
157,Global Impact Foundation 157,Germany,Education,Disaster Relief,www.globalimpactfoundation157.foundation,contact@globalimpactfoundation157.ngo,Low,Funding
158,Global Impact Foundation 158,Germany,Education,Rural Development,www.globalimpactfoundation158.ngo,contact@globalimpactfoundation158.ngo,Low,Pilot Testing
159,Global Impact Foundation 159,South Africa,Health,Skill Development,www.globalimpactfoundation159.org,contact@globalimpactfoundation159.global,Low,Outreach
160,Global Impact Foundation 160,USA,Women Empowerment,Disaster Relief,www.globalimpactfoundation160.org,contact@globalimpactfoundation160.global,Medium,Funding
161,Global Impact Foundation 161,India,Health,Policy Advocacy,www.globalimpactfoundation161.ngo,contact@globalimpactfoundation161.foundation,Medium,Outreach
162,Global Impact Foundation 162,Germany,Human Rights,Skill Development,www.globalimpactfoundation162.global,contact@globalimpactfoundation162.ngo,Medium,Partnership
163,Global Impact Foundation 163,UAE,Education,Urban Support,www.globalimpactfoundation163.global,contact@globalimpactfoundation163.org,Medium,Funding
164,Global Impact Foundation 164,UAE,Human Rights,Policy Advocacy,www.globalimpactfoundation164.org,contact@globalimpactfoundation164.ngo,Medium,Outreach
165,Global Impact Foundation 165,Germany,Education,Disaster Relief,www.globalimpactfoundation165.foundation,contact@globalimpactfoundation165.org,Medium,Partnership
166,Global Impact Foundation 166,Brazil,Environment,Community Health,www.globalimpactfoundation166.org,contact@globalimpactfoundation166.ngo,Medium,Funding
167,Global Impact Foundation 167,Brazil,Human Rights,Policy Advocacy,www.globalimpactfoundation167.foundation,contact@globalimpactfoundation167.org,Low,Outreach
168,Global Impact Foundation 168,India,Human Rights,Policy Advocacy,www.globalimpactfoundation168.foundation,contact@globalimpactfoundation168.foundation,Low,Funding
169,Global Impact Foundation 169,Canada,Education,Policy Advocacy,www.globalimpactfoundation169.global,contact@globalimpactfoundation169.foundation,Medium,Partnership
170,Global Impact Foundation 170,UAE,Education,Policy Advocacy,www.globalimpactfoundation170.org,contact@globalimpactfoundation170.foundation,Medium,Pilot Testing
171,Global Impact Foundation 171,Germany,Poverty Relief,Urban Support,www.globalimpactfoundation171.org,contact@globalimpactfoundation171.global,High,Pilot Testing
172,Global Impact Foundation 172,Brazil,Women Empowerment,Disaster Relief,www.globalimpactfoundation172.foundation,contact@globalimpactfoundation172.global,Medium,Funding
173,Global Impact Foundation 173,USA,Environment,Policy Advocacy,www.globalimpactfoundation173.ngo,contact@globalimpactfoundation173.global,Medium,Pilot Testing
174,Global Impact Foundation 174,Brazil,Environment,Skill Development,www.globalimpactfoundation174.foundation,contact@globalimpactfoundation174.foundation,Low,Pilot Testing
175,Global Impact Foundation 175,Australia,Environment,Community Health,www.globalimpactfoundation175.foundation,contact@globalimpactfoundation175.org,Medium,Funding
176,Global Impact Foundation 176,Brazil,Health,Urban Support,www.globalimpactfoundation176.foundation,contact@globalimpactfoundation176.global,Medium,Funding
177,Global Impact Foundation 177,Australia,Women Empowerment,Urban Support,www.globalimpactfoundation177.foundation,contact@globalimpactfoundation177.foundation,Medium,Funding
178,Global Impact Foundation 178,Australia,Education,Disaster Relief,www.globalimpactfoundation178.global,contact@globalimpactfoundation178.org,Low,Funding
179,Global Impact Foundation 179,Brazil,Education,Disaster Relief,www.globalimpactfoundation179.global,contact@globalimpactfoundation179.global,High,Outreach
180,Global Impact Foundation 180,UAE,Child Welfare,Community Health,www.globalimpactfoundation180.global,contact@globalimpactfoundation180.org,Low,Outreach
181,Global Impact Foundation 181,South Africa,Poverty Relief,Skill Development,www.globalimpactfoundation181.org,contact@globalimpactfoundation181.ngo,Medium,Pilot Testing
182,Global Impact Foundation 182,USA,Women Empowerment,Skill Development,www.globalimpactfoundation182.ngo,contact@globalimpactfoundation182.global,Medium,Outreach
183,Global Impact Foundation 183,South Africa,Environment,Rural Development,www.globalimpactfoundation183.org,contact@globalimpactfoundation183.org,Low,Pilot Testing
184,Global Impact Foundation 184,UK,Child Welfare,Urban Support,www.globalimpactfoundation184.foundation,contact@globalimpactfoundation184.foundation,High,Pilot Testing
185,Global Impact Foundation 185,USA,Women Empowerment,Rural Development,www.globalimpactfoundation185.foundation,contact@globalimpactfoundation185.org,High,Pilot Testing
186,Global Impact Foundation 186,India,Women Empowerment,Rural Development,www.globalimpactfoundation186.foundation,contact@globalimpactfoundation186.ngo,Low,Funding
187,Global Impact Foundation 187,India,Women Empowerment,Urban Support,www.globalimpactfoundation187.org,contact@globalimpactfoundation187.org,Medium,Funding
188,Global Impact Foundation 188,UAE,Health,Urban Support,www.globalimpactfoundation188.global,contact@globalimpactfoundation188.foundation,High,Outreach
189,Global Impact Foundation 189,UK,Education,Urban Support,www.globalimpactfoundation189.global,contact@globalimpactfoundation189.global,Medium,Outreach
190,Global Impact Foundation 190,Brazil,Education,Rural Development,www.globalimpactfoundation190.org,contact@globalimpactfoundation190.org,Medium,Outreach
191,Global Impact Foundation 191,Australia,Health,Skill Development,www.globalimpactfoundation191.foundation,contact@globalimpactfoundation191.foundation,Low,Outreach
192,Global Impact Foundation 192,UK,Health,Rural Development,www.globalimpactfoundation192.global,contact@globalimpactfoundation192.foundation,Low,Pilot Testing
193,Global Impact Foundation 193,Canada,Environment,Policy Advocacy,www.globalimpactfoundation193.global,contact@globalimpactfoundation193.ngo,Low,Pilot Testing
