Record_ID,Year,Month,State,District,Data_Source,Population,ANC_Registrations,Immunization,Malaria_Cases,Dengue_Cases,TB_Cases
REC0038,2025,May,Tamil Nadu,Chennai,Smile Foundation,160159,735,551,62,61,28
REC0039,2021,Feb,Uttar Pradesh,Varanasi,HMIS Portal India,93613,966,784,81,103,73
REC0040,2023,Jan,Maharashtra,Pune,Doctors For You,91852,976,613,43,90,85
REC0041,2024,Jan,Maharashtra,Pune,CARE India,182531,652,1112,181,23,70
REC0042,2023,Mar,Uttar Pradesh,Varanasi,NFHS Survey,168325,710,231,17,53,99
REC0043,2021,May,Maharashtra,Mumbai,Smile Foundation,138722,359,212,157,123,21
REC0044,2021,Jan,Uttar Pradesh,Lucknow,NFHS Survey,63758,401,614,122,140,69
REC0045,2021,Mar,Uttar Pradesh,Varanasi,HMIS Portal India,59512,684,292,149,114,46
REC0046,2022,May,Tamil Nadu,Madurai,WHO India,135916,766,1469,37,93,14
REC0047,2022,Mar,Maharashtra,Mumbai,Smile Foundation,141640,733,357,170,88,35
REC0048,2022,Feb,Tamil Nadu,Madurai,WHO India,144172,704,979,173,114,32
REC0049,2021,Mar,Maharashtra,Pune,Smile Foundation,109149,696,1155,47,77,29
REC0050,2022,Jan,Uttar Pradesh,Varanasi,WHO India,62543,562,901,194,51,86
REC0051,2023,Jun,Maharashtra,Mumbai,WHO India,188198,110,640,93,8,39
REC0052,2025,May,Karnataka,Bengaluru,HMIS Portal India,111249,305,888,84,145,50
REC0053,2022,Apr,Maharashtra,Mumbai,HMIS Portal India,182914,608,669,192,129,10
REC0054,2021,Jun,Tamil Nadu,Chennai,CARE India,176054,210,688,48,81,9
REC0055,2024,Mar,Uttar Pradesh,Varanasi,NFHS Survey,168182,618,1471,156,105,22
REC0056,2021,Apr,Tamil Nadu,Chennai,National Health Mission (NHM),103773,754,340,60,28,10
REC0057,2021,Apr,Tamil Nadu,Chennai,Smile Foundation,174705,783,210,37,148,7
REC0058,2024,Jun,Tamil Nadu,Chennai,Smile Foundation,199852,590,1365,45,137,15
REC0059,2021,May,Maharashtra,Pune,WHO India,100381,716,1212,62,78,28
REC0060,2021,Jun,Tamil Nadu,Chennai,NFHS Survey,134385,172,580,177,57,32
REC0061,2025,May,Tamil Nadu,Madurai,Smile Foundation,65102,136,1119,196,60,97
REC0062,2023,Jun,Tamil Nadu,Madurai,WHO India,82797,629,1496,167,51,100
REC0063,2021,Feb,Uttar Pradesh,Varanasi,HMIS Portal India,117313,299,1262,170,99,95
REC0064,2023,Mar,Karnataka,Bengaluru,CARE India,164679,646,932,143,21,64
REC0065,2023,Jan,Karnataka,Mysuru,Doctors For You,173220,857,405,169,148,95
REC0066,2025,Apr,Maharashtra,Pune,HMIS Portal India,168898,545,884,91,61,59
REC0067,2025,Jun,Uttar Pradesh,Lucknow,NFHS Survey,118133,796,1314,158,106,81
REC0068,2023,Jan,Maharashtra,Mumbai,WHO India,81276,984,526,108,65,53
REC0069,2023,Jan,Tamil Nadu,Madurai,WHO India,62408,525,944,10,29,80
REC0070,2023,Feb,Tamil Nadu,Chennai,HMIS Portal India,140658,637,1488,155,51,5
REC0071,2023,Jun,Tamil Nadu,Madurai,Doctors For You,185583,768,1423,15,35,18
REC0072,2021,Mar,Maharashtra,Pune,NFHS Survey,186782,550,830,60,91,46
REC0073,2023,Mar,Karnataka,Mysuru,Smile Foundation,74748,791,413,200,57,42
REC0074,2024,May,Tamil Nadu,Chennai,WHO India,76905,686,442,106,73,7
REC0075,2023,Jun,Uttar Pradesh,Varanasi,Smile Foundation,140190,564,669,158,103,2
REC0076,2024,Jun,Karnataka,Bengaluru,CARE India,123462,196,263,32,95,98
REC0077,2024,Jan,Maharashtra,Mumbai,Doctors For You,115886,604,1284,132,62,11
REC0078,2022,May,Karnataka,Mysuru,Smile Foundation,98620,973,871,94,140,10
REC0079,2021,May,Uttar Pradesh,Lucknow,CARE India,113782,828,501,16,31,32
REC0080,2021,Mar,Maharashtra,Pune,WHO India,129832,737,1408,127,10,54
REC0081,2023,Feb,Uttar Pradesh,Varanasi,Smile Foundation,167638,524,1254,30,24,82
REC0082,2022,Mar,Uttar Pradesh,Varanasi,National Health Mission (NHM),142079,331,479,148,56,66
REC0083,2023,Jun,Karnataka,Mysuru,CARE India,124284,958,298,179,98,24
REC0084,2025,Jan,Uttar Pradesh,Lucknow,Doctors For You,110559,403,431,79,57,2
REC0085,2025,Apr,Maharashtra,Pune,Doctors For You,117400,543,449,39,36,76
REC0086,2021,Jun,Tamil Nadu,Madurai,NFHS Survey,85156,122,330,65,52,89
REC0087,2025,Apr,Maharashtra,Mumbai,HMIS Portal India,97840,384,805,56,92,95
REC0088,2021,Jun,Tamil Nadu,Madurai,HMIS Portal India,85413,782,1299,98,147,45
REC0089,2025,Jan,Tamil Nadu,Madurai,CARE India,102390,857,1006,119,49,80
REC0090,2024,Jun,Uttar Pradesh,Lucknow,WHO India,55252,386,695,12,96,22
REC0091,2022,Feb,Uttar Pradesh,Varanasi,National Health Mission (NHM),163545,841,1331,149,148,89
REC0092,2021,May,Karnataka,Mysuru,CARE India,118563,321,857,93,102,32
REC0093,2023,May,Tamil Nadu,Madurai,NFHS Survey,73209,529,564,146,4,53
REC0094,2023,Jan,Uttar Pradesh,Varanasi,CARE India,181233,778,233,180,14,97
REC0095,2021,May,Karnataka,Mysuru,Smile Foundation,199162,218,996,174,104,79
REC0096,2022,Feb,Karnataka,Mysuru,National Health Mission (NHM),146628,148,654,193,112,88
REC0097,2024,Jun,Uttar Pradesh,Lucknow,HMIS Portal India,157459,909,392,79,84,88
REC0098,2022,May,Maharashtra,Mumbai,Doctors For You,55296,482,1462,165,74,86
REC0099,2022,Feb,Karnataka,Bengaluru,Smile Foundation,109440,856,270,64,14,13
REC0100,2022,Mar,Tamil Nadu,Madurai,Smile Foundation,183658,781,362,179,123,6
REC0101,2023,May,Tamil Nadu,Chennai,CARE India,113555,368,550,60,53,18
REC0102,2022,Apr,Uttar Pradesh,Varanasi,Smile Foundation,76472,250,694,120,32,56
REC0103,2024,Jan,Tamil Nadu,Madurai,Doctors For You,169019,576,388,112,130,86
REC0104,2021,Feb,Maharashtra,Pune,NFHS Survey,101360,490,411,59,129,20
REC0105,2021,Mar,Tamil Nadu,Madurai,CARE India,136326,321,1371,130,40,91
REC0106,2022,Jan,Uttar Pradesh,Varanasi,Doctors For You,65669,413,278,9,120,77
REC0107,2022,Feb,Karnataka,Bengaluru,CARE India,82427,125,332,10,31,96
REC0108,2021,Jan,Karnataka,Bengaluru,HMIS Portal India,182463,113,393,134,76,17
REC0109,2023,Feb,Maharashtra,Mumbai,CARE India,55320,751,649,64,31,46
REC0110,2022,Feb,Tamil Nadu,Madurai,Smile Foundation,103282,286,861,135,92,76
REC0111,2022,May,Tamil Nadu,Madurai,CARE India,94824,342,479,195,84,1
REC0112,2025,Mar,Tamil Nadu,Chennai,Smile Foundation,108067,704,1253,125,27,65
REC0113,2023,Jan,Uttar Pradesh,Lucknow,WHO India,173668,326,1450,178,102,65
REC0114,2022,May,Uttar Pradesh,Varanasi,NFHS Survey,100456,254,1207,1,134,5
REC0115,2022,Apr,Karnataka,Bengaluru,NFHS Survey,169945,956,1304,184,63,14
REC0116,2023,Jun,Karnataka,Mysuru,Smile Foundation,169461,699,1261,57,14,64
REC0117,2023,Jan,Maharashtra,Mumbai,Doctors For You,151276,434,395,105,84,23
REC0118,2023,Feb,Karnataka,Mysuru,National Health Mission (NHM),58696,467,1009,197,17,34
REC0119,2024,Jun,Uttar Pradesh,Lucknow,Smile Foundation,130539,977,1439,91,87,84
REC0120,2021,Apr,Maharashtra,Mumbai,National Health Mission (NHM),130103,381,1016,33,36,24
REC0121,2025,Jan,Uttar Pradesh,Lucknow,HMIS Portal India,182897,424,686,70,13,16
REC0122,2022,Apr,Maharashtra,Mumbai,Smile Foundation,164242,337,877,180,135,70
REC0123,2025,May,Maharashtra,Pune,WHO India,181217,955,1382,80,38,15
REC0124,2024,Jan,Karnataka,Mysuru,Smile Foundation,179116,162,650,155,4,69
REC0125,2021,Mar,Karnataka,Mysuru,National Health Mission (NHM),195049,431,1463,74,26,68
REC0126,2025,Mar,Tamil Nadu,Madurai,HMIS Portal India,191941,862,1467,41,64,95
REC0127,2024,Apr,Tamil Nadu,Chennai,Doctors For You,163085,916,679,187,1,24
REC0128,2023,Mar,Karnataka,Bengaluru,HMIS Portal India,186679,869,1269,133,146,66
REC0129,2022,Feb,Uttar Pradesh,Varanasi,Doctors For You,121592,462,530,195,46,80
REC0130,2021,Jun,Uttar Pradesh,Varanasi,Smile Foundation,80942,850,808,164,49,84
REC0131,2025,May,Karnataka,Mysuru,Doctors For You,127484,108,448,189,88,12
REC0132,2023,Apr,Uttar Pradesh,Varanasi,National Health Mission (NHM),130778,107,1150,126,17,37
REC0133,2021,Feb,Karnataka,Bengaluru,Smile Foundation,107751,942,930,181,120,70
REC0134,2023,Mar,Maharashtra,Mumbai,HMIS Portal India,187948,630,1125,5,129,13
REC0135,2022,Feb,Karnataka,Bengaluru,HMIS Portal India,129895,834,1312,196,49,60
REC0136,2022,May,Uttar Pradesh,Lucknow,HMIS Portal India,199263,208,1354,144,140,76
REC0137,2023,Jan,Uttar Pradesh,Lucknow,National Health Mission (NHM),60206,524,418,77,136,19
REC0138,2021,Jun,Uttar Pradesh,Lucknow,HMIS Portal India,175312,504,595,189,124,84
REC0139,2023,Jun,Uttar Pradesh,Varanasi,WHO India,87353,107,355,25,138,67
REC0140,2023,Mar,Karnataka,Bengaluru,CARE India,150940,241,664,168,26,43
REC0141,2023,May,Uttar Pradesh,Lucknow,WHO India,57619,628,493,70,19,100
REC0142,2022,May,Maharashtra,Mumbai,Smile Foundation,82599,308,1030,105,32,80
REC0143,2022,Apr,Tamil Nadu,Chennai,Doctors For You,125586,932,637,174,2,44
REC0144,2021,Apr,Uttar Pradesh,Varanasi,Smile Foundation,169005,102,1043,192,146,71
REC0145,2021,Apr,Tamil Nadu,Madurai,CARE India,161223,264,1037,137,71,62
REC0146,2022,Mar,Karnataka,Bengaluru,Doctors For You,143905,517,589,87,134,69
REC0147,2024,Mar,Karnataka,Mysuru,Doctors For You,199979,212,777,28,112,55
REC0148,2024,Feb,Karnataka,Mysuru,NFHS Survey,196774,637,276,185,55,66
REC0149,2025,Jan,Karnataka,Mysuru,Doctors For You,150657,193,212,38,74,59
REC0150,2023,Jan,Karnataka,Mysuru,CARE India,186047,493,1007,193,59,40
REC0151,2021,Feb,Karnataka,Bengaluru,CARE India,173069,906,737,169,142,67
REC0152,2024,Jan,Karnataka,Bengaluru,NFHS Survey,101412,217,560,9,116,84
REC0153,2025,Mar,Maharashtra,Mumbai,NFHS Survey,79603,772,976,193,42,57
REC0154,2024,Apr,Tamil Nadu,Chennai,WHO India,94761,986,694,104,133,32
REC0155,2025,Mar,Maharashtra,Mumbai,HMIS Portal India,76613,779,1077,154,136,26
REC0156,2024,Feb,Uttar Pradesh,Varanasi,HMIS Portal India,140186,910,1459,22,96,58
REC0157,2023,Apr,Tamil Nadu,Madurai,National Health Mission (NHM),194811,555,887,109,71,25
REC0158,2023,Mar,Uttar Pradesh,Lucknow,Smile Foundation,146662,158,745,92,97,44
REC0159,2025,May,Maharashtra,Mumbai,National Health Mission (NHM),66131,506,1077,98,112,63
REC0160,2025,Feb,Tamil Nadu,Chennai,NFHS Survey,114681,903,225,191,103,94
REC0161,2022,Feb,Tamil Nadu,Madurai,National Health Mission (NHM),155589,592,622,158,100,44
REC0162,2022,Mar,Maharashtra,Pune,WHO India,82634,446,873,143,109,70
REC0163,2021,Jan,Tamil Nadu,Chennai,HMIS Portal India,95693,967,1006,192,52,59
REC0164,2021,Apr,Maharashtra,Mumbai,NFHS Survey,155214,133,730,94,112,0
REC0165,2021,Apr,Karnataka,Bengaluru,National Health Mission (NHM),63647,627,292,16,27,52
REC0166,2024,Jan,Tamil Nadu,Chennai,National Health Mission (NHM),164855,849,730,27,139,86
REC0167,2022,Jan,Karnataka,Bengaluru,Doctors For You,67298,573,817,2,67,47
REC0168,2023,Jan,Uttar Pradesh,Varanasi,WHO India,77807,300,246,121,45,31
REC0169,2024,Jun,Uttar Pradesh,Varanasi,CARE India,76783,821,323,93,98,75
REC0170,2022,Feb,Tamil Nadu,Chennai,Doctors For You,71137,324,354,183,37,59
REC0171,2022,Jan,Maharashtra,Mumbai,Smile Foundation,177608,396,1213,17,10,80
REC0172,2025,Feb,Maharashtra,Pune,WHO India,102047,839,215,168,58,23
REC0173,2024,Apr,Uttar Pradesh,Varanasi,CARE India,156727,658,1059,173,38,23
REC0174,2021,Mar,Uttar Pradesh,Lucknow,National Health Mission (NHM),129519,435,906,8,89,76
REC0175,2023,Mar,Uttar Pradesh,Varanasi,NFHS Survey,104058,112,588,53,78,36
REC0176,2021,May,Uttar Pradesh,Lucknow,National Health Mission (NHM),128761,334,790,173,88,24
REC0177,2022,Apr,Uttar Pradesh,Varanasi,Doctors For You,190950,784,1325,24,14,68
REC0178,2022,May,Uttar Pradesh,Varanasi,HMIS Portal India,91048,243,791,75,90,36
REC0179,2024,Mar,Maharashtra,Mumbai,Smile Foundation,61754,375,681,96,139,88
REC0180,2024,Jun,Maharashtra,Pune,HMIS Portal India,63271,952,1206,85,122,20
REC0181,2025,Apr,Tamil Nadu,Chennai,Smile Foundation,118328,169,677,172,2,88
REC0182,2021,May,Maharashtra,Pune,HMIS Portal India,174619,101,823,198,136,12
REC0183,2023,Jun,Uttar Pradesh,Lucknow,CARE India,92654,272,459,158,72,7
REC0184,2023,Jan,Maharashtra,Pune,HMIS Portal India,125360,203,426,64,112,50
REC0185,2023,Apr,Maharashtra,Pune,Smile Foundation,151794,388,816,81,66,24
REC0186,2021,Jun,Karnataka,Mysuru,Doctors For You,163091,733,1071,51,19,64
REC0187,2023,Feb,Tamil Nadu,Madurai,CARE India,51659,441,713,96,77,86
REC0188,2021,Apr,Maharashtra,Mumbai,NFHS Survey,93697,862,868,188,92,38
REC0189,2022,Mar,Maharashtra,Pune,WHO India,121350,356,538,19,141,86
REC0190,2023,Feb,Karnataka,Mysuru,HMIS Portal India,81031,573,730,72,127,70
REC0191,2025,Mar,Tamil Nadu,Chennai,National Health Mission (NHM),161638,112,943,185,65,51
REC0192,2021,Jan,Tamil Nadu,Chennai,Smile Foundation,106479,219,1231,106,110,6
REC0193,2021,Apr,Karnataka,Mysuru,NFHS Survey,169591,567,1008,34,37,86
REC0194,2022,May,Tamil Nadu,Chennai,Smile Foundation,79889,477,578,198,93,29
REC0195,2022,Jun,Maharashtra,Mumbai,Smile Foundation,128508,736,935,69,48,10
REC0196,2022,Jan,Tamil Nadu,Madurai,CARE India,59219,191,206,56,50,33
REC0197,2021,Jan,Maharashtra,Mumbai,CARE India,53723,954,1199,77,38,11
REC0198,2023,May,Uttar Pradesh,Lucknow,National Health Mission (NHM),109753,863,1378,108,32,45
REC0199,2025,May,Karnataka,Mysuru,NFHS Survey,182728,304,1487,189,57,38
REC0200,2025,Jun,Tamil Nadu,Chennai,WHO India,62484,896,1478,151,116,80
REC0201,2025,Mar,Karnataka,Mysuru,NFHS Survey,140336,627,1203,105,142,61
REC0202,2021,Feb,Tamil Nadu,Madurai,NFHS Survey,195861,850,1149,125,143,79
REC0203,2024,Mar,Uttar Pradesh,Lucknow,Doctors For You,170743,507,505,133,81,87
REC0204,2022,Jun,Uttar Pradesh,Lucknow,Doctors For You,175250,716,1138,22,34,100
REC0205,2024,Feb,Tamil Nadu,Chennai,Smile Foundation,98484,169,828,158,10,89
REC0206,2021,Mar,Maharashtra,Pune,HMIS Portal India,159982,207,1264,61,46,26
REC0207,2021,Jan,Tamil Nadu,Madurai,NFHS Survey,84774,764,1450,131,64,12
REC0208,2024,Feb,Uttar Pradesh,Lucknow,Doctors For You,139649,147,1474,115,113,38
REC0209,2025,Jun,Maharashtra,Mumbai,National Health Mission (NHM),196701,710,1483,158,109,52
REC0210,2024,Feb,Karnataka,Mysuru,National Health Mission (NHM),59764,201,996,194,48,36
REC0211,2021,Jan,Karnataka,Mysuru,CARE India,143750,182,461,16,55,25
REC0212,2025,Jun,Karnataka,Bengaluru,WHO India,126919,595,362,8,73,51
REC0213,2021,Jan,Uttar Pradesh,Varanasi,NFHS Survey,195045,529,1010,120,10,83
REC0214,2023,Jun,Maharashtra,Pune,National Health Mission (NHM),117492,344,1260,170,97,49
REC0215,2022,Jan,Maharashtra,Pune,CARE India,82870,135,997,198,103,47
REC0216,2022,Mar,Maharashtra,Mumbai,Smile Foundation,112824,727,1200,21,93,58
REC0217,2025,Jun,Karnataka,Mysuru,National Health Mission (NHM),147805,887,1167,180,78,63
REC0218,2022,Mar,Karnataka,Mysuru,Smile Foundation,194419,515,255,153,41,18
REC0219,2023,Jun,Uttar Pradesh,Varanasi,WHO India,71534,729,1080,180,121,10
REC0220,2023,May,Uttar Pradesh,Lucknow,NFHS Survey,126952,899,332,168,10,44
REC0221,2025,May,Uttar Pradesh,Varanasi,HMIS Portal India,78562,696,1160,77,50,13
REC0222,2022,Apr,Karnataka,Bengaluru,Doctors For You,59762,719,751,139,18,28
REC0223,2023,Jan,Tamil Nadu,Madurai,National Health Mission (NHM),67394,669,960,103,31,1
REC0224,2021,Mar,Karnataka,Bengaluru,HMIS Portal India,185242,194,448,36,126,43
REC0225,2023,Jun,Karnataka,Bengaluru,HMIS Portal India,158430,114,1138,167,71,48
REC0226,2024,Jun,Tamil Nadu,Chennai,HMIS Portal India,195921,762,1118,9,82,5
REC0227,2025,May,Maharashtra,Mumbai,National Health Mission (NHM),55911,733,1360,179,17,27
REC0228,2021,Apr,Uttar Pradesh,Varanasi,NFHS Survey,133317,413,992,195,81,44
REC0229,2024,Feb,Uttar Pradesh,Lucknow,NFHS Survey,92164,775,1228,33,72,31
REC0230,2025,Apr,Maharashtra,Pune,Smile Foundation,101322,855,1354,78,2,57
REC0231,2022,Jan,Karnataka,Bengaluru,Smile Foundation,51593,249,267,15,126,18
REC0232,2021,Jan,Karnataka,Mysuru,HMIS Portal India,54085,719,1075,18,40,76
REC0233,2024,Apr,Tamil Nadu,Chennai,NFHS Survey,142428,653,272,158,58,32
REC0234,2024,Apr,Uttar Pradesh,Lucknow,NFHS Survey,142790,268,821,0,144,54
REC0235,2024,May,Uttar Pradesh,Lucknow,CARE India,153006,338,709,136,114,2
REC0236,2024,May,Uttar Pradesh,Varanasi,Smile Foundation,182690,681,1314,85,114,15
REC0237,2021,Mar,Karnataka,Bengaluru,HMIS Portal India,176717,374,493,95,132,41
REC0238,2023,Feb,Karnataka,Mysuru,HMIS Portal India,164979,843,670,124,118,95
REC0239,2024,Jun,Uttar Pradesh,Lucknow,CARE India,58603,793,1261,14,16,77
REC0240,2024,Feb,Uttar Pradesh,Lucknow,WHO India,61909,638,1255,17,124,67
REC0241,2021,Feb,Karnataka,Mysuru,CARE India,197517,864,337,151,118,80
REC0242,2021,Jun,Tamil Nadu,Madurai,HMIS Portal India,104465,452,1267,104,66,39
REC0243,2023,Feb,Uttar Pradesh,Varanasi,WHO India,66847,247,643,136,137,78
REC0244,2024,May,Maharashtra,Pune,NFHS Survey,193867,473,1126,13,35,89
REC0245,2023,Feb,Karnataka,Mysuru,Smile Foundation,136336,692,497,168,56,51
REC0246,2021,Feb,Tamil Nadu,Madurai,WHO India,199865,836,806,181,85,21
REC0247,2023,Apr,Karnataka,Bengaluru,Smile Foundation,158693,955,1429,45,93,91
REC0248,2024,Jun,Uttar Pradesh,Varanasi,National Health Mission (NHM),145705,550,1323,132,42,55
REC0249,2024,Jun,Maharashtra,Mumbai,CARE India,111352,796,448,39,75,94
REC0250,2022,May,Karnataka,Mysuru,CARE India,158481,514,1326,67,96,89
REC0251,2025,Jan,Karnataka,Bengaluru,NFHS Survey,118231,1000,856,196,23,31
REC0252,2021,Jun,Uttar Pradesh,Lucknow,WHO India,183995,674,231,69,60,37
REC0253,2021,Jun,Tamil Nadu,Chennai,Smile Foundation,137912,861,457,27,98,65
REC0254,2021,Jan,Tamil Nadu,Madurai,Smile Foundation,186228,462,885,123,107,100
REC0255,2021,Feb,Uttar Pradesh,Varanasi,CARE India,90507,174,1056,83,148,16
REC0256,2024,May,Uttar Pradesh,Varanasi,WHO India,93280,269,761,102,53,48
REC0257,2023,Feb,Tamil Nadu,Madurai,CARE India,138191,451,330,110,42,25
REC0258,2024,Jun,Karnataka,Mysuru,Doctors For You,58157,687,1312,89,24,76
REC0259,2023,Apr,Uttar Pradesh,Lucknow,HMIS Portal India,190649,439,553,24,33,94
REC0260,2021,Jun,Maharashtra,Pune,Doctors For You,57440,442,1319,149,116,29
REC0261,2021,Mar,Tamil Nadu,Madurai,CARE India,180683,418,425,97,109,24
REC0262,2021,Jan,Karnataka,Mysuru,WHO India,90374,947,521,80,45,99
REC0263,2023,Jun,Tamil Nadu,Chennai,Smile Foundation,103190,217,1208,57,95,47
REC0264,2021,Apr,Tamil Nadu,Madurai,Smile Foundation,190481,723,303,103,13,28
REC0265,2022,Feb,Tamil Nadu,Madurai,NFHS Survey,184555,427,1490,186,129,93
REC0266,2025,Apr,Uttar Pradesh,Lucknow,CARE India,103950,956,1202,14,103,57
REC0267,2021,Jan,Tamil Nadu,Madurai,National Health Mission (NHM),183955,917,1464,29,55,24
REC0268,2024,Jun,Maharashtra,Pune,HMIS Portal India,135676,588,818,130,120,83
REC0269,2024,Jan,Uttar Pradesh,Varanasi,Doctors For You,156441,988,641,176,69,71
REC0270,2022,Apr,Uttar Pradesh,Varanasi,NFHS Survey,107509,381,508,22,110,79
REC0271,2023,Apr,Tamil Nadu,Madurai,Smile Foundation,136572,437,203,167,42,41
REC0272,2021,Feb,Tamil Nadu,Madurai,HMIS Portal India,190220,305,1388,190,22,99
REC0273,2023,Apr,Uttar Pradesh,Lucknow,CARE India,199067,653,1430,0,6,64
REC0274,2022,Apr,Tamil Nadu,Chennai,CARE India,72593,515,1498,157,90,75
REC0275,2024,Feb,Tamil Nadu,Chennai,WHO India,87689,965,260,181,124,26
REC0276,2021,Mar,Tamil Nadu,Chennai,Doctors For You,175463,780,494,30,47,52
REC0277,2022,Feb,Karnataka,Bengaluru,HMIS Portal India,76294,130,322,87,45,10
REC0278,2025,Apr,Karnataka,Mysuru,CARE India,167727,624,1165,153,51,66
REC0279,2024,May,Tamil Nadu,Chennai,WHO India,123699,881,419,189,36,55
REC0280,2021,Mar,Karnataka,Mysuru,HMIS Portal India,71677,463,609,169,37,20
REC0281,2023,Jan,Uttar Pradesh,Lucknow,HMIS Portal India,84358,1000,1387,83,2,15
REC0282,2025,Apr,Tamil Nadu,Chennai,CARE India,82713,655,917,149,2,11
REC0283,2023,May,Uttar Pradesh,Varanasi,National Health Mission (NHM),165074,784,1289,135,91,26
REC0284,2025,Apr,Tamil Nadu,Chennai,National Health Mission (NHM),54044,675,1089,151,62,10
REC0285,2023,May,Uttar Pradesh,Lucknow,NFHS Survey,195285,570,622,85,23,96
REC0286,2022,Mar,Tamil Nadu,Madurai,Smile Foundation,158723,132,1324,144,53,5
REC0287,2024,Jun,Karnataka,Mysuru,Smile Foundation,182115,789,914,161,131,78
REC0288,2025,Apr,Karnataka,Bengaluru,CARE India,60876,411,821,25,25,84
REC0289,2022,Jun,Karnataka,Bengaluru,HMIS Portal India,116024,507,1159,183,137,41
REC0290,2024,Jan,Tamil Nadu,Madurai,CARE India,84152,640,445,23,116,91
REC0291,2021,Feb,Uttar Pradesh,Varanasi,NFHS Survey,69984,156,1300,84,30,30
REC0292,2021,Jan,Tamil Nadu,Chennai,National Health Mission (NHM),116962,364,1375,85,74,0
REC0293,2025,Mar,Uttar Pradesh,Lucknow,Doctors For You,190298,867,1166,96,113,99
REC0294,2023,Apr,Uttar Pradesh,Lucknow,National Health Mission (NHM),59918,557,398,1,143,21
REC0295,2023,Apr,Tamil Nadu,Madurai,NFHS Survey,107366,456,1348,74,59,86
REC0296,2024,Jun,Uttar Pradesh,Lucknow,CARE India,144515,767,1071,16,63,78
REC0297,2021,Jan,Karnataka,Bengaluru,Doctors For You,149150,522,328,75,138,6
REC0298,2023,Jun,Tamil Nadu,Chennai,WHO India,136400,366,462,83,25,17
