record_id,year,month,state,village_name,problem_type,cases,severity,population,affected_families,asha_workers,anc_registrations,immunization,institutional_deliveries,ngo_name,ngo_work
F49_REC00009,2020,Feb,Karnataka,Bengaluru,TB,253,High,493810,109735,272,1734,1942,152,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00010,2019,Jun,Tamil Nadu,Chennai,Malaria,479,High,213228,47384,307,607,1230,441,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00010,2019,Jun,Tamil Nadu,Chennai,Dengue,367,High,213228,47384,307,607,1230,441,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00010,2019,Jun,Tamil Nadu,Chennai,TB,12,High,213228,47384,307,607,1230,441,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00011,2019,Apr,Tamil Nadu,Chennai,Malaria,14,Low,429805,95512,303,918,359,1012,CARE India,"Women & child nutrition, sanitation & community health"
F49_REC00011,2019,Apr,Tamil Nadu,Chennai,Dengue,131,Low,429805,95512,303,918,359,1012,CARE India,"Women & child nutrition, sanitation & community health"
F49_REC00011,2019,Apr,Tamil Nadu,Chennai,TB,205,Low,429805,95512,303,918,359,1012,CARE India,"Women & child nutrition, sanitation & community health"
F49_REC00012,2020,Sep,Bihar,Patna,Malaria,472,Medium,79146,17588,91,461,806,659,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00012,2020,Sep,Bihar,Patna,Dengue,238,Medium,79146,17588,91,461,806,659,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00012,2020,Sep,Bihar,Patna,TB,276,Medium,79146,17588,91,461,806,659,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00013,2019,Apr,West Bengal,Howrah,Malaria,174,High,361787,80397,208,703,2725,830,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00013,2019,Apr,West Bengal,Howrah,Dengue,49,High,361787,80397,208,703,2725,830,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00013,2019,Apr,West Bengal,Howrah,TB,169,High,361787,80397,208,703,2725,830,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00014,2020,Jul,Uttar Pradesh,Varanasi,Malaria,324,Low,471094,104687,357,999,2416,732,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00014,2020,Jul,Uttar Pradesh,Varanasi,Dengue,234,Low,471094,104687,357,999,2416,732,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00014,2020,Jul,Uttar Pradesh,Varanasi,TB,234,Low,471094,104687,357,999,2416,732,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00015,2017,Jan,Maharashtra,Mumbai,Malaria,100,Medium,341287,75841,192,368,1273,648,Doctors For You,Emergency medical relief & rural health camps
F49_REC00015,2017,Jan,Maharashtra,Mumbai,Dengue,86,Medium,341287,75841,192,368,1273,648,Doctors For You,Emergency medical relief & rural health camps
F49_REC00015,2017,Jan,Maharashtra,Mumbai,TB,254,Medium,341287,75841,192,368,1273,648,Doctors For You,Emergency medical relief & rural health camps
F49_REC00016,2019,Apr,Uttar Pradesh,Agra,Malaria,116,Medium,406638,90364,98,641,1889,152,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00016,2019,Apr,Uttar Pradesh,Agra,Dengue,269,Medium,406638,90364,98,641,1889,152,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00016,2019,Apr,Uttar Pradesh,Agra,TB,61,Medium,406638,90364,98,641,1889,152,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00017,2017,Jan,Bihar,Muzaffarpur,Malaria,477,High,249375,55416,262,1202,2840,286,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00017,2017,Jan,Bihar,Muzaffarpur,Dengue,249,High,249375,55416,262,1202,2840,286,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00017,2017,Jan,Bihar,Muzaffarpur,TB,100,High,249375,55416,262,1202,2840,286,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00018,2018,Jun,Tamil Nadu,Coimbatore,Malaria,137,Low,302001,67111,59,932,1293,424,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00018,2018,Jun,Tamil Nadu,Coimbatore,Dengue,237,Low,302001,67111,59,932,1293,424,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00018,2018,Jun,Tamil Nadu,Coimbatore,TB,239,Low,302001,67111,59,932,1293,424,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00019,2019,Mar,Gujarat,Vadodara,Malaria,189,High,384800,85511,287,336,2460,360,Doctors For You,Emergency medical relief & rural health camps
F49_REC00019,2019,Mar,Gujarat,Vadodara,Dengue,146,High,384800,85511,287,336,2460,360,Doctors For You,Emergency medical relief & rural health camps
F49_REC00019,2019,Mar,Gujarat,Vadodara,TB,231,High,384800,85511,287,336,2460,360,Doctors For You,Emergency medical relief & rural health camps
F49_REC00020,2019,Aug,Uttar Pradesh,Lucknow,Malaria,261,High,409358,90968,189,1550,1570,122,HMIS,Health management information systems & data monitoring
F49_REC00020,2019,Aug,Uttar Pradesh,Lucknow,Dengue,44,High,409358,90968,189,1550,1570,122,HMIS,Health management information systems & data monitoring
F49_REC00020,2019,Aug,Uttar Pradesh,Lucknow,TB,229,High,409358,90968,189,1550,1570,122,HMIS,Health management information systems & data monitoring
F49_REC00021,2018,Aug,Maharashtra,Nagpur,Malaria,490,Medium,97772,21727,339,1407,1590,737,NFHS,National health survey & maternal/child health data collection
F49_REC00021,2018,Aug,Maharashtra,Nagpur,Dengue,59,Medium,97772,21727,339,1407,1590,737,NFHS,National health survey & maternal/child health data collection
F49_REC00021,2018,Aug,Maharashtra,Nagpur,TB,25,Medium,97772,21727,339,1407,1590,737,NFHS,National health survey & maternal/child health data collection
F49_REC00022,2019,May,West Bengal,Kolkata,Malaria,52,Medium,256484,56996,252,1383,431,198,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00022,2019,May,West Bengal,Kolkata,Dengue,167,Medium,256484,56996,252,1383,431,198,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00022,2019,May,West Bengal,Kolkata,TB,276,Medium,256484,56996,252,1383,431,198,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00023,2020,Mar,Karnataka,Bengaluru,Malaria,95,High,405191,90042,300,807,1342,1394,NFHS,National health survey & maternal/child health data collection
F49_REC00023,2020,Mar,Karnataka,Bengaluru,Dengue,254,High,405191,90042,300,807,1342,1394,NFHS,National health survey & maternal/child health data collection
F49_REC00023,2020,Mar,Karnataka,Bengaluru,TB,292,High,405191,90042,300,807,1342,1394,NFHS,National health survey & maternal/child health data collection
F49_REC00024,2019,Apr,Gujarat,Vadodara,Malaria,108,Medium,400130,88917,230,1117,295,993,Doctors For You,Emergency medical relief & rural health camps
F49_REC00024,2019,Apr,Gujarat,Vadodara,Dengue,297,Medium,400130,88917,230,1117,295,993,Doctors For You,Emergency medical relief & rural health camps
F49_REC00024,2019,Apr,Gujarat,Vadodara,TB,38,Medium,400130,88917,230,1117,295,993,Doctors For You,Emergency medical relief & rural health camps
F49_REC00025,2019,Apr,Bihar,Patna,Malaria,344,Low,212185,47152,179,1449,2862,340,NFHS,National health survey & maternal/child health data collection
F49_REC00025,2019,Apr,Bihar,Patna,Dengue,41,Low,212185,47152,179,1449,2862,340,NFHS,National health survey & maternal/child health data collection
F49_REC00025,2019,Apr,Bihar,Patna,TB,18,Low,212185,47152,179,1449,2862,340,NFHS,National health survey & maternal/child health data collection
F49_REC00026,2017,Aug,Karnataka,Bengaluru,Malaria,237,High,432673,96149,124,490,1679,1049,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00026,2017,Aug,Karnataka,Bengaluru,Dengue,187,High,432673,96149,124,490,1679,1049,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00026,2017,Aug,Karnataka,Bengaluru,TB,98,High,432673,96149,124,490,1679,1049,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00027,2019,Mar,Gujarat,Vadodara,Malaria,52,Low,438014,97336,158,1280,2496,1038,Doctors For You,Emergency medical relief & rural health camps
F49_REC00027,2019,Mar,Gujarat,Vadodara,Dengue,363,Low,438014,97336,158,1280,2496,1038,Doctors For You,Emergency medical relief & rural health camps
F49_REC00027,2019,Mar,Gujarat,Vadodara,TB,34,Low,438014,97336,158,1280,2496,1038,Doctors For You,Emergency medical relief & rural health camps
F49_REC00028,2017,Sep,West Bengal,Howrah,Malaria,304,Medium,203457,45212,160,1516,2864,704,HMIS,Health management information systems & data monitoring
F49_REC00028,2017,Sep,West Bengal,Howrah,Dengue,260,Medium,203457,45212,160,1516,2864,704,HMIS,Health management information systems & data monitoring
F49_REC00028,2017,Sep,West Bengal,Howrah,TB,152,Medium,203457,45212,160,1516,2864,704,HMIS,Health management information systems & data monitoring
F49_REC00029,2018,May,Tamil Nadu,Coimbatore,Malaria,145,Medium,130689,29042,293,1495,1451,509,NFHS,National health survey & maternal/child health data collection
F49_REC00029,2018,May,Tamil Nadu,Coimbatore,Dengue,28,Medium,130689,29042,293,1495,1451,509,NFHS,National health survey & maternal/child health data collection
F49_REC00029,2018,May,Tamil Nadu,Coimbatore,TB,80,Medium,130689,29042,293,1495,1451,509,NFHS,National health survey & maternal/child health data collection
F49_REC00030,2019,Aug,Maharashtra,Nagpur,Malaria,163,Low,400120,88915,210,1279,241,1332,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00030,2019,Aug,Maharashtra,Nagpur,Dengue,324,Low,400120,88915,210,1279,241,1332,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00030,2019,Aug,Maharashtra,Nagpur,TB,90,Low,400120,88915,210,1279,241,1332,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00031,2018,Jan,Uttar Pradesh,Varanasi,Malaria,279,Low,286063,63569,144,907,1109,846,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00031,2018,Jan,Uttar Pradesh,Varanasi,Dengue,279,Low,286063,63569,144,907,1109,846,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00031,2018,Jan,Uttar Pradesh,Varanasi,TB,75,Low,286063,63569,144,907,1109,846,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00032,2017,Aug,Bihar,Patna,Malaria,463,Medium,93410,20757,397,1719,719,175,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00032,2017,Aug,Bihar,Patna,Dengue,337,Medium,93410,20757,397,1719,719,175,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00032,2017,Aug,Bihar,Patna,TB,297,Medium,93410,20757,397,1719,719,175,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00033,2019,May,Uttar Pradesh,Varanasi,Malaria,241,Low,379858,84412,133,1072,2416,1077,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00033,2019,May,Uttar Pradesh,Varanasi,Dengue,247,Low,379858,84412,133,1072,2416,1077,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00033,2019,May,Uttar Pradesh,Varanasi,TB,291,Low,379858,84412,133,1072,2416,1077,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00034,2018,Apr,Karnataka,Hubli,Malaria,380,High,308510,68557,72,823,2472,568,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00034,2018,Apr,Karnataka,Hubli,Dengue,376,High,308510,68557,72,823,2472,568,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00034,2018,Apr,Karnataka,Hubli,TB,19,High,308510,68557,72,823,2472,568,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00035,2020,Apr,Uttar Pradesh,Lucknow,Malaria,32,High,402698,89488,251,318,849,376,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00035,2020,Apr,Uttar Pradesh,Lucknow,Dengue,155,High,402698,89488,251,318,849,376,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00035,2020,Apr,Uttar Pradesh,Lucknow,TB,275,High,402698,89488,251,318,849,376,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00036,2020,Sep,Gujarat,Vadodara,Malaria,53,High,189141,42031,386,954,1539,262,Doctors For You,Emergency medical relief & rural health camps
F49_REC00036,2020,Sep,Gujarat,Vadodara,Dengue,83,High,189141,42031,386,954,1539,262,Doctors For You,Emergency medical relief & rural health camps
F49_REC00036,2020,Sep,Gujarat,Vadodara,TB,10,High,189141,42031,386,954,1539,262,Doctors For You,Emergency medical relief & rural health camps
F49_REC00037,2020,Aug,Karnataka,Mysuru,Malaria,38,Medium,468658,104146,171,166,2356,374,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00037,2020,Aug,Karnataka,Mysuru,Dengue,336,Medium,468658,104146,171,166,2356,374,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00037,2020,Aug,Karnataka,Mysuru,TB,108,Medium,468658,104146,171,166,2356,374,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00038,2020,Apr,Bihar,Muzaffarpur,Malaria,444,Medium,361566,80348,338,552,2336,1160,NFHS,National health survey & maternal/child health data collection
F49_REC00038,2020,Apr,Bihar,Muzaffarpur,Dengue,298,Medium,361566,80348,338,552,2336,1160,NFHS,National health survey & maternal/child health data collection
F49_REC00038,2020,Apr,Bihar,Muzaffarpur,TB,88,Medium,361566,80348,338,552,2336,1160,NFHS,National health survey & maternal/child health data collection
F49_REC00039,2020,Apr,Bihar,Patna,Malaria,140,Medium,253452,56322,149,1844,1608,715,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00039,2020,Apr,Bihar,Patna,Dengue,340,Medium,253452,56322,149,1844,1608,715,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00039,2020,Apr,Bihar,Patna,TB,137,Medium,253452,56322,149,1844,1608,715,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00040,2020,Jan,Maharashtra,Mumbai,Malaria,477,Medium,361756,80390,76,1918,2012,820,HMIS,Health management information systems & data monitoring
F49_REC00040,2020,Jan,Maharashtra,Mumbai,Dengue,283,Medium,361756,80390,76,1918,2012,820,HMIS,Health management information systems & data monitoring
F49_REC00040,2020,Jan,Maharashtra,Mumbai,TB,42,Medium,361756,80390,76,1918,2012,820,HMIS,Health management information systems & data monitoring
F49_REC00041,2018,Apr,Karnataka,Mysuru,Malaria,26,Low,115530,25673,115,1338,222,307,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00041,2018,Apr,Karnataka,Mysuru,Dengue,54,Low,115530,25673,115,1338,222,307,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00041,2018,Apr,Karnataka,Mysuru,TB,163,Low,115530,25673,115,1338,222,307,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00042,2019,Sep,Bihar,Muzaffarpur,Malaria,484,High,51906,11534,312,1882,2134,471,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00042,2019,Sep,Bihar,Muzaffarpur,Dengue,259,High,51906,11534,312,1882,2134,471,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00042,2019,Sep,Bihar,Muzaffarpur,TB,11,High,51906,11534,312,1882,2134,471,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00043,2017,Aug,Uttar Pradesh,Agra,Malaria,318,High,139863,31080,238,327,737,434,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00043,2017,Aug,Uttar Pradesh,Agra,Dengue,259,High,139863,31080,238,327,737,434,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00043,2017,Aug,Uttar Pradesh,Agra,TB,47,High,139863,31080,238,327,737,434,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00044,2020,Aug,Gujarat,Surat,Malaria,287,Low,250469,55659,249,213,1576,1077,CARE India,"Women & child nutrition, sanitation & community health"
F49_REC00044,2020,Aug,Gujarat,Surat,Dengue,97,Low,250469,55659,249,213,1576,1077,CARE India,"Women & child nutrition, sanitation & community health"
F49_REC00044,2020,Aug,Gujarat,Surat,TB,299,Low,250469,55659,249,213,1576,1077,CARE India,"Women & child nutrition, sanitation & community health"
F49_REC00045,2018,Mar,Gujarat,Surat,Malaria,400,Low,385213,85602,72,1412,258,156,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00045,2018,Mar,Gujarat,Surat,Dengue,349,Low,385213,85602,72,1412,258,156,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00045,2018,Mar,Gujarat,Surat,TB,78,Low,385213,85602,72,1412,258,156,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00046,2017,Mar,Karnataka,Bengaluru,Malaria,406,High,383782,85284,345,1865,2544,1124,Doctors For You,Emergency medical relief & rural health camps
F49_REC00046,2017,Mar,Karnataka,Bengaluru,Dengue,245,High,383782,85284,345,1865,2544,1124,Doctors For You,Emergency medical relief & rural health camps
F49_REC00046,2017,Mar,Karnataka,Bengaluru,TB,145,High,383782,85284,345,1865,2544,1124,Doctors For You,Emergency medical relief & rural health camps
F49_REC00047,2017,Sep,Karnataka,Hubli,Malaria,419,Low,175230,38940,177,904,1774,267,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00047,2017,Sep,Karnataka,Hubli,Dengue,215,Low,175230,38940,177,904,1774,267,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00047,2017,Sep,Karnataka,Hubli,TB,283,Low,175230,38940,177,904,1774,267,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00048,2017,Jun,Uttar Pradesh,Lucknow,Malaria,478,High,128015,28447,305,432,1667,1201,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00048,2017,Jun,Uttar Pradesh,Lucknow,Dengue,234,High,128015,28447,305,432,1667,1201,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00048,2017,Jun,Uttar Pradesh,Lucknow,TB,32,High,128015,28447,305,432,1667,1201,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00049,2019,Aug,Uttar Pradesh,Agra,Malaria,150,Medium,145687,32374,96,222,1064,449,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00049,2019,Aug,Uttar Pradesh,Agra,Dengue,92,Medium,145687,32374,96,222,1064,449,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00049,2019,Aug,Uttar Pradesh,Agra,TB,271,Medium,145687,32374,96,222,1064,449,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00050,2020,Feb,Karnataka,Hubli,Malaria,373,Low,224852,49967,144,805,2890,812,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00050,2020,Feb,Karnataka,Hubli,Dengue,118,Low,224852,49967,144,805,2890,812,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00050,2020,Feb,Karnataka,Hubli,TB,68,Low,224852,49967,144,805,2890,812,Smile Foundation,"Mobile health units, education & livelihood for underserved communities"
F49_REC00051,2019,Apr,Bihar,Patna,Malaria,340,Low,488492,108553,148,986,1820,255,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00051,2019,Apr,Bihar,Patna,Dengue,27,Low,488492,108553,148,986,1820,255,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00051,2019,Apr,Bihar,Patna,TB,275,Low,488492,108553,148,986,1820,255,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00052,2020,May,West Bengal,Kolkata,Malaria,74,Medium,442323,98294,299,187,1936,895,CARE India,"Women & child nutrition, sanitation & community health"
F49_REC00052,2020,May,West Bengal,Kolkata,Dengue,272,Medium,442323,98294,299,187,1936,895,CARE India,"Women & child nutrition, sanitation & community health"
F49_REC00052,2020,May,West Bengal,Kolkata,TB,82,Medium,442323,98294,299,187,1936,895,CARE India,"Women & child nutrition, sanitation & community health"
F49_REC00053,2018,Jul,Uttar Pradesh,Agra,Malaria,442,Medium,273102,60689,228,1382,1883,700,NFHS,National health survey & maternal/child health data collection
F49_REC00053,2018,Jul,Uttar Pradesh,Agra,Dengue,105,Medium,273102,60689,228,1382,1883,700,NFHS,National health survey & maternal/child health data collection
F49_REC00053,2018,Jul,Uttar Pradesh,Agra,TB,84,Medium,273102,60689,228,1382,1883,700,NFHS,National health survey & maternal/child health data collection
F49_REC00054,2018,May,West Bengal,Howrah,Malaria,51,Medium,413706,91934,353,1620,1719,1100,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00054,2018,May,West Bengal,Howrah,Dengue,34,Medium,413706,91934,353,1620,1719,1100,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00054,2018,May,West Bengal,Howrah,TB,279,Medium,413706,91934,353,1620,1719,1100,UNICEF India,"Child nutrition, immunization & maternal health programs"
F49_REC00055,2020,Sep,Bihar,Muzaffarpur,Malaria,141,High,251837,55963,321,812,823,1246,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00055,2020,Sep,Bihar,Muzaffarpur,Dengue,116,High,251837,55963,321,812,823,1246,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00055,2020,Sep,Bihar,Muzaffarpur,TB,299,High,251837,55963,321,812,823,1246,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00056,2020,Jan,Karnataka,Hubli,Malaria,86,Medium,184379,40973,128,135,1578,408,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00056,2020,Jan,Karnataka,Hubli,Dengue,228,Medium,184379,40973,128,135,1578,408,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00056,2020,Jan,Karnataka,Hubli,TB,97,Medium,184379,40973,128,135,1578,408,WHO India,"Disease surveillance, immunization programs & policy advisory"
F49_REC00057,2019,Mar,Uttar Pradesh,Lucknow,Malaria,229,High,491787,109286,96,1604,2272,1091,HMIS,Health management information systems & data monitoring
F49_REC00057,2019,Mar,Uttar Pradesh,Lucknow,Dengue,81,High,491787,109286,96,1604,2272,1091,HMIS,Health management information systems & data monitoring
F49_REC00057,2019,Mar,Uttar Pradesh,Lucknow,TB,283,High,491787,109286,96,1604,2272,1091,HMIS,Health management information systems & data monitoring
F49_REC00058,2020,Apr,Tamil Nadu,Madurai,Malaria,235,Low,315488,70108,107,381,1318,1008,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00058,2020,Apr,Tamil Nadu,Madurai,Dengue,267,Low,315488,70108,107,381,1318,1008,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00058,2020,Apr,Tamil Nadu,Madurai,TB,174,Low,315488,70108,107,381,1318,1008,NHM,National Health Mission — primary healthcare & ASHA worker deployment
F49_REC00059,2019,Jan,Tamil Nadu,Madurai,Malaria,205,High,429694,95487,70,724,2329,82,UNICEF India,"Child nutrition, immunization & maternal health programs"
