village_name,problem_type,severity,affected_families,ngo_name,ngo_work,state,district,year,month,population,malaria_cases,dengue_cases,tb_cases
"Howrah, West Bengal",Malaria Cases; Dengue Outbreak; High TB Burden; Low Institutional Deliveries,Low,102,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",West Bengal,Howrah,2024,Mar,163828,9,201,250
"Muzaffarpur, Bihar",Malaria Outbreak; Dengue Cases; High TB Burden,Medium,111,NFHS,National Family Health Survey — demographic and health indicators research,Bihar,Muzaffarpur,2026,Feb,282902,203,100,197
"Madurai, Tamil Nadu",Malaria Cases; Dengue Outbreak; TB Cases; Low ANC Registrations,Low,103,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Tamil Nadu,Madurai,2026,Jul,238618,105,315,46
"Kolkata, West Bengal",Malaria Cases; Dengue Outbreak; TB Cases,Low,82,NFHS,National Family Health Survey — demographic and health indicators research,West Bengal,Kolkata,2024,Sep,471074,33,231,109
"Surat, Gujarat",Malaria Cases; Dengue Cases; High TB Burden; Low Immunization Coverage,Low,106,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Gujarat,Surat,2025,Jul,201624,162,92,226
"Nagpur, Maharashtra",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage,Low,111,HMIS,Government health data collection and reporting (Health Management Information System),Maharashtra,Nagpur,2023,Apr,410903,239,105,159
"Gaya, Bihar",Malaria Cases; Dengue Cases; TB Cases; Low Immunization Coverage,Medium,78,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Bihar,Gaya,2025,Sep,261287,122,161,72
"Muzaffarpur, Bihar",Malaria Cases; Dengue Cases; High TB Burden; Low Immunization Coverage,High,71,NFHS,National Family Health Survey — demographic and health indicators research,Bihar,Muzaffarpur,2024,Jun,307919,26,126,169
"Agra, Uttar Pradesh",Malaria Cases; Dengue Cases; High TB Burden,Low,92,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Uttar Pradesh,Agra,2026,Mar,429492,188,54,176
"Patna, Bihar",Malaria Outbreak; Dengue Cases; High TB Burden,High,165,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Bihar,Patna,2024,Jun,151437,348,198,197
"Ahmedabad, Gujarat",Malaria Outbreak; Dengue Cases; High TB Burden,Medium,167,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Gujarat,Ahmedabad,2022,Sep,423259,465,122,167
"Howrah, West Bengal",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage; Low ANC Registrations,Medium,96,NFHS,National Family Health Survey — demographic and health indicators research,West Bengal,Howrah,2026,May,226897,233,25,174
"Patna, Bihar",Malaria Outbreak; Dengue Outbreak; High TB Burden,High,191,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Bihar,Patna,2025,May,226363,315,307,238
"Pune, Maharashtra",Malaria Outbreak; Dengue Outbreak; TB Cases,Low,155,HMIS,Government health data collection and reporting (Health Management Information System),Maharashtra,Pune,2026,May,96711,225,358,117
"Mumbai, Maharashtra",Malaria Cases; Dengue Cases; High TB Burden; Low Immunization Coverage,Low,91,HMIS,Government health data collection and reporting (Health Management Information System),Maharashtra,Mumbai,2026,Apr,317661,22,190,201
"Hubli, Karnataka",Malaria Outbreak; Dengue Cases; High TB Burden,Medium,168,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Karnataka,Hubli,2026,Mar,108306,370,103,284
"Mumbai, Maharashtra",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage,Medium,156,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Maharashtra,Mumbai,2025,Jul,343321,314,208,182
"Nagpur, Maharashtra",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,High,124,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Maharashtra,Nagpur,2026,Jul,429563,333,78,148
"Patna, Bihar",Malaria Cases; Dengue Outbreak; High TB Burden; Low Institutional Deliveries,Low,114,NFHS,National Family Health Survey — demographic and health indicators research,Bihar,Patna,2022,Jan,103827,6,269,238
"Lucknow, Uttar Pradesh",Malaria Cases; Dengue Cases; High TB Burden; Low Institutional Deliveries,High,64,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Uttar Pradesh,Lucknow,2025,Sep,165899,65,24,201
"Pune, Maharashtra",Malaria Outbreak; Dengue Cases; TB Cases,High,112,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Maharashtra,Pune,2025,Sep,68434,415,13,78
"Gaya, Bihar",Malaria Outbreak; Dengue Outbreak; High TB Burden,High,213,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Bihar,Gaya,2025,Feb,275496,407,302,252
"Chennai, Tamil Nadu",Malaria Cases; Dengue Cases; TB Cases,High,76,NFHS,National Family Health Survey — demographic and health indicators research,Tamil Nadu,Chennai,2024,Aug,80263,81,150,112
"Chennai, Tamil Nadu",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage; Low Institutional Deliveries,High,241,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Tamil Nadu,Chennai,2026,Mar,158741,464,359,263
"Surat, Gujarat",Malaria Cases; Dengue Cases; High TB Burden; Low ANC Registrations,Low,122,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Gujarat,Surat,2024,Aug,381032,62,193,298
"Hubli, Karnataka",Malaria Cases; Dengue Cases; TB Cases; Low Institutional Deliveries,High,49,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Karnataka,Hubli,2023,Mar,137778,117,106,1
"Mysuru, Karnataka",Malaria Outbreak; Dengue Cases; High TB Burden,High,103,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Karnataka,Mysuru,2025,Jul,67165,208,87,170
"Coimbatore, Tamil Nadu",Malaria Outbreak; Dengue Outbreak; High TB Burden,High,196,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Tamil Nadu,Coimbatore,2023,May,276504,476,255,154
"Patna, Bihar",Malaria Outbreak; Dengue Outbreak; High TB Burden,Medium,168,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Bihar,Patna,2025,Feb,150185,232,336,188
"Ahmedabad, Gujarat",Malaria Cases; Dengue Outbreak; TB Cases,Low,108,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Gujarat,Ahmedabad,2022,Aug,165647,61,292,134
"Nagpur, Maharashtra",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage,High,133,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Maharashtra,Nagpur,2022,Jul,309758,320,19,263
"Gaya, Bihar",Malaria Cases; Dengue Outbreak; TB Cases; Low Institutional Deliveries,High,126,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Bihar,Gaya,2022,Feb,327680,184,361,23
"Chennai, Tamil Nadu",Malaria Outbreak; Dengue Outbreak; High TB Burden,High,169,HMIS,Government health data collection and reporting (Health Management Information System),Tamil Nadu,Chennai,2022,Feb,135544,290,309,163
"Kolkata, West Bengal",Malaria Outbreak; Dengue Cases; TB Cases,Medium,98,CARE India,"Maternal & child health, nutrition, water & sanitation programs",West Bengal,Kolkata,2024,Jun,437430,366,68,9
"Hubli, Karnataka",Malaria Cases; Dengue Cases; High TB Burden; Low ANC Registrations,Medium,86,HMIS,Government health data collection and reporting (Health Management Information System),Karnataka,Hubli,2022,Jan,115237,30,200,158
"Varanasi, Uttar Pradesh",Malaria Outbreak; Dengue Cases; High TB Burden; Low Institutional Deliveries,High,156,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Uttar Pradesh,Varanasi,2025,Jul,126709,323,138,241
"Lucknow, Uttar Pradesh",Malaria Outbreak; Dengue Cases; High TB Burden; Low ANC Registrations,Low,149,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Uttar Pradesh,Lucknow,2022,Mar,262279,393,68,213
"Agra, Uttar Pradesh",Malaria Outbreak; Dengue Outbreak; TB Cases,High,122,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Uttar Pradesh,Agra,2025,Jun,436260,295,240,18
"Nagpur, Maharashtra",Malaria Cases; Dengue Outbreak; High TB Burden; Low Immunization Coverage,High,134,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Maharashtra,Nagpur,2023,Mar,144026,153,228,223
"Lucknow, Uttar Pradesh",Malaria Outbreak; Dengue Cases; High TB Burden,Low,147,HMIS,Government health data collection and reporting (Health Management Information System),Uttar Pradesh,Lucknow,2023,May,210323,412,81,169
"Varanasi, Uttar Pradesh",Malaria Cases; Dengue Cases; High TB Burden; Low Immunization Coverage,High,89,HMIS,Government health data collection and reporting (Health Management Information System),Uttar Pradesh,Varanasi,2023,Apr,125592,152,86,165
"Agra, Uttar Pradesh",Malaria Cases; Dengue Outbreak; TB Cases; Low Institutional Deliveries,Low,76,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Uttar Pradesh,Agra,2025,Jul,155026,54,285,7
"Bengaluru, Karnataka",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,Medium,127,NFHS,National Family Health Survey — demographic and health indicators research,Karnataka,Bengaluru,2023,Jan,431280,399,103,70
"Agra, Uttar Pradesh",Malaria Cases; Dengue Outbreak; TB Cases,Medium,85,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Uttar Pradesh,Agra,2024,Mar,292386,160,224,1
"Madurai, Tamil Nadu",Malaria Outbreak; Dengue Cases; High TB Burden,Low,96,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Tamil Nadu,Madurai,2023,Jul,453750,208,44,182
"Mysuru, Karnataka",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage,Medium,127,NFHS,National Family Health Survey — demographic and health indicators research,Karnataka,Mysuru,2026,Sep,397793,299,63,211
"Gaya, Bihar",Malaria Cases; Dengue Cases; TB Cases,Medium,81,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Bihar,Gaya,2024,May,415026,80,175,111
"Howrah, West Bengal",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,Medium,117,CARE India,"Maternal & child health, nutrition, water & sanitation programs",West Bengal,Howrah,2026,Jun,211899,207,170,150
"Ahmedabad, Gujarat",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Immunization Coverage,Low,123,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Gujarat,Ahmedabad,2026,May,340570,255,202,97
"Vadodara, Gujarat",Malaria Cases; Dengue Outbreak; High TB Burden,Low,122,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Gujarat,Vadodara,2022,Sep,476645,6,365,180
"Varanasi, Uttar Pradesh",Malaria Cases; Dengue Outbreak; TB Cases; Low Immunization Coverage,High,110,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Uttar Pradesh,Varanasi,2026,Mar,387385,177,314,5
"Siliguri, West Bengal",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage,Medium,192,HMIS,Government health data collection and reporting (Health Management Information System),West Bengal,Siliguri,2025,Apr,259752,309,328,227
"Howrah, West Bengal",Malaria Outbreak; Dengue Cases; TB Cases,High,132,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",West Bengal,Howrah,2022,Feb,339888,472,20,106
"Howrah, West Bengal",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Immunization Coverage,Low,156,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",West Bengal,Howrah,2024,Jan,233402,488,208,7
"Siliguri, West Bengal",Malaria Outbreak; Dengue Cases; High TB Burden; Low Institutional Deliveries,Low,175,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",West Bengal,Siliguri,2022,Mar,356748,407,159,223
"Surat, Gujarat",Malaria Cases; Dengue Outbreak; High TB Burden,Medium,145,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Gujarat,Surat,2026,May,279799,57,348,248
"Agra, Uttar Pradesh",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage; Low Institutional Deliveries,Low,112,HMIS,Government health data collection and reporting (Health Management Information System),Uttar Pradesh,Agra,2022,May,300099,318,55,133
"Madurai, Tamil Nadu",Malaria Cases; Dengue Cases; TB Cases; Low Institutional Deliveries,High,66,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Tamil Nadu,Madurai,2025,Jun,234875,73,198,30
"Bengaluru, Karnataka",Malaria Outbreak; Dengue Cases; TB Cases,Low,106,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Karnataka,Bengaluru,2024,Aug,167692,274,187,20
"Mysuru, Karnataka",Malaria Cases; Dengue Cases; TB Cases; Low Institutional Deliveries,High,85,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Karnataka,Mysuru,2023,Jun,120297,138,114,131
"Bengaluru, Karnataka",Malaria Cases; Dengue Outbreak; High TB Burden,Medium,124,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Karnataka,Bengaluru,2025,Sep,59160,9,369,182
"Hubli, Karnataka",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage; Low Institutional Deliveries,Medium,106,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Karnataka,Hubli,2026,Jul,427320,341,110,26
"Nagpur, Maharashtra",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage,High,209,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Maharashtra,Nagpur,2026,Mar,447228,473,231,237
"Gaya, Bihar",Malaria Outbreak; Dengue Outbreak; TB Cases; Low Immunization Coverage,Low,146,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Bihar,Gaya,2022,Jul,376793,217,296,148
"Pune, Maharashtra",Malaria Outbreak; Dengue Cases; TB Cases; Low ANC Registrations,High,144,NFHS,National Family Health Survey — demographic and health indicators research,Maharashtra,Pune,2023,May,227657,386,154,111
"Siliguri, West Bengal",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage; Low ANC Registrations,Medium,114,CARE India,"Maternal & child health, nutrition, water & sanitation programs",West Bengal,Siliguri,2024,Feb,304535,277,163,76
"Agra, Uttar Pradesh",Malaria Outbreak; Dengue Cases; High TB Burden; Low Institutional Deliveries,Medium,167,NFHS,National Family Health Survey — demographic and health indicators research,Uttar Pradesh,Agra,2024,Sep,267645,471,15,269
"Bengaluru, Karnataka",Malaria Cases; Dengue Cases; High TB Burden,Medium,80,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Karnataka,Bengaluru,2024,May,275542,9,109,246
"Ahmedabad, Gujarat",Malaria Outbreak; Dengue Outbreak; TB Cases,High,223,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Gujarat,Ahmedabad,2026,Aug,426874,483,382,140
"Muzaffarpur, Bihar",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage,Low,155,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Bihar,Muzaffarpur,2022,Jan,460453,308,170,222
"Muzaffarpur, Bihar",Malaria Cases; Dengue Outbreak; High TB Burden; Low Immunization Coverage,High,117,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Bihar,Muzaffarpur,2026,Feb,399959,8,287,232
"Varanasi, Uttar Pradesh",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage,High,233,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Uttar Pradesh,Varanasi,2022,Jun,346023,398,387,267
"Pune, Maharashtra",Malaria Outbreak; Dengue Cases; TB Cases,Medium,109,Smile Foundation,"Child welfare, healthcare camps, education, and livelihood programs for underprivileged communities",Maharashtra,Pune,2024,Feb,226173,376,92,24
"Varanasi, Uttar Pradesh",Malaria Cases; Dengue Outbreak; High TB Burden; Low ANC Registrations,High,130,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Uttar Pradesh,Varanasi,2023,Jan,228766,176,243,170
"Chennai, Tamil Nadu",Malaria Cases; Dengue Cases; TB Cases,Medium,64,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Tamil Nadu,Chennai,2024,Sep,214404,83,180,29
"Muzaffarpur, Bihar",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,Medium,163,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Bihar,Muzaffarpur,2025,Feb,431809,437,169,131
"Bengaluru, Karnataka",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Institutional Deliveries,High,213,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Karnataka,Bengaluru,2022,Jun,155029,370,388,204
"Patna, Bihar",Malaria Cases; Dengue Cases; High TB Burden; Low Immunization Coverage; Low ANC Registrations,Low,91,NFHS,National Family Health Survey — demographic and health indicators research,Bihar,Patna,2023,Sep,267177,140,106,166
"Bengaluru, Karnataka",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage; Low ANC Registrations,High,174,NFHS,National Family Health Survey — demographic and health indicators research,Karnataka,Bengaluru,2023,Jun,318979,220,300,265
"Madurai, Tamil Nadu",Malaria Cases; Dengue Outbreak; TB Cases,Low,84,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Tamil Nadu,Madurai,2024,Apr,269100,41,220,119
"Kolkata, West Bengal",Malaria Outbreak; Dengue Cases; TB Cases; Low ANC Registrations,Medium,110,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",West Bengal,Kolkata,2024,Sep,119631,261,199,38
"Siliguri, West Bengal",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage,Low,137,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",West Bengal,Siliguri,2026,Jul,452915,238,85,297
"Kolkata, West Bengal",Malaria Cases; Dengue Cases; TB Cases,Medium,66,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",West Bengal,Kolkata,2022,Sep,262484,73,96,131
"Hubli, Karnataka",Malaria Outbreak; Dengue Outbreak; High TB Burden; Low Immunization Coverage; Low ANC Registrations,High,184,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Karnataka,Hubli,2022,Sep,318920,380,272,179
"Lucknow, Uttar Pradesh",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage,Low,108,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Uttar Pradesh,Lucknow,2023,Feb,377368,252,23,212
"Coimbatore, Tamil Nadu",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage,High,163,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Tamil Nadu,Coimbatore,2026,Jul,426304,454,60,221
"Hubli, Karnataka",Malaria Outbreak; Dengue Outbreak; High TB Burden,Medium,216,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",Karnataka,Hubli,2022,Apr,259038,315,365,296
"Muzaffarpur, Bihar",Malaria Outbreak; Dengue Cases; High TB Burden; Low Immunization Coverage; Low ANC Registrations,Low,142,HMIS,Government health data collection and reporting (Health Management Information System),Bihar,Muzaffarpur,2023,Sep,402430,348,40,251
"Kolkata, West Bengal",Malaria Cases; Dengue Cases; TB Cases; Low Immunization Coverage; Low Institutional Deliveries,Medium,53,WHO India,"Disease surveillance, health policy advisory, epidemic preparedness, and public health research",West Bengal,Kolkata,2022,Aug,440648,52,66,122
"Patna, Bihar",Malaria Cases; Dengue Outbreak; High TB Burden,Medium,134,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Bihar,Patna,2022,Jan,314118,161,243,200
"Nagpur, Maharashtra",Malaria Outbreak; Dengue Outbreak; High TB Burden,High,204,NHM,"National Health Mission — rural healthcare delivery, ASHA worker deployment, immunization",Maharashtra,Nagpur,2024,Mar,201402,391,289,242
"Hubli, Karnataka",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,Low,141,UNICEF India,"Child immunization, nutrition, WASH (water, sanitation, hygiene), and health system strengthening",Karnataka,Hubli,2023,Jun,322781,442,148,48
"Mumbai, Maharashtra",Malaria Cases; Dengue Cases; TB Cases,Low,73,CARE India,"Maternal & child health, nutrition, water & sanitation programs",Maharashtra,Mumbai,2025,May,333642,133,148,48
"Chennai, Tamil Nadu",Malaria Outbreak; Dengue Cases; High TB Burden,Low,146,HMIS,Government health data collection and reporting (Health Management Information System),Tamil Nadu,Chennai,2023,Feb,337792,300,160,199
"Patna, Bihar",Malaria Cases; Dengue Outbreak; TB Cases,Low,114,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Bihar,Patna,2024,May,112662,112,267,134
"Nagpur, Maharashtra",Malaria Outbreak; Dengue Cases; TB Cases; Low Immunization Coverage,Low,78,Doctors For You,"Emergency medical relief, free OPD/IPD services, disease outbreak response",Maharashtra,Nagpur,2022,Mar,307055,204,114,36
