Record_ID,Year,Month,State,District,Data_Source,Population,ASHA_Workers,ANC_Registrations,Immunization,Institutional_Deliveries,Malaria_Cases,Dengue_Cases,TB_Cases,Health_Risk_Level,Source_File
FILE1_REC00208,2018,Jul,Tamil Nadu,Madurai,NHM,93912,267,1322,2279,252,345,297,19,Low,File_1
FILE1_REC00209,2020,Jul,Tamil Nadu,Coimbatore,Smile Foundation,129458,147,448,1167,506,5,110,171,High,File_1
FILE1_REC00210,2020,Jul,Karnataka,Bengaluru,WHO India,248559,210,1226,618,1129,34,83,35,Medium,File_1
FILE1_REC00211,2018,Aug,Tamil Nadu,Madurai,UNICEF India,87666,99,204,866,1134,309,59,199,High,File_1
FILE1_REC00212,2020,May,Maharashtra,Nagpur,Smile Foundation,160424,220,1045,1235,812,316,165,20,High,File_1
FILE1_REC00213,2018,Mar,Maharashtra,Pune,UNICEF India,239025,298,305,2464,639,384,21,150,Low,File_1
FILE1_REC00214,2020,Aug,Tamil Nadu,Coimbatore,HMIS,91538,282,692,2182,1106,374,141,42,High,File_1
FILE1_REC00215,2018,Jan,Karnataka,Bengaluru,WHO India,162494,291,693,2197,232,91,26,73,High,File_1
FILE1_REC00216,2020,Jan,Karnataka,Mysuru,CARE India,156610,84,228,404,408,369,33,90,Low,File_1
FILE1_REC00217,2019,Jan,Karnataka,Hubli,UNICEF India,159430,234,1377,443,518,314,39,97,Low,File_1
FILE1_REC00218,2019,Feb,Maharashtra,Nagpur,HMIS,69301,189,271,2110,238,53,212,85,Low,File_1
FILE1_REC00219,2020,Jun,Maharashtra,Nagpur,UNICEF India,271102,217,1472,1013,847,136,26,177,Low,File_1
FILE1_REC00220,2018,May,Tamil Nadu,Chennai,WHO India,133019,194,1440,658,93,61,148,179,High,File_1
FILE1_REC00221,2019,Jul,Gujarat,Vadodara,NHM,286502,86,417,2377,186,73,66,189,High,File_1
FILE1_REC00222,2018,Jul,Tamil Nadu,Madurai,NFHS,227486,76,618,1681,87,252,98,22,Medium,File_1
FILE1_REC00223,2019,Feb,Uttar Pradesh,Varanasi,WHO India,187938,286,1453,514,1156,25,97,7,High,File_1
FILE1_REC00224,2020,May,Uttar Pradesh,Lucknow,NFHS,82938,202,822,877,1125,162,193,131,Medium,File_1
FILE1_REC00225,2018,Jun,Uttar Pradesh,Agra,HMIS,95799,256,1431,612,89,90,92,129,High,File_1
FILE1_REC00226,2020,Aug,Karnataka,Bengaluru,UNICEF India,280630,147,1205,747,377,309,114,99,Medium,File_1
