Record_ID,Year,Month,State,District,Data_Source,Population,ASHA_Workers,ANC_Registrations,Immunization,Malaria_Cases,Dengue_Cases,TB_Cases,Source_File
F1_95,2019,Feb,Bihar,Gaya,HMIS,199278,62,670,322,231,179,62,File_1
F1_96,2019,Jan,Tamil Nadu,Chennai,Smile Foundation,172188,76,1303,1074,275,72,26,File_1
F1_97,2019,Mar,Bihar,Muzaffarpur,NFHS,181745,132,1402,755,192,158,88,File_1
F1_98,2018,Jan,Tamil Nadu,Chennai,UNICEF India,220246,269,1336,331,155,6,57,File_1
F1_99,2018,Feb,West Bengal,Howrah,HMIS,95757,200,474,2262,268,185,40,File_1
F1_100,2017,Jan,Gujarat,Ahmedabad,WHO India,207354,44,672,536,45,182,98,File_1
F1_101,2018,Mar,Uttar Pradesh,Agra,HMIS,206709,242,645,2237,138,144,70,File_1
F1_102,2018,Mar,Bihar,Gaya,UNICEF India,231689,87,961,927,3,67,145,File_1
F1_103,2017,Jan,Tamil Nadu,Coimbatore,WHO India,77969,294,1485,2041,224,15,57,File_1
F1_104,2017,Feb,Bihar,Gaya,HMIS,207487,120,667,1493,92,104,30,File_1
F1_105,2019,May,Maharashtra,Mumbai,WHO India,62889,132,217,1825,111,72,31,File_1
F1_106,2017,Jan,Tamil Nadu,Chennai,NHM,176188,38,480,1398,247,177,2,File_1
F1_107,2017,Jan,Maharashtra,Pune,Smile Foundation,127906,284,1384,592,70,2,81,File_1
F1_108,2018,Mar,Uttar Pradesh,Agra,CARE India,147305,34,813,2252,180,33,68,File_1
F1_109,2018,Jan,West Bengal,Siliguri,Smile Foundation,77462,238,544,2171,255,78,55,File_1
F1_110,2019,Feb,Uttar Pradesh,Varanasi,HMIS,267486,190,141,1537,19,110,135,File_1
F1_111,2017,Jan,Uttar Pradesh,Lucknow,NHM,191247,169,354,1573,299,165,71,File_1
F1_112,2018,May,Karnataka,Bengaluru,WHO India,252253,90,234,964,244,69,112,File_1
F1_113,2019,Mar,Bihar,Muzaffarpur,CARE India,131935,42,1500,1600,204,171,44,File_1
F1_114,2017,May,Uttar Pradesh,Lucknow,WHO India,176547,88,1106,575,170,23,118,File_1
F1_115,2018,Jan,Gujarat,Vadodara,NHM,177422,174,932,584,271,106,14,File_1
F1_116,2018,Jan,Tamil Nadu,Madurai,NHM,216263,35,237,1182,273,145,78,File_1
F1_117,2017,Mar,Maharashtra,Nagpur,HMIS,69235,181,1304,1139,263,127,90,File_1
F1_118,2017,Feb,West Bengal,Kolkata,HMIS,171307,61,1294,1419,217,22,144,File_1
F1_119,2019,Apr,Gujarat,Vadodara,HMIS,151307,70,1288,2121,154,188,137,File_1
F1_120,2019,Feb,Gujarat,Surat,UNICEF India,63561,140,1180,1670,239,115,112,File_1
F1_121,2018,Mar,West Bengal,Siliguri,CARE India,111641,63,339,508,5,136,95,File_1
F1_122,2017,Apr,Karnataka,Hubli,NHM,164992,113,1499,2414,48,199,15,File_1
F1_123,2017,Jan,West Bengal,Kolkata,NFHS,90941,194,753,1992,255,90,129,File_1
F1_124,2019,Apr,Karnataka,Hubli,CARE India,124846,57,1161,390,51,185,37,File_1
F1_125,2019,May,Maharashtra,Mumbai,CARE India,119614,134,671,1435,146,63,136,File_1
F1_126,2019,Apr,Bihar,Gaya,WHO India,117281,261,1289,945,98,183,141,File_1
F1_127,2017,Apr,Bihar,Gaya,UNICEF India,130325,246,110,1593,259,174,60,File_1
F1_128,2017,Mar,Uttar Pradesh,Agra,NHM,253047,229,994,1912,48,187,32,File_1
F1_129,2017,May,West Bengal,Kolkata,UNICEF India,238958,135,161,2056,75,20,90,File_1
F1_130,2018,Mar,Bihar,Muzaffarpur,UNICEF India,106504,31,847,895,126,28,53,File_1
F1_131,2018,Feb,Bihar,Gaya,Smile Foundation,56355,189,1423,1383,159,6,64,File_1
F1_132,2019,Mar,Bihar,Gaya,HMIS,112721,218,745,1835,139,191,110,File_1
F1_133,2018,Jan,Maharashtra,Mumbai,Smile Foundation,98392,184,653,903,73,118,49,File_1
F1_134,2017,May,Gujarat,Ahmedabad,CARE India,281391,97,1497,2401,160,6,49,File_1
F1_135,2017,Mar,Gujarat,Surat,NHM,177903,35,317,1026,123,151,32,File_1
F1_136,2019,May,West Bengal,Siliguri,WHO India,189164,114,332,430,105,64,140,File_1
F1_137,2017,Mar,Uttar Pradesh,Lucknow,Smile Foundation,261296,297,990,1663,24,124,112,File_1
F1_138,2018,May,Gujarat,Surat,CARE India,123668,176,623,392,105,131,96,File_1
F1_139,2017,May,Bihar,Patna,NFHS,200962,65,1052,1543,258,28,121,File_1
F1_140,2019,May,Bihar,Muzaffarpur,CARE India,57432,292,1397,1369,101,27,96,File_1
F1_141,2017,May,Tamil Nadu,Coimbatore,WHO India,241427,91,1278,393,133,24,30,File_1
F1_142,2017,Mar,Maharashtra,Nagpur,CARE India,167640,66,393,1521,54,166,76,File_1
F1_143,2019,May,Tamil Nadu,Coimbatore,NFHS,122096,66,801,1484,46,81,131,File_1
F1_144,2017,Feb,West Bengal,Siliguri,Smile Foundation,171775,97,1279,1483,133,106,40,File_1
F1_145,2019,May,Maharashtra,Mumbai,WHO India,94138,134,1198,955,132,106,143,File_1
F1_146,2019,Mar,Karnataka,Mysuru,NFHS,246658,158,346,2244,160,112,41,File_1
F1_147,2019,Feb,Tamil Nadu,Coimbatore,NFHS,137529,65,312,955,192,105,86,File_1
F1_148,2017,Feb,Karnataka,Mysuru,NHM,53337,143,1343,1481,58,69,15,File_1
F1_149,2019,Feb,Karnataka,Bengaluru,CARE India,157269,232,854,1279,98,193,129,File_1
F2_0,2023,Jan,Gujarat,Vadodara,CARE India,281717,183,346,205,7,148,31,File_2
F2_1,2022,May,Tamil Nadu,Chennai,HMIS,202735,208,1357,1855,191,76,79,File_2
F2_2,2023,Apr,Gujarat,Ahmedabad,HMIS,96484,193,191,773,88,25,71,File_2
F2_3,2024,Jan,West Bengal,Kolkata,UNICEF India,50963,109,633,927,12,33,90,File_2
F2_4,2022,Jan,Tamil Nadu,Coimbatore,UNICEF India,234954,60,695,592,224,193,14,File_2
F2_5,2022,Feb,West Bengal,Howrah,Smile Foundation,99540,76,1409,1603,27,77,90,File_2
F2_6,2022,Feb,Maharashtra,Pune,NHM,133575,64,1079,2210,97,148,140,File_2
F2_7,2022,May,West Bengal,Howrah,UNICEF India,87471,202,668,446,124,114,144,File_2
F2_8,2022,May,Karnataka,Bengaluru,HMIS,197470,181,405,1926,167,99,123,File_2
F2_9,2022,May,Gujarat,Surat,WHO India,73609,190,144,358,182,68,124,File_2
F2_10,2023,May,Tamil Nadu,Madurai,WHO India,167723,105,1200,486,268,34,28,File_2
F2_11,2023,Apr,Uttar Pradesh,Lucknow,HMIS,215462,165,291,724,70,56,30,File_2
F2_12,2023,Jan,Karnataka,Mysuru,NHM,112723,51,1097,1719,139,99,55,File_2
F2_13,2024,Mar,Uttar Pradesh,Varanasi,WHO India,95769,292,627,1228,60,105,16,File_2
F2_14,2023,May,Karnataka,Bengaluru,WHO India,259877,32,434,1144,43,179,76,File_2
F2_15,2023,Jan,Bihar,Gaya,WHO India,119502,253,225,931,88,90,95,File_2
F2_16,2024,May,West Bengal,Siliguri,UNICEF India,202760,193,1330,1425,152,115,146,File_2
F2_17,2024,Apr,Maharashtra,Nagpur,CARE India,65346,217,781,2222,296,57,136,File_2
F2_18,2023,Mar,Bihar,Muzaffarpur,NHM,176860,251,1214,1677,114,172,76,File_2
F2_19,2024,Mar,Tamil Nadu,Chennai,NFHS,116193,52,999,567,140,10,141,File_2
F2_20,2022,Mar,Maharashtra,Mumbai,UNICEF India,132212,120,715,1042,74,25,79,File_2
F2_21,2022,Jan,Maharashtra,Mumbai,CARE India,115438,212,1155,1360,239,32,44,File_2
F2_22,2024,Mar,Bihar,Gaya,CARE India,270693,140,657,1151,97,39,0,File_2
F2_23,2024,Apr,Maharashtra,Pune,UNICEF India,207929,115,577,1977,290,166,79,File_2
F2_24,2023,Mar,Uttar Pradesh,Agra,HMIS,61854,79,1349,1839,112,1,52,File_2
F2_25,2023,Apr,West Bengal,Kolkata,Smile Foundation,142050,66,581,2477,207,193,73,File_2
F2_26,2024,May,Tamil Nadu,Chennai,HMIS,201631,129,118,488,286,81,47,File_2
F2_27,2023,Apr,Uttar Pradesh,Lucknow,HMIS,251858,233,1230,1522,181,184,81,File_2
F2_28,2022,Feb,West Bengal,Kolkata,WHO India,176283,36,589,1685,73,75,118,File_2
F2_29,2023,Feb,Tamil Nadu,Coimbatore,Smile Foundation,149998,154,800,1074,154,189,50,File_2
F2_30,2024,Apr,Gujarat,Vadodara,WHO India,77229,63,391,319,11,8,25,File_2
F2_31,2022,Jan,West Bengal,Siliguri,WHO India,213745,237,702,1423,118,52,6,File_2
F2_32,2023,Feb,Maharashtra,Pune,CARE India,249256,268,1474,665,159,130,96,File_2
F2_33,2023,Mar,Bihar,Gaya,Smile Foundation,141593,175,552,860,205,72,4,File_2
F2_34,2022,Mar,Maharashtra,Pune,Smile Foundation,234878,129,1080,2163,297,48,128,File_2
F2_35,2023,Feb,Karnataka,Hubli,Smile Foundation,231170,84,729,976,286,30,121,File_2
F2_36,2024,Feb,Bihar,Muzaffarpur,HMIS,93830,74,874,1998,132,170,129,File_2
F2_37,2022,May,Maharashtra,Mumbai,HMIS,216922,267,812,2181,225,155,81,File_2
F2_38,2024,Feb,West Bengal,Kolkata,NFHS,119315,206,1243,545,59,185,127,File_2
F2_39,2024,Mar,Tamil Nadu,Coimbatore,WHO India,150345,138,684,477,146,131,17,File_2
F2_40,2023,Apr,Karnataka,Mysuru,NFHS,205404,264,169,412,173,69,82,File_2
F2_41,2024,May,Tamil Nadu,Coimbatore,UNICEF India,139941,251,1126,777,235,18,48,File_2
F2_42,2024,Feb,Tamil Nadu,Coimbatore,Smile Foundation,242508,165,964,808,205,90,119,File_2
F2_43,2024,Apr,Gujarat,Ahmedabad,UNICEF India,162815,140,587,686,183,34,36,File_2
F2_44,2022,Feb,Maharashtra,Nagpur,HMIS,175377,134,659,316,180,188,112,File_2
F2_45,2022,Jan,Karnataka,Hubli,NHM,231008,32,922,930,271,76,59,File_2
F2_46,2022,Mar,Maharashtra,Pune,NHM,269298,166,801,1359,73,102,84,File_2
F2_47,2022,May,West Bengal,Howrah,Smile Foundation,168513,122,1008,387,219,77,147,File_2
F2_48,2024,Jan,Gujarat,Ahmedabad,CARE India,259692,283,721,282,188,62,47,File_2
F2_49,2023,Mar,Gujarat,Vadodara,Smile Foundation,179993,122,421,759,189,125,18,File_2
F2_50,2022,May,Maharashtra,Mumbai,WHO India,150577,157,1082,2273,191,135,76,File_2
F2_51,2023,Feb,Karnataka,Bengaluru,CARE India,163053,298,1323,1122,84,194,88,File_2
F2_52,2022,Apr,West Bengal,Siliguri,NHM,283032,189,1480,2219,210,146,138,File_2
F2_53,2024,Mar,Tamil Nadu,Madurai,NHM,72305,157,1116,2395,27,131,120,File_2
F2_54,2022,Feb,Tamil Nadu,Chennai,CARE India,267458,47,510,750,136,65,46,File_2
F2_55,2022,Apr,Uttar Pradesh,Lucknow,WHO India,113970,88,521,1693,27,104,10,File_2
F2_56,2022,May,Karnataka,Mysuru,CARE India,94555,214,232,1065,237,181,67,File_2
F2_57,2023,Jan,Tamil Nadu,Madurai,UNICEF India,165960,124,1285,2470,140,111,22,File_2
F2_58,2024,Apr,Maharashtra,Mumbai,WHO India,81395,52,732,1128,120,119,124,File_2
F2_59,2022,May,Uttar Pradesh,Lucknow,NFHS,176096,256,708,347,48,163,20,File_2
F2_60,2024,May,Bihar,Patna,UNICEF India,272555,244,1133,1110,164,59,10,File_2
F2_61,2023,May,Uttar Pradesh,Agra,HMIS,163436,200,285,2092,198,28,36,File_2
F2_62,2022,May,Bihar,Muzaffarpur,Smile Foundation,116499,166,481,338,169,3,20,File_2
F2_63,2023,Apr,Tamil Nadu,Chennai,HMIS,273016,69,889,1103,130,17,107,File_2
F2_64,2024,Mar,West Bengal,Howrah,Smile Foundation,131880,39,1058,795,174,50,18,File_2
F2_65,2022,Apr,West Bengal,Howrah,NHM,226585,244,922,1167,61,12,113,File_2
F2_66,2024,Mar,Uttar Pradesh,Varanasi,NHM,95911,157,1352,1586,149,46,1,File_2
F2_67,2022,May,Tamil Nadu,Coimbatore,CARE India,82375,187,1361,1929,86,66,138,File_2
F2_68,2023,Mar,Maharashtra,Nagpur,NFHS,198482,183,801,995,40,54,92,File_2
F2_69,2023,Feb,Gujarat,Ahmedabad,NFHS,246265,236,405,453,284,200,55,File_2
F2_70,2022,Apr,West Bengal,Siliguri,NFHS,191135,213,1080,2438,106,9,10,File_2
F2_71,2023,Mar,Karnataka,Hubli,UNICEF India,265752,72,613,1787,133,184,18,File_2
F2_72,2022,Jan,Uttar Pradesh,Lucknow,NFHS,135457,103,1221,838,165,92,89,File_2
F2_73,2023,May,Gujarat,Vadodara,WHO India,207208,32,401,2301,137,54,137,File_2
F2_74,2024,Mar,Gujarat,Surat,UNICEF India,98843,290,582,2457,114,112,116,File_2
F2_75,2024,May,Bihar,Patna,NFHS,233999,257,1042,1662,220,159,131,File_2
F2_76,2023,Jan,West Bengal,Howrah,WHO India,123147,86,1413,301,245,168,42,File_2
F2_77,2023,Apr,Bihar,Patna,CARE India,219627,154,1251,1108,190,67,83,File_2
F2_78,2023,Feb,Maharashtra,Nagpur,CARE India,250946,96,756,224,146,24,36,File_2
F2_79,2022,Feb,Karnataka,Mysuru,UNICEF India,212201,46,1056,1239,60,48,124,File_2
F2_80,2024,Jan,West Bengal,Siliguri,NFHS,204645,166,1413,2025,183,114,102,File_2
F2_81,2022,Apr,Gujarat,Vadodara,NFHS,75685,259,748,522,32,94,11,File_2
F2_82,2022,Apr,West Bengal,Siliguri,WHO India,119215,151,205,400,156,77,128,File_2
F2_83,2022,Feb,West Bengal,Siliguri,Smile Foundation,295166,122,1228,2050,168,135,104,File_2
F2_84,2023,Apr,Tamil Nadu,Coimbatore,WHO India,292619,181,1424,1934,215,149,68,File_2
F2_85,2024,Apr,Gujarat,Vadodara,WHO India,98922,219,206,1674,250,96,74,File_2
F2_86,2024,Feb,Karnataka,Bengaluru,UNICEF India,198708,215,1012,761,38,175,131,File_2
F2_87,2023,Feb,Tamil Nadu,Chennai,NFHS,185001,161,1331,410,14,184,136,File_2
F2_88,2022,Apr,Tamil Nadu,Coimbatore,NHM,281596,270,210,1845,298,2,101,File_2
F2_89,2022,Jan,Bihar,Gaya,Smile Foundation,191599,244,914,593,179,116,3,File_2
F2_90,2023,May,Bihar,Gaya,Smile Foundation,204439,228,1424,1935,83,20,108,File_2
F2_91,2024,May,Maharashtra,Mumbai,UNICEF India,114616,209,1332,324,101,147,106,File_2
F2_92,2022,Jan,West Bengal,Kolkata,Smile Foundation,102714,45,226,810,99,57,59,File_2
F2_93,2024,Feb,Karnataka,Hubli,WHO India,295381,83,448,2071,268,50,78,File_2
F2_94,2022,Apr,Bihar,Muzaffarpur,WHO India,83772,187,277,462,252,181,96,File_2
F2_95,2024,Apr,Uttar Pradesh,Agra,Smile Foundation,147117,146,1091,2118,220,181,2,File_2
F2_96,2024,Feb,Maharashtra,Pune,CARE India,248848,265,1073,616,251,47,70,File_2
F2_97,2022,Mar,West Bengal,Kolkata,CARE India,188920,119,301,1875,76,27,85,File_2
F2_98,2022,Apr,Tamil Nadu,Chennai,NFHS,84959,97,1440,333,83,24,94,File_2
F2_99,2022,Apr,Bihar,Muzaffarpur,CARE India,144469,88,410,2063,15,179,8,File_2
F2_100,2023,Mar,Bihar,Patna,UNICEF India,274452,118,291,381,205,26,93,File_2
F2_101,2024,Mar,Bihar,Muzaffarpur,NHM,289525,185,1199,1502,198,32,117,File_2
F2_102,2023,Apr,West Bengal,Kolkata,CARE India,290739,243,1310,2358,11,158,111,File_2
F2_103,2022,Jan,Uttar Pradesh,Varanasi,HMIS,252735,298,1103,2041,108,32,94,File_2
F2_104,2022,Feb,West Bengal,Howrah,HMIS,198633,240,710,1880,263,190,137,File_2
F2_105,2023,Mar,Uttar Pradesh,Varanasi,HMIS,244768,248,826,1346,26,138,132,File_2
F2_106,2024,Feb,Bihar,Patna,Smile Foundation,231883,167,1221,332,295,105,77,File_2
F2_107,2023,Feb,Bihar,Patna,HMIS,235217,157,465,912,212,105,70,File_2
F2_108,2022,Jan,Gujarat,Vadodara,Smile Foundation,78785,147,1361,1676,246,109,125,File_2
F2_109,2024,Mar,Karnataka,Bengaluru,Smile Foundation,251850,61,1172,770,72,33,110,File_2
F2_110,2023,Mar,Uttar Pradesh,Varanasi,CARE India,233809,92,1479,1474,56,146,127,File_2
F2_111,2022,Apr,Bihar,Patna,HMIS,158713,77,575,2490,100,5,32,File_2
F2_112,2023,Jan,Maharashtra,Nagpur,NFHS,63797,185,399,2289,83,69,113,File_2
F2_113,2022,Jan,Karnataka,Bengaluru,NFHS,298918,128,1000,1909,158,192,71,File_2
F2_114,2024,May,Gujarat,Surat,Smile Foundation,198197,115,487,1871,103,184,133,File_2
F2_115,2024,Mar,Tamil Nadu,Chennai,HMIS,57262,213,523,1814,170,130,63,File_2
F2_116,2023,Mar,Bihar,Gaya,NFHS,77552,233,272,1552,119,134,10,File_2
F2_117,2022,Apr,Tamil Nadu,Coimbatore,NHM,137486,249,686,2063,265,130,13,File_2
F2_118,2022,Apr,Maharashtra,Mumbai,HMIS,205806,296,806,265,182,166,76,File_2
F2_119,2022,May,Bihar,Patna,NHM,242949,81,1117,1012,154,116,30,File_2
F2_120,2023,Jan,Gujarat,Vadodara,NFHS,76215,289,490,2322,131,48,147,File_2
F2_121,2023,Jan,Gujarat,Surat,NHM,119600,118,1089,1359,240,129,47,File_2
F2_122,2022,Jan,Karnataka,Hubli,Smile Foundation,110023,231,372,880,12,132,10,File_2
F2_123,2022,Feb,West Bengal,Howrah,UNICEF India,197577,293,1205,1624,149,78,37,File_2
F2_124,2022,Feb,Bihar,Muzaffarpur,Smile Foundation,154555,273,581,1461,179,155,54,File_2
F2_125,2023,Feb,Karnataka,Hubli,NHM,277778,286,340,519,43,147,101,File_2
F2_126,2024,Mar,Tamil Nadu,Coimbatore,UNICEF India,237247,217,281,309,239,51,125,File_2
