village_name,state,district,year,problem_type,severity,affected_families,ngo_name,ngo_work
Surat,Gujarat,Surat,2020,Malaria Outbreak; Tuberculosis; Low Immunization Coverage; Low Institutional Deliveries,Low,42787,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Surat,Gujarat,Surat,2020,Malaria Outbreak; Tuberculosis; Low Immunization Coverage; Low Institutional Deliveries,Low,42787,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Mumbai,Maharashtra,Mumbai,2020,Malaria Outbreak; Tuberculosis; Low Immunization Coverage,Low,37758,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Mumbai,Maharashtra,Mumbai,2020,Malaria Outbreak; Tuberculosis; Low Immunization Coverage,Low,37758,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Mumbai,Maharashtra,Mumbai,2020,Malaria Outbreak; Tuberculosis; Low Immunization Coverage,Low,37758,CybageAsha,CybageAsha is a charitable registered trust founded under the Bombay Public Trust Act 1950 in October 2003 The primary aims of the foundation are rural development alcohol deaddiction social welfare a
Chennai,Tamil Nadu,Chennai,2021,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Immunization Coverage,High,72650,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Chennai,Tamil Nadu,Chennai,2021,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Immunization Coverage,High,72650,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Chennai,Tamil Nadu,Chennai,2021,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Immunization Coverage,High,72650,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Coimbatore,Tamil Nadu,Coimbatore,2020,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Immunization Coverage,Low,25348,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Coimbatore,Tamil Nadu,Coimbatore,2020,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Immunization Coverage,Low,25348,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Coimbatore,Tamil Nadu,Coimbatore,2020,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Immunization Coverage,Low,25348,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Lucknow,Uttar Pradesh,Lucknow,2021,Dengue Outbreak; Tuberculosis,Medium,47389,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Lucknow,Uttar Pradesh,Lucknow,2021,Dengue Outbreak; Tuberculosis,Medium,47389,Apnalaya,Apnalaya Our Space in English is a non profit organization founded in 1973 by Tom Holland who was then the Australian Consul General in Bombay At that time it was called Holland Welfare Centre which w
Lucknow,Uttar Pradesh,Lucknow,2021,Dengue Outbreak; Tuberculosis,Medium,47389,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Madurai,Tamil Nadu,Madurai,2021,Malaria Outbreak; Low Immunization Coverage; Low Institutional Deliveries,Low,66389,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Madurai,Tamil Nadu,Madurai,2021,Malaria Outbreak; Low Immunization Coverage; Low Institutional Deliveries,Low,66389,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Madurai,Tamil Nadu,Madurai,2021,Malaria Outbreak; Low Immunization Coverage; Low Institutional Deliveries,Low,66389,Friends of Tribals Society,The Friends of Tribals Society FTS or Vanbandhu Parishad is a volunteer organization formed in 1989 with the goal of improving literacy and health among the Adivasi rural tribal people in India The so
Mumbai,Maharashtra,Mumbai,2020,Malaria Outbreak; Tuberculosis; Low Immunization Coverage; Low Institutional Deliveries,High,31201,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Mumbai,Maharashtra,Mumbai,2020,Malaria Outbreak; Tuberculosis; Low Immunization Coverage; Low Institutional Deliveries,High,31201,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Mumbai,Maharashtra,Mumbai,2020,Malaria Outbreak; Tuberculosis; Low Immunization Coverage; Low Institutional Deliveries,High,31201,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Nagpur,Maharashtra,Nagpur,2019,Malaria Outbreak; Dengue Outbreak; Low Immunization Coverage; Low Institutional Deliveries,High,53204,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Nagpur,Maharashtra,Nagpur,2019,Malaria Outbreak; Dengue Outbreak; Low Immunization Coverage; Low Institutional Deliveries,High,53204,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Nagpur,Maharashtra,Nagpur,2019,Malaria Outbreak; Dengue Outbreak; Low Immunization Coverage; Low Institutional Deliveries,High,53204,Friends of Tribals Society,The Friends of Tribals Society FTS or Vanbandhu Parishad is a volunteer organization formed in 1989 with the goal of improving literacy and health among the Adivasi rural tribal people in India The so
Ahmedabad,Gujarat,Ahmedabad,2021,Malaria Outbreak; Tuberculosis; Low Institutional Deliveries,High,35342,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Ahmedabad,Gujarat,Ahmedabad,2021,Malaria Outbreak; Tuberculosis; Low Institutional Deliveries,High,35342,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Ahmedabad,Gujarat,Ahmedabad,2021,Malaria Outbreak; Tuberculosis; Low Institutional Deliveries,High,35342,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Coimbatore,Tamil Nadu,Coimbatore,2020,Malaria Outbreak; Tuberculosis; Low Institutional Deliveries,Medium,22510,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Coimbatore,Tamil Nadu,Coimbatore,2020,Malaria Outbreak; Tuberculosis; Low Institutional Deliveries,Medium,22510,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Coimbatore,Tamil Nadu,Coimbatore,2020,Malaria Outbreak; Tuberculosis; Low Institutional Deliveries,Medium,22510,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Lucknow,Uttar Pradesh,Lucknow,2019,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Institutional Deliveries,High,53248,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Lucknow,Uttar Pradesh,Lucknow,2019,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Institutional Deliveries,High,53248,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Lucknow,Uttar Pradesh,Lucknow,2019,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Institutional Deliveries,High,53248,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Chennai,Tamil Nadu,Chennai,2021,Dengue Outbreak; Tuberculosis; Low Immunization Coverage; Low Institutional Deliveries,High,72568,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Chennai,Tamil Nadu,Chennai,2021,Dengue Outbreak; Tuberculosis; Low Immunization Coverage; Low Institutional Deliveries,High,72568,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Chennai,Tamil Nadu,Chennai,2021,Dengue Outbreak; Tuberculosis; Low Immunization Coverage; Low Institutional Deliveries,High,72568,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Mumbai,Maharashtra,Mumbai,2020,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Immunization Coverage,Medium,47939,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Mumbai,Maharashtra,Mumbai,2020,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Immunization Coverage,Medium,47939,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Mumbai,Maharashtra,Mumbai,2020,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Immunization Coverage,Medium,47939,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Mysuru,Karnataka,Mysuru,2020,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Institutional Deliveries,High,22265,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Mysuru,Karnataka,Mysuru,2020,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Institutional Deliveries,High,22265,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Mysuru,Karnataka,Mysuru,2020,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Institutional Deliveries,High,22265,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Madurai,Tamil Nadu,Madurai,2019,Malaria Outbreak; Dengue Outbreak; Low Immunization Coverage,Low,69104,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Madurai,Tamil Nadu,Madurai,2019,Malaria Outbreak; Dengue Outbreak; Low Immunization Coverage,Low,69104,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Madurai,Tamil Nadu,Madurai,2019,Malaria Outbreak; Dengue Outbreak; Low Immunization Coverage,Low,69104,Friends of Tribals Society,The Friends of Tribals Society FTS or Vanbandhu Parishad is a volunteer organization formed in 1989 with the goal of improving literacy and health among the Adivasi rural tribal people in India The so
Coimbatore,Tamil Nadu,Coimbatore,2020,Malaria Outbreak; Low Institutional Deliveries,Medium,29597,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Coimbatore,Tamil Nadu,Coimbatore,2020,Malaria Outbreak; Low Institutional Deliveries,Medium,29597,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Coimbatore,Tamil Nadu,Coimbatore,2020,Malaria Outbreak; Low Institutional Deliveries,Medium,29597,Friends of Tribals Society,The Friends of Tribals Society FTS or Vanbandhu Parishad is a volunteer organization formed in 1989 with the goal of improving literacy and health among the Adivasi rural tribal people in India The so
Ahmedabad,Gujarat,Ahmedabad,2020,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Immunization Coverage; Low Institutional Deliveries,Medium,48416,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Ahmedabad,Gujarat,Ahmedabad,2020,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Immunization Coverage; Low Institutional Deliveries,Medium,48416,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Ahmedabad,Gujarat,Ahmedabad,2020,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Immunization Coverage; Low Institutional Deliveries,Medium,48416,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Bengaluru,Karnataka,Bengaluru,2021,Malaria Outbreak; Low Immunization Coverage,Medium,42388,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Bengaluru,Karnataka,Bengaluru,2021,Malaria Outbreak; Low Immunization Coverage,Medium,42388,Friends of Tribals Society,The Friends of Tribals Society FTS or Vanbandhu Parishad is a volunteer organization formed in 1989 with the goal of improving literacy and health among the Adivasi rural tribal people in India The so
Bengaluru,Karnataka,Bengaluru,2021,Malaria Outbreak; Low Immunization Coverage,Medium,42388,Helpingminds,Helping Minds is a group of about 200 volunteers rendering academic and financial aid to rural poor students in Tamil Nadu helping scores to pursue engineering medical and polytechnic courses Every mo
Pune,Maharashtra,Pune,2021,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Immunization Coverage,Low,23128,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Pune,Maharashtra,Pune,2021,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Immunization Coverage,Low,23128,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Pune,Maharashtra,Pune,2021,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Immunization Coverage,Low,23128,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Bengaluru,Karnataka,Bengaluru,2019,Malaria Outbreak; Tuberculosis; Low Immunization Coverage; Low Institutional Deliveries,High,51671,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Bengaluru,Karnataka,Bengaluru,2019,Malaria Outbreak; Tuberculosis; Low Immunization Coverage; Low Institutional Deliveries,High,51671,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Bengaluru,Karnataka,Bengaluru,2019,Malaria Outbreak; Tuberculosis; Low Immunization Coverage; Low Institutional Deliveries,High,51671,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Coimbatore,Tamil Nadu,Coimbatore,2020,Dengue Outbreak; Tuberculosis,Medium,13704,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Coimbatore,Tamil Nadu,Coimbatore,2020,Dengue Outbreak; Tuberculosis,Medium,13704,Apnalaya,Apnalaya Our Space in English is a non profit organization founded in 1973 by Tom Holland who was then the Australian Consul General in Bombay At that time it was called Holland Welfare Centre which w
Coimbatore,Tamil Nadu,Coimbatore,2020,Dengue Outbreak; Tuberculosis,Medium,13704,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Vadodara,Gujarat,Vadodara,2021,Malaria Outbreak; Low Immunization Coverage,Medium,31181,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Vadodara,Gujarat,Vadodara,2021,Malaria Outbreak; Low Immunization Coverage,Medium,31181,Friends of Tribals Society,The Friends of Tribals Society FTS or Vanbandhu Parishad is a volunteer organization formed in 1989 with the goal of improving literacy and health among the Adivasi rural tribal people in India The so
Vadodara,Gujarat,Vadodara,2021,Malaria Outbreak; Low Immunization Coverage,Medium,31181,Helpingminds,Helping Minds is a group of about 200 volunteers rendering academic and financial aid to rural poor students in Tamil Nadu helping scores to pursue engineering medical and polytechnic courses Every mo
Mumbai,Maharashtra,Mumbai,2019,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Institutional Deliveries,Low,13137,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Mumbai,Maharashtra,Mumbai,2019,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Institutional Deliveries,Low,13137,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Mumbai,Maharashtra,Mumbai,2019,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Institutional Deliveries,Low,13137,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Pune,Maharashtra,Pune,2020,Tuberculosis; Low Institutional Deliveries,Low,19551,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Pune,Maharashtra,Pune,2020,Tuberculosis; Low Institutional Deliveries,Low,19551,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Pune,Maharashtra,Pune,2020,Tuberculosis; Low Institutional Deliveries,Low,19551,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Lucknow,Uttar Pradesh,Lucknow,2020,Malaria Outbreak; Dengue Outbreak,Low,18801,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Lucknow,Uttar Pradesh,Lucknow,2020,Malaria Outbreak; Dengue Outbreak,Low,18801,Friends of Tribals Society,The Friends of Tribals Society FTS or Vanbandhu Parishad is a volunteer organization formed in 1989 with the goal of improving literacy and health among the Adivasi rural tribal people in India The so
Lucknow,Uttar Pradesh,Lucknow,2020,Malaria Outbreak; Dengue Outbreak,Low,18801,Helpingminds,Helping Minds is a group of about 200 volunteers rendering academic and financial aid to rural poor students in Tamil Nadu helping scores to pursue engineering medical and polytechnic courses Every mo
Bengaluru,Karnataka,Bengaluru,2019,Malaria Outbreak; Dengue Outbreak; Tuberculosis,Low,22677,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Bengaluru,Karnataka,Bengaluru,2019,Malaria Outbreak; Dengue Outbreak; Tuberculosis,Low,22677,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Bengaluru,Karnataka,Bengaluru,2019,Malaria Outbreak; Dengue Outbreak; Tuberculosis,Low,22677,CybageAsha,CybageAsha is a charitable registered trust founded under the Bombay Public Trust Act 1950 in October 2003 The primary aims of the foundation are rural development alcohol deaddiction social welfare a
Mysuru,Karnataka,Mysuru,2019,Malaria Outbreak; Tuberculosis; Low Institutional Deliveries,High,53516,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Mysuru,Karnataka,Mysuru,2019,Malaria Outbreak; Tuberculosis; Low Institutional Deliveries,High,53516,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Mysuru,Karnataka,Mysuru,2019,Malaria Outbreak; Tuberculosis; Low Institutional Deliveries,High,53516,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Coimbatore,Tamil Nadu,Coimbatore,2020,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Immunization Coverage,High,59437,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Coimbatore,Tamil Nadu,Coimbatore,2020,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Immunization Coverage,High,59437,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Coimbatore,Tamil Nadu,Coimbatore,2020,Malaria Outbreak; Dengue Outbreak; Tuberculosis; Low Immunization Coverage,High,59437,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
Ahmedabad,Gujarat,Ahmedabad,2020,Malaria Outbreak; Tuberculosis; Low Immunization Coverage; Low Institutional Deliveries,Medium,39302,SEWA Rural,The Society for Education Welfare and Action Rural SEWA Rural is a volunteer development oriented institution founded in 1980 to improve the health of people in the rural and tribal areas of Jhagadia
Ahmedabad,Gujarat,Ahmedabad,2020,Malaria Outbreak; Tuberculosis; Low Immunization Coverage; Low Institutional Deliveries,Medium,39302,Balala Hakkula Sangham,Balala Hakkula Sangham is an Indian Community that protects the rights of children They oppose child marriage sexual abuse and child labour The community was founded in 1985 The chief officer is Achyu
Ahmedabad,Gujarat,Ahmedabad,2020,Malaria Outbreak; Tuberculosis; Low Immunization Coverage; Low Institutional Deliveries,Medium,39302,Comprehensive Rural Health Project,The Comprehensive Rural Health Project CRHP is a non profit non governmental organization located in Jamkhed Ahmednagar District in the state of Maharashtra India The organization works with rural com
